chave_local,latitude,longitude,bairro,distrito,status_geocodificacao,consulta_geocoding
ARAPIRACA|COLEGIO QUINTELA CAVALCANTE|AV. VENTURA DE FARIAS S/N,-9.7466266,-36.6673366,Eldorado,,ENCONTRADO,"AV. VENTURA DE FARIAS S/N, Arapiraca, Alagoas, Brasil"
ARAPIRACA|ESCOLA DE 1 E 2 GRAUS SENADOR RUI PALMEIRA|RUA MANOEL NUNES NETO S/N,-9.7414437,-36.6642875,Capiatá,,ENCONTRADO,"RUA MANOEL NUNES NETO S/N, Arapiraca, Alagoas, Brasil"
ARAPIRACA|ESCOLA DE ENSINO FUNDAMENTAL ENEAS BENEDITO DOS SANTOS|POVOADO CANGANDU S/N,,,,,NAO_ENCONTRADO,"POVOADO CANGANDU S/N, Arapiraca, Alagoas, Brasil"
ARAPIRACA|ESCOLA PROFESSORA IZAURA ANTONIA LISBOA|RUA ANTONIO MARROQUIM S/N,-9.7479462,-36.6693345,Baixão,,ENCONTRADO,"RUA ANTÔNIO MARROQUIM S/N, Arapiraca, Alagoas, Brasil"
ARAPIRACA|ESCOLA DE 1 GRAU FERNANDO COLLOR DE MELLO|POVOADO CANAA S/N,,,,,NAO_ENCONTRADO,"POVOADO CANAÃ S/N, Arapiraca, Alagoas, Brasil"
"ARAPIRACA|ESCOLA AURINO MACIEL|RUA DOM FELICIO VASCONCELOS,S/N",-9.7453734,-36.6648859,Centro,,ENCONTRADO,"RUA DOM FELÍCIO VASCONCELOS,S/N, Arapiraca, Alagoas, Brasil"
ARAPIRACA|ESCOLA DE ENSINO FUNDAMENTAL MANOEL HUMBERTO DA COSTA|SITIO BATINGAS,,,,,NAO_ENCONTRADO,"SÍTIO BATINGAS, Arapiraca, Alagoas, Brasil"
ARAPIRACA|GRUPO ESCOLAR ANTONIO CEZARIO DE OLIVEIRA|VILA SAO JOSE S/N,,,,,NAO_ENCONTRADO,"VILA SAÕ JOSÉ S/N, Arapiraca, Alagoas, Brasil"
ARAPIRACA|ESCOLA DE 1 GRAU MANOEL LUCIO DA SILVA|RUA MANOEL LUCIO S/N,-9.7464382,-36.6524184,Alto do Cruzeiro,,ENCONTRADO,"RUA MANOEL LÚCIO S/N, Arapiraca, Alagoas, Brasil"
ARAPIRACA|GRUPO ESCOLAR DJALMA MATHEUS SANTANA|RUA ROSENDO LIMA S/N,-9.7669946,-36.6608561,Primavera,,ENCONTRADO,"RUA ROSENDO LIMA S/N, Arapiraca, Alagoas, Brasil"
ARAPIRACA|COLEGIO SAO FRANCISCO DE ASSIS|RUA DOM FELICIO DE VASCONCELOS S/N,-9.7445436,-36.659204,Senador Teotônio Vilela,,ENCONTRADO,"RUA DOM FELÍCIO DE VASCONCELOS S/N, Arapiraca, Alagoas, Brasil"
"ARAPIRACA|ESCOLA ENSINO FUNDAMENTAL DIVALDO SURUAGY|RUA ADERVAL INACIO DA SILVA, 45, BRASILIA, ARAPIRACA",-9.7523022,-36.6444312,Brasília,,ENCONTRADO,"RUA ADERVAL INÁCIO DA SILVA, 45, BRASÍLIA, ARAPIRACA, Arapiraca, Alagoas, Brasil"
"ARAPIRACA|ESCOLA ALTERNATIVA|RUA FLORIANO PEIXOTO, 98",-9.7477626,-36.66833,Baixão,,ENCONTRADO,"RUA FLORIANO PEIXOTO, 98, Arapiraca, Alagoas, Brasil"
ARAPIRACA|UNEAL UNIVERSIDADE ESTADUAL DE ALAGOAS|RUA GOVERNADOR LUIZ CAVALCANTE,-9.7505554,-36.6580852,Alto do Cruzeiro,,ENCONTRADO,"RUA GOVERNADOR LUIZ CAVALCANTE, Arapiraca, Alagoas, Brasil"
ARAPIRACA|ESCOLA DE 1 GRAU MANOEL ANDRE|AV. JOSE LUCIO DA SILVA S/N,,,,,NAO_ENCONTRADO,"AV. JOSE LÚCIO DA SILVA S/N, Arapiraca, Alagoas, Brasil"
ARAPIRACA|ESCOLA DE ENSINO FUNDAMENTAL CLAUDECY BISPO DOS SANTOS|RUA JOSE C. DE FARIAS,,,,,NAO_ENCONTRADO,"RUA JOSÉ C. DE FARIAS, Arapiraca, Alagoas, Brasil"
ARAPIRACA|ESCOLA DE 1 GRAU PARQUE LIONS|RUA GOV. AFRANIO LAGES S/N,,,,,NAO_ENCONTRADO,"RUA GOV. AFRÂNIO LAGES S/N, Arapiraca, Alagoas, Brasil"
"ARAPIRACA|ESCOLA DE 1 GRAU ARTUR RAMOS|RUA COSTA CAVALCANTE, S/N",-9.7394987,-36.6757491,Cavaco,,ENCONTRADO,"RUA COSTA CAVALCANTE, S/N, Arapiraca, Alagoas, Brasil"
ARAPIRACA|GRUPO ESCOLAR JOSE PEREIRA LUCIO|POVOADO BANANEIRAS S/N,,,,,NAO_ENCONTRADO,"POVOADO BANANEIRAS S/N, Arapiraca, Alagoas, Brasil"
