municipio,local_sem_geo,registros_afetados,melhor_correspondencia_cache,score_similaridade,status_match
MACEIO,ESCOLA DE ENSINO FUNDAMENTAL DR JOSE HAROLDO DA COSTA,594,"MACEIO|ESCOLA DE ENSINO FUNDAMENTAL DR JOSE HAROLDO DA COSTA|CONJ. SALVADOR LIRA, S/N",0.7917,MATCH_FRACO
RIO LARGO,ESCOLA MUNICIPAL DR. GUSTAVO PAIVA,528,"RIO LARGO|ESCOLA MUNICIPAL DR. GUSTAVO PAIVA|CJ BARNABE OITICICA II, SN, MATA DO ROLO",0.6016,SEM_MATCH
PALMEIRA DOS INDIOS,COLÉGIO ESTADUAL HUMBERTO MENDES,486,PALMEIRA DOS INDIOS|COLEGIO ESTADUAL HUMBERTO MENDES|AV GOV MUNIZ FALCAO 701,0.5926,SEM_MATCH
MACEIO,ESCOLA DE ENS. FUND. NOSSO LAR I,467,"MACEIO|ESCOLA DE ENS. FUND. NOSSO LAR I|RUA SAMPAIO DORIA, S/N",0.6742,SEM_MATCH
PENEDO,COLÉGIO ESTADUAL COMENDADOR JOSÉ DA SILVA PEIXOTO,431,"PENEDO|COLEGIO ESTADUAL COMENDADOR JOSE DA SILVA PEIXOTO|RUA CASTRO ALVES, S/N, EM FRENTE A CODEVASF",0.6087,SEM_MATCH
MACEIO,ESCOLA ESTADUAL ROMEU DE AVELAR,428,"MACEIO|ESCOLA ESTADUAL ROMEU DE AVELAR|RUA RACOES CARB, S/N",0.6966,SEM_MATCH
UNIAO DOS PALMARES,ESCOLA ESTADUAL CARLOS GOMES DE BARROS,426,"UNIAO DOS PALMARES|ESCOLA ESTADUAL CARLOS GOMES DE BARROS|AV. JOAO LYRA FILHO, S/N",0.6441,SEM_MATCH
MACEIO,ESCOLA ESTADUAL AURELINA PALMEIRA DE MELO,422,"MACEIO|ESCOLA ESTADUAL AURELINA PALMEIRA DE MELO|PRACA PADRE CICERO, S/N",0.7321,SEM_MATCH
MACEIO,ESCOLA ESTADUAL PROFª. ROSALVA PEREIRA VIANA,410,"MACEIO|ESCOLA ESTADUAL PROFa. ROSALVA PEREIRA VIANA|LOT. POR DO SOL, QD D, S/N, MOCAMBO",0.6774,SEM_MATCH
ARAPIRACA,ESCOLA DE ENSINO FUNDAMENTAL CLAUDECY BISPO DOS SANTOS,399,ARAPIRACA|ESCOLA DE ENSINO FUNDAMENTAL CLAUDECY BISPO DOS SANTOS|RUA JOSE C. DE FARIAS,0.777,MATCH_FRACO
ARAPIRACA,ESCOLA DE 1 GRAU MANOEL ANDRÉ,395,ARAPIRACA|ESCOLA DE 1 GRAU MANOEL ANDRE|AV. JOSE LUCIO DA SILVA S/N,0.6105,SEM_MATCH
MACEIO,E.E. ALFREDO GASPAR DE MENDONCA,386,"MACEIO|E.E. ALFREDO GASPAR DE MENDONCA|CONJ. EUSTAQUIO GOMES DE MELO, S/N",0.6774,SEM_MATCH
MACEIO,E.E. GERALDO MELO DOS SANTOS,385,"MACEIO|E.E. GERALDO MELO DOS SANTOS|RUA 61, QD C-6, CJ. GRACILIANO RAMOS",0.6555,SEM_MATCH
MACEIO,ESC. EST. MIRAN MARROQUIM,381,"MACEIO|ESC. EST. MIRAN MARROQUIM|RUA DA LIBERDADE, S/N - PIABAS",0.5977,SEM_MATCH
RIO LARGO,COMPLEXO ESTADUAL PROFA CLAUDIZETE LIMA ELEUTERIO,370,"RIO LARGO|COMPLEXO ESTADUAL PROFA CLAUDIZETE LIMA ELEUTERIO|CONJ GURIATA, S/N",0.784,MATCH_FRACO
ARAPIRACA,GRUPO ESCOLAR JOÃO BATISTA PEREIRA,362,ARAPIRACA|GRUPO ESCOLAR JOAO BATISTA PEREIRA|COHAB NOVA S/N,0.7312,SEM_MATCH
ARAPIRACA,ESCOLA DE ENSINO FUNDAMENTAL MANOEL HUMBERTO DA COSTA,360,ARAPIRACA|ESCOLA DE ENSINO FUNDAMENTAL MANOEL HUMBERTO DA COSTA|SITIO BATINGAS,0.8092,MATCH_FRACO
MACEIO,E.M. JAYME DE ALTAVILLA,359,"MACEIO|E.M. JAYME DE ALTAVILLA|RUA DILERMANO REIS, S/N, LOT SANTA LUCIA",0.6034,SEM_MATCH
ARAPIRACA,ESCOLA DE 1 GRAU PARQUE LIONS,357,ARAPIRACA|ESCOLA DE 1 GRAU PARQUE LIONS|RUA GOV. AFRANIO LAGES S/N,0.617,SEM_MATCH
MACEIO,ESCOLA ESTADUAL PROFª. MARIA SALETE GUSMAO DE ARAUJO,353,"MACEIO|ESCOLA ESTADUAL PROFa. MARIA SALETE GUSMAO DE ARAUJO|CJ. OSMAN LOUREIRO, QD A",0.7634,MATCH_FRACO
ARAPIRACA,ESCOLA JOÃO SATURNINO DE ALMEIDA,342,ARAPIRACA|ESCOLA JOAO SATURNINO DE ALMEIDA|AV. JOAO SATURNINO S/N,0.6667,SEM_MATCH
ARAPIRACA,ESCOLA DE 1 GRAU FERNANDO COLLOR DE MELLO,329,ARAPIRACA|ESCOLA DE 1 GRAU FERNANDO COLLOR DE MELLO|POVOADO CANAA S/N,0.7455,SEM_MATCH
MACEIO,E.M. PROFESSOR CORINTHO DA PAZ,328,"MACEIO|E.M. PROFESSOR CORINTHO DA PAZ|RUA 5-A, S/N - CJ. EUSTAQUIO GOMES DE MELO",0.6462,SEM_MATCH
ARAPIRACA,ESCOLA DE ENSINO FUNDAMENTAL ENÉAS BENEDITO DOS SANTOS,323,ARAPIRACA|ESCOLA DE ENSINO FUNDAMENTAL ENEAS BENEDITO DOS SANTOS|POVOADO CANGANDU S/N,0.777,MATCH_FRACO
MACEIO,ESC. EST. PROF. THEOTÔNIO VILELA BRANDÃO,319,"MACEIO|ESC. EST. PROF. THEOTONIO VILELA BRANDAO|RUA ADAUTO GOMES BARBOSA, SN - SANTO EDUARDO",0.6475,SEM_MATCH
ARAPIRACA,ESCOLA DE ENSINO FUNDAMENTAL ZÉLIA BARBOSA ROCHA,314,ARAPIRACA|ESCOLA DE ENSINO FUNDAMENTAL ZELIA BARBOSA ROCHA|RUA DJALMA M. SANTANA,0.7559,MATCH_FRACO
SAO MIGUEL DOS CAMPOS,COLEGIO MUNICIPAL LUZINETE E LINDALVA JATOBA,313,"SAO MIGUEL DOS CAMPOS|COLEGIO MUNICIPAL LUZINETE E LINDALVA JATOBA|AV. SAMPAIO MARQUES, S/N",0.6617,SEM_MATCH
MACEIO,COLÉGIO INTENSIVO,308,"MACEIO|COLEGIO INTENSIVO|LARGO DA VITORIA, 215",0.5484,SEM_MATCH
MACEIO,ESCOLA ESTADUAL PROFª. IRENE GARRIDO,308,"MACEIO|ESCOLA ESTADUAL PROFa. IRENE GARRIDO|RUA G, QD 3, S/N, CONJ. DUBEAUX LEAO",0.6239,SEM_MATCH
MACEIO,COLÉGIO EDSON MONTEIRO,308,"MACEIO|SUMESE|AV DURVAL DE GOES MONTEIRO, S/N",0.5152,SEM_MATCH
RIO LARGO,ESCOLA ESTADUAL SANTOS DUMONT,301,"MACEIO|ESCOLA ESTADUAL TAVARES BASTOS|PRACA CENTENARIO, S/N",0.5517,SEM_MATCH
ARAPIRACA,ESCOLA DE ENSINO FUNDAMENTAL CLEONICE BARBOSA DE ALMEIDA,301,ARAPIRACA|ESCOLA DE ENSINO FUNDAMENTAL ZELIA BARBOSA ROCHA|RUA DJALMA M. SANTANA,0.6667,SEM_MATCH
MACEIO,ESCOLA EST. DR. EDSON BERNARDES,300,"MACEIO|ESCOLA EST. DR. EDSON BERNARDES|CONJ. JOAQUIM LEAO, S/N",0.6947,SEM_MATCH
MACEIO,COLÉGIO ZUMBI DOS PALMARES,299,"MACEIO|COLEGIO ZUMBI DOS PALMARES|CJ ROSANE COLLOR, QD M, S/N",0.6118,SEM_MATCH
MACEIO,ESC. MUN. PROF. LENILTO ALVES SANTOS,289,"MACEIO|ESC. MUN. PROF. LENILTO ALVES SANTOS|RUA ENFERMEIRO MARIANO - COHAB, S/N",0.6721,SEM_MATCH
MACEIO,E.E. DEPUTADO RUBENS CANUTO,287,"MACEIO|E.E. DEPUTADO RUBENS CANUTO|AV. GURGURI , S/N",0.7755,MATCH_FRACO
RIO LARGO,ESCOLA DE ENSINO FUND DR GASTAO OITICICA,282,RIO LARGO|ESCOLA DE ENSINO FUND DR GASTAO OITICICA|AV JULIO CALHEIROS S/N,0.7273,SEM_MATCH
ARAPIRACA,ESCOLA DE ENSINO FUNDAMENTAL LOJA MAÇONICA,281,"MACEIO|ESCOLA DE ENSINO FUNDAMENTAL PEDRO SURUAGY|AV. MACEIO, S/N",0.7048,SEM_MATCH
ARAPIRACA,GRUPO ESCOLAR PEDRO CORREIA DAS GRAÇAS,279,ARAPIRACA|GRUPO ESCOLAR PEDRO CORREIA DAS GRACAS|RUA VICENTE NUNES S/N,0.7037,SEM_MATCH
MACEIO,ESC. MUN. ARNON AFFONSO FARIAS DE MELLO,275,"MACEIO|ESC. MUN. ARNON AFFONSO FARIAS DE MELLO|CONJ. JOSE DA SILVA PEIXOTO, S/N",0.678,SEM_MATCH
MACEIO,COLÉGIO MARIA MONTESSORI,274,MACEIO|COLEGIO MARIA MONTESSORI|RUA PAPA JOAO PAULO 30,0.6154,SEM_MATCH
CORURIPE,ESCOLA ESTADUAL LIMA CASTRO,273,"MACEIO|E.E. ONELIA CAMPELO|RUA SANTA TEREZINHA, S/N",0.5682,SEM_MATCH
MACEIO,COLÉGIO SANTÍSSIMO SENHOR,271,MACEIO|COLEGIO SANTA URSULA|RUA PIO XII,0.4688,SEM_MATCH
MACEIO,ESC. EST. PROF. EDUARDO DA MOTA TRIGUEIROS,270,"MACEIO|ESC. EST. PROF. EDUARDO ALMEIDA DA SILVA|RUA SAO PEDRO, S/N",0.6838,SEM_MATCH
UNIAO DOS PALMARES,ESCOLA MUNICIPAL JOÃO COSTA DE OLIVEIRA,267,"UNIAO DOS PALMARES|ESCOLA MUNICIPAL JOAO COSTA DE OLIVEIRA|QUADRA P1, S/N",0.7027,SEM_MATCH
ARAPIRACA,ESCOLA PROFESSOR LUIZ ALBERTO DE MELO,264,ARAPIRACA|ESCOLA PROFESSOR LUIZ ALBERTO DE MELO|POVOADO PAU D ARCO S/N,0.6916,SEM_MATCH
ARAPIRACA,GRUPO ESCOLAR DOMINGOS LOPES,260,ARAPIRACA|GRUPO ESCOLAR DOMINGOS LOPES|RUA VEREADOR DOMINGOS LOPES S/N,0.5714,SEM_MATCH
MACEIO,ESC. MUN. PROFª EULINA RIBEIRO ALENCAR,259,"MACEIO|ESC. MUN. PROFa EULINA RIBEIRO ALENCAR|RUA COARACI FONSECA, 01",0.7103,SEM_MATCH
MACEIO,ESCOLA ESTADUAL PROFESSOR PEDRO TEIXEIRA,259,"MACEIO|ESCOLA ESTADUAL PROFESSOR PEDRO TEIXEIRA|RUA PAU DARCO, S/N",0.7619,MATCH_FRACO
MACEIO,E.E. JORNALISTA LAFAIETTE BELO,259,"MACEIO|E.E. JORNALISTA LAFAIETTE BELO|PARQUE RESIDENCIAL BENEDITO BENTES I, S/N",0.6308,SEM_MATCH
ARAPIRACA,GRUPO ESCOLAR JOSE PEREIRA LÚCIO,252,ARAPIRACA|GRUPO ESCOLAR JOSE PEREIRA LUCIO|POVOADO BANANEIRAS S/N,0.6598,SEM_MATCH
MACEIO,ESCOLA MONTEIRO LOBATO,250,"MACEIO|ESCOLA MONTEIRO LOBATO|RUA DO IPE ROXO, 291",0.6197,SEM_MATCH
MACEIO,ESCOLA DE ENSINO FUNDAMENTAL PROF. DONIZETTI CALHEIROS,249,"MACEIO|ESCOLA DE ENSINO FUNDAMENTAL PROF. DONIZETTI CALHEIROS|AV. UBERABA, S/N",0.8406,MATCH_FRACO
CORURIPE,ESCOLA ESTADUAL DJALMA BARROS SIQUEIRA,249,"CORURIPE|ESCOLA ESTADUAL DJALMA BARROS SIQUEIRA|RUA PERNAMBUCO NOVO, S/N",0.6972,SEM_MATCH
MACEIO,ESC. MUN. ANTÔNIO SEMEÃO LAMENHA LINS,247,"MACEIO|ESC. MUN. ANTONIO SEMEAO LAMENHA LINS|RUA MAJOR JOAQUIM CALHEIROS, S/N",0.6609,SEM_MATCH
MACEIO,E.M. PROF. AURÉLIO BUARQUE DE HOLANDA FERREIRA,246,"MACEIO|E.M. PROF. AURELIO BUARQUE DE HOLANDA FERREIRA|RUA F, S/N, CONJUNTO FREITAS NETO",0.7607,MATCH_FRACO
MACEIO,ESC. EST. MANOEL SIMPLICIO DO NASCIMENTO,244,"MACEIO|ESC. EST. MANOEL SIMPLICIO DO NASCIMENTO|RUA DIVISORIA FEICAO, S/N",0.7193,SEM_MATCH
RIO LARGO,ESCOLA DE EDUCAÇÃO BÁSICA AGNUS DEI,243,"MACEIO|ESCOLA DE EDUCACAO BASICA JOSE GONZAGA|RUA 7 DE SETEMBRO, N 344",0.6154,SEM_MATCH
MACEIO,E.M. MARIA CARMELITA CARDOSO GAMA (CAIC-UFAL),241,"MACEIO|E.M. MARIA CARMELITA CARDOSO GAMA (CAIC-UFAL)|BR 104, 1099 KM 14 - CAMPUS A.C.SIMOES",0.719,SEM_MATCH
