municipio,local_sem_geo,local_sem_geo_normalizado,registros_afetados,melhor_local_cache,melhor_endereco_cache,score_similaridade,status_match,latitude_sugerida,longitude_sugerida
MACEIO,ESCOLA DE ENSINO FUNDAMENTAL DR JOSE HAROLDO DA COSTA,ESCOLA DE ENSINO FUNDAMENTAL DOUTOR JOSE HAROLDO DA COSTA,594,ESCOLA DE ENSINO FUNDAMENTAL DR JOSE HAROLDO DA COSTA,"CONJ. SALVADOR LIRA, S/N",1.0,MATCH_FORTE,,
RIO LARGO,ESCOLA MUNICIPAL DR. GUSTAVO PAIVA,ESCOLA MUNICIPAL DOUTOR GUSTAVO PAIVA,528,ESCOLA MUNICIPAL DR. GUSTAVO PAIVA,"CJ BARNABE OITICICA II, SN, MATA DO ROLO",1.0,MATCH_FORTE,,
PALMEIRA DOS INDIOS,COLÉGIO ESTADUAL HUMBERTO MENDES,COLEGIO ESTADUAL HUMBERTO MENDES,486,COLEGIO ESTADUAL HUMBERTO MENDES,AV GOV MUNIZ FALCAO 701,1.0,MATCH_FORTE,,
MACEIO,ESCOLA DE ENS. FUND. NOSSO LAR I,ESCOLA DE ENSINO FUNDAMENTAL NOSSO LAR I,467,ESCOLA DE ENS. FUND. NOSSO LAR I,"RUA SAMPAIO DORIA, S/N",1.0,MATCH_FORTE,,
PENEDO,COLÉGIO ESTADUAL COMENDADOR JOSÉ DA SILVA PEIXOTO,COLEGIO ESTADUAL COMENDADOR JOSE DA SILVA PEIXOTO,431,COLEGIO ESTADUAL COMENDADOR JOSE DA SILVA PEIXOTO,"RUA CASTRO ALVES, S/N, EM FRENTE A CODEVASF",1.0,MATCH_FORTE,,
MACEIO,ESCOLA ESTADUAL ROMEU DE AVELAR,ESCOLA ESTADUAL ROMEU DE AVELAR,428,ESCOLA ESTADUAL ROMEU DE AVELAR,"RUA RACOES CARB, S/N",1.0,MATCH_FORTE,,
UNIAO DOS PALMARES,ESCOLA ESTADUAL CARLOS GOMES DE BARROS,ESCOLA ESTADUAL CARLOS GOMES DE BARROS,426,ESCOLA ESTADUAL CARLOS GOMES DE BARROS,"AV. JOAO LYRA FILHO, S/N",1.0,MATCH_FORTE,,
MACEIO,ESCOLA ESTADUAL AURELINA PALMEIRA DE MELO,ESCOLA ESTADUAL AURELINA PALMEIRA DE MELO,422,ESCOLA ESTADUAL AURELINA PALMEIRA DE MELO,"PRACA PADRE CICERO, S/N",1.0,MATCH_FORTE,,
MACEIO,ESCOLA ESTADUAL PROFª. ROSALVA PEREIRA VIANA,ESCOLA ESTADUAL PROF ROSALVA PEREIRA VIANA,410,ESCOLA ESTADUAL PROFa. ROSALVA PEREIRA VIANA,"LOT. POR DO SOL, QD D, S/N, MOCAMBO",0.9333,MATCH_PROVAVEL,,
ARAPIRACA,ESCOLA DE ENSINO FUNDAMENTAL CLAUDECY BISPO DOS SANTOS,ESCOLA DE ENSINO FUNDAMENTAL CLAUDECY BISPO DOS SANTOS,399,ESCOLA DE ENSINO FUNDAMENTAL CLAUDECY BISPO DOS SANTOS,RUA JOSE C. DE FARIAS,1.0,MATCH_FORTE,,
ARAPIRACA,ESCOLA DE 1 GRAU MANOEL ANDRÉ,ESCOLA DE 1 GRAU MANOEL ANDRE,395,ESCOLA DE 1 GRAU MANOEL ANDRE,AV. JOSE LUCIO DA SILVA S/N,1.0,MATCH_FORTE,,
MACEIO,E.E. ALFREDO GASPAR DE MENDONCA,ESCOLA ESTADUAL ALFREDO GASPAR DE MENDONCA,386,E.E. ALFREDO GASPAR DE MENDONCA,"CONJ. EUSTAQUIO GOMES DE MELO, S/N",1.0,MATCH_FORTE,,
MACEIO,E.E. GERALDO MELO DOS SANTOS,ESCOLA ESTADUAL GERALDO MELO DOS SANTOS,385,E.E. GERALDO MELO DOS SANTOS,"RUA 61, QD C-6, CJ. GRACILIANO RAMOS",1.0,MATCH_FORTE,,
MACEIO,ESC. EST. MIRAN MARROQUIM,ESCOLA ESTADUAL MIRAN MARROQUIM,381,ESC. EST. MIRAN MARROQUIM,"RUA DA LIBERDADE, S/N - PIABAS",1.0,MATCH_FORTE,,
RIO LARGO,COMPLEXO ESTADUAL PROFA CLAUDIZETE LIMA ELEUTERIO,COMPLEXO ESTADUAL PROFESSORA CLAUDIZETE LIMA ELEUTERIO,370,COMPLEXO ESTADUAL PROFA CLAUDIZETE LIMA ELEUTERIO,"CONJ GURIATA, S/N",1.0,MATCH_FORTE,,
ARAPIRACA,GRUPO ESCOLAR JOÃO BATISTA PEREIRA,GRUPO ESCOLAR JOAO BATISTA PEREIRA,362,GRUPO ESCOLAR JOAO BATISTA PEREIRA,COHAB NOVA S/N,1.0,MATCH_FORTE,,
ARAPIRACA,ESCOLA DE ENSINO FUNDAMENTAL MANOEL HUMBERTO DA COSTA,ESCOLA DE ENSINO FUNDAMENTAL MANOEL HUMBERTO DA COSTA,360,ESCOLA DE ENSINO FUNDAMENTAL MANOEL HUMBERTO DA COSTA,SITIO BATINGAS,1.0,MATCH_FORTE,,
MACEIO,E.M. JAYME DE ALTAVILLA,ESCOLA MUNICIPAL JAYME DE ALTAVILLA,359,E.M. JAYME DE ALTAVILLA,"RUA DILERMANO REIS, S/N, LOT SANTA LUCIA",1.0,MATCH_FORTE,,
ARAPIRACA,ESCOLA DE 1 GRAU PARQUE LIONS,ESCOLA DE 1 GRAU PARQUE LIONS,357,ESCOLA DE 1 GRAU PARQUE LIONS,RUA GOV. AFRANIO LAGES S/N,1.0,MATCH_FORTE,,
MACEIO,ESCOLA ESTADUAL PROFª. MARIA SALETE GUSMAO DE ARAUJO,ESCOLA ESTADUAL PROF MARIA SALETE GUSMAO DE ARAUJO,353,ESCOLA ESTADUAL PROFa. MARIA SALETE GUSMAO DE ARAUJO,"CJ. OSMAN LOUREIRO, QD A",0.9434,MATCH_PROVAVEL,,
ARAPIRACA,ESCOLA JOÃO SATURNINO DE ALMEIDA,ESCOLA JOAO SATURNINO DE ALMEIDA,342,ESCOLA JOAO SATURNINO DE ALMEIDA,AV. JOAO SATURNINO S/N,1.0,MATCH_FORTE,,
ARAPIRACA,ESCOLA DE 1 GRAU FERNANDO COLLOR DE MELLO,ESCOLA DE 1 GRAU FERNANDO COLLOR DE MELLO,329,ESCOLA DE 1 GRAU FERNANDO COLLOR DE MELLO,POVOADO CANAA S/N,1.0,MATCH_FORTE,,
MACEIO,E.M. PROFESSOR CORINTHO DA PAZ,ESCOLA MUNICIPAL PROFESSOR CORINTHO DA PAZ,328,E.M. PROFESSOR CORINTHO DA PAZ,"RUA 5-A, S/N - CJ. EUSTAQUIO GOMES DE MELO",1.0,MATCH_FORTE,,
ARAPIRACA,ESCOLA DE ENSINO FUNDAMENTAL ENÉAS BENEDITO DOS SANTOS,ESCOLA DE ENSINO FUNDAMENTAL ENEAS BENEDITO DOS SANTOS,323,ESCOLA DE ENSINO FUNDAMENTAL ENEAS BENEDITO DOS SANTOS,POVOADO CANGANDU S/N,1.0,MATCH_FORTE,,
MACEIO,ESC. EST. PROF. THEOTÔNIO VILELA BRANDÃO,ESCOLA ESTADUAL PROFESSOR THEOTONIO VILELA BRANDAO,319,ESC. EST. PROF. THEOTONIO VILELA BRANDAO,"RUA ADAUTO GOMES BARBOSA, SN - SANTO EDUARDO",1.0,MATCH_FORTE,,
ARAPIRACA,ESCOLA DE ENSINO FUNDAMENTAL ZÉLIA BARBOSA ROCHA,ESCOLA DE ENSINO FUNDAMENTAL ZELIA BARBOSA ROCHA,314,ESCOLA DE ENSINO FUNDAMENTAL ZELIA BARBOSA ROCHA,RUA DJALMA M. SANTANA,1.0,MATCH_FORTE,,
SAO MIGUEL DOS CAMPOS,COLEGIO MUNICIPAL LUZINETE E LINDALVA JATOBA,COLEGIO MUNICIPAL LUZINETE E LINDALVA JATOBA,313,COLEGIO MUNICIPAL LUZINETE E LINDALVA JATOBA,"AV. SAMPAIO MARQUES, S/N",1.0,MATCH_FORTE,,
MACEIO,ESCOLA ESTADUAL PROFª. IRENE GARRIDO,ESCOLA ESTADUAL PROF IRENE GARRIDO,308,ESCOLA ESTADUAL PROFa. IRENE GARRIDO,"RUA G, QD 3, S/N, CONJ. DUBEAUX LEAO",0.9189,MATCH_PROVAVEL,,
MACEIO,COLÉGIO INTENSIVO,COLEGIO INTENSIVO,308,COLEGIO INTENSIVO,"LARGO DA VITORIA, 215",1.0,MATCH_FORTE,,
MACEIO,COLÉGIO EDSON MONTEIRO,COLEGIO EDSON MONTEIRO,308,COLEGIO EDSON MONTEIRO,"RUA ANDRE PAPINE GOES, 177, LOTEAMENTO ACAUA",1.0,MATCH_FORTE,,
RIO LARGO,ESCOLA ESTADUAL SANTOS DUMONT,ESCOLA ESTADUAL SANTOS DUMONT,301,ESCOLA ESTADUAL SANTOS DUMONT,BR 104 - DESTACAMENTO DA FAB - VILA MILITAR,1.0,MATCH_FORTE,,
