municipio,local_nao_georreferenciado,local_nao_georreferenciado_normalizado,qtd_registros_afetados,melhor_correspondencia_georreferenciada,score_similaridade,status_match,latitude_sugerida,longitude_sugerida,qtd_registros_do_local_sugerido
MACEIO,ESCOLA DE ENSINO FUNDAMENTAL DR JOSE HAROLDO DA COSTA,ESCOLA DE ENSINO FUNDAMENTAL DOUTOR JOSE HAROLDO DA COSTA,594,ESCOLA DE ENSINO FUNDAMENTAL DR. JOSÉ CARNEIRO,0.8302,MATCH_FRACO,-9.627896,-35.7388809,122
RIO LARGO,ESCOLA MUNICIPAL DR. GUSTAVO PAIVA,ESCOLA MUNICIPAL DOUTOR GUSTAVO PAIVA,528,ESCOLA MUNICIPAL DE EDUCACAO BASICA D PEDRO I,0.5854,SEM_MATCH,-9.5105587,-35.8093743,376
PALMEIRA DOS INDIOS,COLÉGIO ESTADUAL HUMBERTO MENDES,COLEGIO ESTADUAL HUMBERTO MENDES,486,COLÉGIO CRISTO REDENTOR,0.5091,SEM_MATCH,-9.4113742,-36.6337546,489
MACEIO,ESCOLA DE ENS. FUND. NOSSO LAR I,ESCOLA DE ENSINO FUNDAMENTAL NOSSO LAR I,467,ESCOLA DE ENS. FUND. LINDOLFO COLLOR,0.8333,MATCH_FRACO,-9.6587477,-35.7609201,179
PENEDO,COLÉGIO ESTADUAL COMENDADOR JOSÉ DA SILVA PEIXOTO,COLEGIO ESTADUAL COMENDADOR JOSE DA SILVA PEIXOTO,431,ESCOLA ESTADUAL JOÃO VALERIANO DE OLIVEIRA,0.4615,SEM_MATCH,-10.2733024,-36.5601197,113
MACEIO,ESCOLA ESTADUAL ROMEU DE AVELAR,ESCOLA ESTADUAL ROMEU DE AVELAR,428,ESCOLA ESTADUAL ROTARY,0.7547,MATCH_FRACO,-9.6063446,-35.7411445,403
UNIAO DOS PALMARES,ESCOLA ESTADUAL CARLOS GOMES DE BARROS,ESCOLA ESTADUAL CARLOS GOMES DE BARROS,426,COLEGIO DR. MARIO GOMES DE BARROS,0.6757,SEM_MATCH,-9.1545653,-36.0312271,437
MACEIO,ESCOLA ESTADUAL AURELINA PALMEIRA DE MELO,ESCOLA ESTADUAL AURELINA PALMEIRA DE MELO,422,CAIC-ESCOLA ESTADUAL MARIA RITA LYRA DE ALMEIDA,0.7045,SEM_MATCH,-9.6660089,-35.7642836,162
MACEIO,ESCOLA ESTADUAL PROFª. ROSALVA PEREIRA VIANA,ESCOLA ESTADUAL PROF ROSALVA PEREIRA VIANA,410,ESCOLA ESTADUAL SANTA TEREZA DÁVILA,0.7273,SEM_MATCH,-9.6356714,-35.6981506,55
ARAPIRACA,ESCOLA DE ENSINO FUNDAMENTAL CLAUDECY BISPO DOS SANTOS,ESCOLA DE ENSINO FUNDAMENTAL CLAUDECY BISPO DOS SANTOS,399,ESCOLA DE ENSINO FUNDAMENTAL JESUS REDENTOR,0.7216,SEM_MATCH,-9.7575074,-36.6691287,297
