_municipio_norm,_local_norm,municipio,local_votacao,qtd_registros_afetados
MACEIO,ESCOLA DE ENSINO FUNDAMENTAL DOUTOR JOSE HAROLDO DA COSTA,MACEIO,ESCOLA DE ENSINO FUNDAMENTAL DR JOSE HAROLDO DA COSTA,594
RIO LARGO,ESCOLA MUNICIPAL DOUTOR GUSTAVO PAIVA,RIO LARGO,ESCOLA MUNICIPAL DR. GUSTAVO PAIVA,528
PALMEIRA DOS INDIOS,COLEGIO ESTADUAL HUMBERTO MENDES,PALMEIRA DOS INDIOS,COLÉGIO ESTADUAL HUMBERTO MENDES,486
MACEIO,ESCOLA DE ENSINO FUNDAMENTAL NOSSO LAR I,MACEIO,ESCOLA DE ENS. FUND. NOSSO LAR I,467
PENEDO,COLEGIO ESTADUAL COMENDADOR JOSE DA SILVA PEIXOTO,PENEDO,COLÉGIO ESTADUAL COMENDADOR JOSÉ DA SILVA PEIXOTO,431
MACEIO,ESCOLA ESTADUAL ROMEU DE AVELAR,MACEIO,ESCOLA ESTADUAL ROMEU DE AVELAR,428
UNIAO DOS PALMARES,ESCOLA ESTADUAL CARLOS GOMES DE BARROS,UNIAO DOS PALMARES,ESCOLA ESTADUAL CARLOS GOMES DE BARROS,426
MACEIO,ESCOLA ESTADUAL AURELINA PALMEIRA DE MELO,MACEIO,ESCOLA ESTADUAL AURELINA PALMEIRA DE MELO,422
MACEIO,ESCOLA ESTADUAL PROF ROSALVA PEREIRA VIANA,MACEIO,ESCOLA ESTADUAL PROFª. ROSALVA PEREIRA VIANA,410
ARAPIRACA,ESCOLA DE ENSINO FUNDAMENTAL CLAUDECY BISPO DOS SANTOS,ARAPIRACA,ESCOLA DE ENSINO FUNDAMENTAL CLAUDECY BISPO DOS SANTOS,399
ARAPIRACA,ESCOLA DE 1 GRAU MANOEL ANDRE,ARAPIRACA,ESCOLA DE 1 GRAU MANOEL ANDRÉ,395
MACEIO,ESCOLA ESTADUAL ALFREDO GASPAR DE MENDONCA,MACEIO,E.E. ALFREDO GASPAR DE MENDONCA,386
MACEIO,ESCOLA ESTADUAL GERALDO MELO DOS SANTOS,MACEIO,E.E. GERALDO MELO DOS SANTOS,385
MACEIO,ESCOLA ESTADUAL MIRAN MARROQUIM,MACEIO,ESC. EST. MIRAN MARROQUIM,381
RIO LARGO,COMPLEXO ESTADUAL PROFESSORA CLAUDIZETE LIMA ELEUTERIO,RIO LARGO,COMPLEXO ESTADUAL PROFA CLAUDIZETE LIMA ELEUTERIO,370
ARAPIRACA,GRUPO ESCOLAR JOAO BATISTA PEREIRA,ARAPIRACA,GRUPO ESCOLAR JOÃO BATISTA PEREIRA,362
ARAPIRACA,ESCOLA DE ENSINO FUNDAMENTAL MANOEL HUMBERTO DA COSTA,ARAPIRACA,ESCOLA DE ENSINO FUNDAMENTAL MANOEL HUMBERTO DA COSTA,360
MACEIO,ESCOLA MUNICIPAL JAYME DE ALTAVILLA,MACEIO,E.M. JAYME DE ALTAVILLA,359
ARAPIRACA,ESCOLA DE 1 GRAU PARQUE LIONS,ARAPIRACA,ESCOLA DE 1 GRAU PARQUE LIONS,357
MACEIO,ESCOLA ESTADUAL PROF MARIA SALETE GUSMAO DE ARAUJO,MACEIO,ESCOLA ESTADUAL PROFª. MARIA SALETE GUSMAO DE ARAUJO,353
