chave_local,municipio,local,endereco,estrategia,consulta,status
ARAPIRACA|ESCOLA DE ENSINO FUNDAMENTAL ENEAS BENEDITO DOS SANTOS|POVOADO CANGANDU S/N,ARAPIRACA,ESCOLA DE ENSINO FUNDAMENTAL ENEAS BENEDITO DOS SANTOS,POVOADO CANGANDU S/N,OSM_COMPLETA,"ESCOLA DE ENSINO FUNDAMENTAL ENEAS BENEDITO DOS SANTOS, POVOADO CANGANDU S/N, ARAPIRACA, Alagoas, Brasil",SEM_RESULTADO
ARAPIRACA|ESCOLA DE ENSINO FUNDAMENTAL ENEAS BENEDITO DOS SANTOS|POVOADO CANGANDU S/N,ARAPIRACA,ESCOLA DE ENSINO FUNDAMENTAL ENEAS BENEDITO DOS SANTOS,POVOADO CANGANDU S/N,OSM_COMPLETA_SEM_SN,"ESCOLA DE ENSINO FUNDAMENTAL ENEAS BENEDITO DOS SANTOS, POVOADO CANGANDU, ARAPIRACA, Alagoas, Brasil",SEM_RESULTADO
ARAPIRACA|ESCOLA DE ENSINO FUNDAMENTAL ENEAS BENEDITO DOS SANTOS|POVOADO CANGANDU S/N,ARAPIRACA,ESCOLA DE ENSINO FUNDAMENTAL ENEAS BENEDITO DOS SANTOS,POVOADO CANGANDU S/N,OSM_LOCAL_MUNICIPIO,"ESCOLA DE ENSINO FUNDAMENTAL ENEAS BENEDITO DOS SANTOS, ARAPIRACA, Alagoas, Brasil",SEM_RESULTADO
ARAPIRACA|ESCOLA DE ENSINO FUNDAMENTAL ENEAS BENEDITO DOS SANTOS|POVOADO CANGANDU S/N,ARAPIRACA,ESCOLA DE ENSINO FUNDAMENTAL ENEAS BENEDITO DOS SANTOS,POVOADO CANGANDU S/N,OSM_LOCAL_SIMPLIFICADO,"ENEAS BENEDITO DOS SANTOS, ARAPIRACA, Alagoas, Brasil",SEM_RESULTADO
ARAPIRACA|ESCOLA DE ENSINO FUNDAMENTAL ENEAS BENEDITO DOS SANTOS|POVOADO CANGANDU S/N,ARAPIRACA,ESCOLA DE ENSINO FUNDAMENTAL ENEAS BENEDITO DOS SANTOS,POVOADO CANGANDU S/N,OSM_ENDERECO_MUNICIPIO,"POVOADO CANGANDU, ARAPIRACA, Alagoas, Brasil",SEM_RESULTADO
ARAPIRACA|ESCOLA DE ENSINO FUNDAMENTAL ENEAS BENEDITO DOS SANTOS|POVOADO CANGANDU S/N,ARAPIRACA,ESCOLA DE ENSINO FUNDAMENTAL ENEAS BENEDITO DOS SANTOS,POVOADO CANGANDU S/N,PHOTON_LOCAL_MUNICIPIO,"ESCOLA DE ENSINO FUNDAMENTAL ENEAS BENEDITO DOS SANTOS, ARAPIRACA, Alagoas, Brasil",HTTP_400
ARAPIRACA|ESCOLA DE ENSINO FUNDAMENTAL ENEAS BENEDITO DOS SANTOS|POVOADO CANGANDU S/N,ARAPIRACA,ESCOLA DE ENSINO FUNDAMENTAL ENEAS BENEDITO DOS SANTOS,POVOADO CANGANDU S/N,PHOTON_LOCAL_SIMPLIFICADO,"ENEAS BENEDITO DOS SANTOS, ARAPIRACA, Alagoas, Brasil",HTTP_400
ARAPIRACA|ESCOLA DE ENSINO FUNDAMENTAL ENEAS BENEDITO DOS SANTOS|POVOADO CANGANDU S/N,ARAPIRACA,ESCOLA DE ENSINO FUNDAMENTAL ENEAS BENEDITO DOS SANTOS,POVOADO CANGANDU S/N,PHOTON_ENDERECO_MUNICIPIO,"POVOADO CANGANDU, ARAPIRACA, Alagoas, Brasil",HTTP_400
ARAPIRACA|ESCOLA DE 1 GRAU FERNANDO COLLOR DE MELLO|POVOADO CANAA S/N,ARAPIRACA,ESCOLA DE 1 GRAU FERNANDO COLLOR DE MELLO,POVOADO CANAA S/N,OSM_COMPLETA,"ESCOLA DE 1 GRAU FERNANDO COLLOR DE MELLO, POVOADO CANAA S/N, ARAPIRACA, Alagoas, Brasil",SEM_RESULTADO
ARAPIRACA|ESCOLA DE 1 GRAU FERNANDO COLLOR DE MELLO|POVOADO CANAA S/N,ARAPIRACA,ESCOLA DE 1 GRAU FERNANDO COLLOR DE MELLO,POVOADO CANAA S/N,OSM_COMPLETA_SEM_SN,"ESCOLA DE 1 GRAU FERNANDO COLLOR DE MELLO, POVOADO CANAA, ARAPIRACA, Alagoas, Brasil",SEM_RESULTADO
