prioridade,municipio,local_votacao,local_padronizado,endereco,consulta_geocoding,registros_afetados,score_similaridade,status_match,status_geocodificacao_atual,latitude_atual,longitude_atual,bairro_atual,latitude_curadoria,longitude_curadoria,bairro_curadoria,status_curadoria,fonte_validacao,responsavel,data_validacao,observacao
PRIORIDADE_1,MACEIO,ESCOLA DE ENSINO FUNDAMENTAL DR JOSE HAROLDO DA COSTA,ESCOLA DE ENSINO FUNDAMENTAL DR JOSE HAROLDO DA COSTA,"CONJ. SALVADOR LIRA, S/N","CONJ. SALVADOR LIRA, S/N, Maceio, Alagoas, Brasil",594,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,,,,PENDENTE,,,,
PRIORIDADE_1,RIO LARGO,ESCOLA MUNICIPAL DR. GUSTAVO PAIVA,ESCOLA MUNICIPAL DR. GUSTAVO PAIVA,"CJ BARNABE OITICICA II, SN, MATA DO ROLO","CJ BARNABÉ OITICICA II, SN, MATA DO ROLO, Rio Largo, Alagoas, Brasil",528,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,,,,PENDENTE,,,,
PRIORIDADE_1,PALMEIRA DOS INDIOS,COLÉGIO ESTADUAL HUMBERTO MENDES,COLEGIO ESTADUAL HUMBERTO MENDES,AV GOV MUNIZ FALCAO 701,"AV GOV MUNIZ FALCÃO 701, Palmeira Dos Indios, Alagoas, Brasil",486,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,,,,PENDENTE,,,,
PRIORIDADE_1,MACEIO,ESCOLA DE ENS. FUND. NOSSO LAR I,ESCOLA DE ENS. FUND. NOSSO LAR I,"RUA SAMPAIO DORIA, S/N","RUA SAMPAIO DORIA, S/N, Maceio, Alagoas, Brasil",467,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,,,,PENDENTE,,,,
PRIORIDADE_1,PENEDO,COLÉGIO ESTADUAL COMENDADOR JOSÉ DA SILVA PEIXOTO,COLEGIO ESTADUAL COMENDADOR JOSE DA SILVA PEIXOTO,"RUA CASTRO ALVES, S/N, EM FRENTE A CODEVASF","RUA CASTRO ALVES, S/N, EM FRENTE À CODEVASF, Penedo, Alagoas, Brasil",431,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,,,,PENDENTE,,,,
PRIORIDADE_1,MACEIO,ESCOLA ESTADUAL ROMEU DE AVELAR,ESCOLA ESTADUAL ROMEU DE AVELAR,"RUA RACOES CARB, S/N","RUA RACOES CARB, S/N, Maceio, Alagoas, Brasil",428,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,,,,PENDENTE,,,,
PRIORIDADE_1,UNIAO DOS PALMARES,ESCOLA ESTADUAL CARLOS GOMES DE BARROS,ESCOLA ESTADUAL CARLOS GOMES DE BARROS,"AV. JOAO LYRA FILHO, S/N","AV. JOÃO LYRA FILHO, S/N, Uniao Dos Palmares, Alagoas, Brasil",426,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,,,,PENDENTE,,,,
PRIORIDADE_1,MACEIO,ESCOLA ESTADUAL AURELINA PALMEIRA DE MELO,ESCOLA ESTADUAL AURELINA PALMEIRA DE MELO,"PRACA PADRE CICERO, S/N","PRACA PADRE CICERO, S/N, Maceio, Alagoas, Brasil",422,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,,,,PENDENTE,,,,
PRIORIDADE_1,MACEIO,ESCOLA ESTADUAL PROFª. ROSALVA PEREIRA VIANA,ESCOLA ESTADUAL PROFa. ROSALVA PEREIRA VIANA,"LOT. POR DO SOL, QD D, S/N, MOCAMBO","LOT. POR DO SOL, QD D, S/N, MOCAMBO, Maceio, Alagoas, Brasil",410,0.9333,MATCH_PROVAVEL,NAO_ENCONTRADO,,,,,,,PENDENTE,,,,
PRIORIDADE_1,ARAPIRACA,ESCOLA DE ENSINO FUNDAMENTAL CLAUDECY BISPO DOS SANTOS,ESCOLA DE ENSINO FUNDAMENTAL CLAUDECY BISPO DOS SANTOS,RUA JOSE C. DE FARIAS,"RUA JOSÉ C. DE FARIAS, Arapiraca, Alagoas, Brasil",399,1.0,MATCH_FORTE,NAO_ENCONTRADO,,,,,,,PENDENTE,,,,
