chave_local,municipio,local,endereco,latitude,longitude,bairro,status,consulta_usada,display_name
ARAPIRACA|ESCOLA DE ENSINO FUNDAMENTAL ENEAS BENEDITO DOS SANTOS|POVOADO CANGANDU S/N,ARAPIRACA,ESCOLA DE ENSINO FUNDAMENTAL ENEAS BENEDITO DOS SANTOS,POVOADO CANGANDU S/N,,,,NAO_ENCONTRADO_OSM,,
ARAPIRACA|ESCOLA DE 1 GRAU FERNANDO COLLOR DE MELLO|POVOADO CANAA S/N,ARAPIRACA,ESCOLA DE 1 GRAU FERNANDO COLLOR DE MELLO,POVOADO CANAA S/N,,,,NAO_ENCONTRADO_OSM,,
ARAPIRACA|ESCOLA DE ENSINO FUNDAMENTAL MANOEL HUMBERTO DA COSTA|SITIO BATINGAS,ARAPIRACA,ESCOLA DE ENSINO FUNDAMENTAL MANOEL HUMBERTO DA COSTA,SITIO BATINGAS,,,,NAO_ENCONTRADO_OSM,,
ARAPIRACA|GRUPO ESCOLAR ANTONIO CEZARIO DE OLIVEIRA|VILA SAO JOSE S/N,ARAPIRACA,GRUPO ESCOLAR ANTONIO CEZARIO DE OLIVEIRA,VILA SAO JOSE S/N,,,,NAO_ENCONTRADO_OSM,,
ARAPIRACA|ESCOLA DE 1 GRAU MANOEL ANDRE|AV. JOSE LUCIO DA SILVA S/N,ARAPIRACA,ESCOLA DE 1 GRAU MANOEL ANDRE,AV. JOSE LUCIO DA SILVA S/N,,,,NAO_ENCONTRADO_OSM,,
ARAPIRACA|ESCOLA DE ENSINO FUNDAMENTAL CLAUDECY BISPO DOS SANTOS|RUA JOSE C. DE FARIAS,ARAPIRACA,ESCOLA DE ENSINO FUNDAMENTAL CLAUDECY BISPO DOS SANTOS,RUA JOSE C. DE FARIAS,,,,NAO_ENCONTRADO_OSM,,
ARAPIRACA|ESCOLA DE 1 GRAU PARQUE LIONS|RUA GOV. AFRANIO LAGES S/N,ARAPIRACA,ESCOLA DE 1 GRAU PARQUE LIONS,RUA GOV. AFRANIO LAGES S/N,,,,NAO_ENCONTRADO_OSM,,
ARAPIRACA|GRUPO ESCOLAR JOSE PEREIRA LUCIO|POVOADO BANANEIRAS S/N,ARAPIRACA,GRUPO ESCOLAR JOSE PEREIRA LUCIO,POVOADO BANANEIRAS S/N,,,,NAO_ENCONTRADO_OSM,,
ARAPIRACA|ESCOLA PROFESSOR LUIZ ALBERTO DE MELO|POVOADO PAU D ARCO S/N,ARAPIRACA,ESCOLA PROFESSOR LUIZ ALBERTO DE MELO,POVOADO PAU D ARCO S/N,,,,NAO_ENCONTRADO_OSM,,
ARAPIRACA|ESCOLA JOAO SATURNINO DE ALMEIDA|AV. JOAO SATURNINO S/N,ARAPIRACA,ESCOLA JOAO SATURNINO DE ALMEIDA,AV. JOAO SATURNINO S/N,,,,NAO_ENCONTRADO_OSM,,
ARAPIRACA|ESCOLA DE ENSINO FUNDAMENTAL CLEONICE BARBOSA DE ALMEIDA|CONJUNTO BRISA DO LAGO - OLHO DAGUA DOS CAZUZINHO,ARAPIRACA,ESCOLA DE ENSINO FUNDAMENTAL CLEONICE BARBOSA DE ALMEIDA,CONJUNTO BRISA DO LAGO - OLHO DAGUA DOS CAZUZINHO,,,,NAO_ENCONTRADO_OSM,,
