chave_local,municipio,local,endereco,latitude,longitude,bairro,status,fonte,estrategia_usada,consulta_usada,display_name
ARAPIRACA|ESCOLA DE ENSINO FUNDAMENTAL ENEAS BENEDITO DOS SANTOS|POVOADO CANGANDU S/N,ARAPIRACA,ESCOLA DE ENSINO FUNDAMENTAL ENEAS BENEDITO DOS SANTOS,POVOADO CANGANDU S/N,,,,NAO_ENCONTRADO_V2,,,,
ARAPIRACA|ESCOLA DE 1 GRAU FERNANDO COLLOR DE MELLO|POVOADO CANAA S/N,ARAPIRACA,ESCOLA DE 1 GRAU FERNANDO COLLOR DE MELLO,POVOADO CANAA S/N,,,,NAO_ENCONTRADO_V2,,,,
ARAPIRACA|ESCOLA DE ENSINO FUNDAMENTAL MANOEL HUMBERTO DA COSTA|SITIO BATINGAS,ARAPIRACA,ESCOLA DE ENSINO FUNDAMENTAL MANOEL HUMBERTO DA COSTA,SITIO BATINGAS,-9.7990885,-36.6221597,Bananeiras,ENCONTRADO_OSM_NOMINATIM,OSM_NOMINATIM,OSM_LOCAL_SIMPLIFICADO,"MANOEL HUMBERTO DA COSTA, ARAPIRACA, Alagoas, Brasil","Rua Manoel Humberto da Costa, Bananeiras, Arapiraca, Alagoas, Região Nordeste, 57303-336, Brasil"
ARAPIRACA|GRUPO ESCOLAR ANTONIO CEZARIO DE OLIVEIRA|VILA SAO JOSE S/N,ARAPIRACA,GRUPO ESCOLAR ANTONIO CEZARIO DE OLIVEIRA,VILA SAO JOSE S/N,,,,NAO_ENCONTRADO_V2,,,,
ARAPIRACA|ESCOLA DE 1 GRAU MANOEL ANDRE|AV. JOSE LUCIO DA SILVA S/N,ARAPIRACA,ESCOLA DE 1 GRAU MANOEL ANDRE,AV. JOSE LUCIO DA SILVA S/N,,,,NAO_ENCONTRADO_V2,,,,
ARAPIRACA|ESCOLA DE ENSINO FUNDAMENTAL CLAUDECY BISPO DOS SANTOS|RUA JOSE C. DE FARIAS,ARAPIRACA,ESCOLA DE ENSINO FUNDAMENTAL CLAUDECY BISPO DOS SANTOS,RUA JOSE C. DE FARIAS,,,,NAO_ENCONTRADO_V2,,,,
ARAPIRACA|ESCOLA DE 1 GRAU PARQUE LIONS|RUA GOV. AFRANIO LAGES S/N,ARAPIRACA,ESCOLA DE 1 GRAU PARQUE LIONS,RUA GOV. AFRANIO LAGES S/N,,,,NAO_ENCONTRADO_V2,,,,
ARAPIRACA|GRUPO ESCOLAR JOSE PEREIRA LUCIO|POVOADO BANANEIRAS S/N,ARAPIRACA,GRUPO ESCOLAR JOSE PEREIRA LUCIO,POVOADO BANANEIRAS S/N,,,,NAO_ENCONTRADO_V2,,,,
ARAPIRACA|ESCOLA PROFESSOR LUIZ ALBERTO DE MELO|POVOADO PAU D ARCO S/N,ARAPIRACA,ESCOLA PROFESSOR LUIZ ALBERTO DE MELO,POVOADO PAU D ARCO S/N,,,,NAO_ENCONTRADO_V2,,,,
ARAPIRACA|ESCOLA JOAO SATURNINO DE ALMEIDA|AV. JOAO SATURNINO S/N,ARAPIRACA,ESCOLA JOAO SATURNINO DE ALMEIDA,AV. JOAO SATURNINO S/N,-9.7740227,-36.6479691,São Luiz,ENCONTRADO_OSM_NOMINATIM,OSM_NOMINATIM,OSM_ENDERECO_MUNICIPIO,"AV. JOAO SATURNINO, ARAPIRACA, Alagoas, Brasil","Avenida Vereador João Saturnino de Almeida, São Luiz, Arapiraca, Alagoas, Região Nordeste, 57301-706, Brasil"
ARAPIRACA|ESCOLA DE ENSINO FUNDAMENTAL CLEONICE BARBOSA DE ALMEIDA|CONJUNTO BRISA DO LAGO - OLHO DAGUA DOS CAZUZINHO,ARAPIRACA,ESCOLA DE ENSINO FUNDAMENTAL CLEONICE BARBOSA DE ALMEIDA,CONJUNTO BRISA DO LAGO - OLHO DAGUA DOS CAZUZINHO,,,,NAO_ENCONTRADO_V2,,,,
ARAPIRACA|GRUPO ESCOLAR DOMINGOS LOPES|RUA VEREADOR DOMINGOS LOPES S/N,ARAPIRACA,GRUPO ESCOLAR DOMINGOS LOPES,RUA VEREADOR DOMINGOS LOPES S/N,-9.7603549,-36.6385135,Deputado Nezinho,ENCONTRADO_OSM_NOMINATIM,OSM_NOMINATIM,OSM_LOCAL_SIMPLIFICADO,"DOMINGOS LOPES, ARAPIRACA, Alagoas, Brasil","Rua Domingos Lopes, Deputado Nezinho, Canafístula, Arapiraca, Alagoas, Região Nordeste, 57316-045, Brasil"
ARAPIRACA|GRUPO ESCOLAR JOAO BATISTA PEREIRA|COHAB NOVA S/N,ARAPIRACA,GRUPO ESCOLAR JOAO BATISTA PEREIRA,COHAB NOVA S/N,-9.7264876,-36.6613330,Planalto,ENCONTRADO_OSM_NOMINATIM,OSM_NOMINATIM,OSM_LOCAL_SIMPLIFICADO,"JOAO BATISTA PEREIRA, ARAPIRACA, Alagoas, Brasil","Escola Municipal João Batista Pereira da Silva, Rua Vicente Flor Ferreira, Planalto, Arapiraca, Alagoas, Região Nordeste, 57310-400, Brasil"
ARAPIRACA|GRUPO ESCOLAR CONEGO EPITACIO RODRIGUES|VILA SAO FRANCISCO,ARAPIRACA,GRUPO ESCOLAR CONEGO EPITACIO RODRIGUES,VILA SAO FRANCISCO,,,,NAO_ENCONTRADO_V2,,,,
ARAPIRACA|ESCOLA DE ENSINO FUNDAMENTAL ZELIA BARBOSA ROCHA|RUA DJALMA M. SANTANA,ARAPIRACA,ESCOLA DE ENSINO FUNDAMENTAL ZELIA BARBOSA ROCHA,RUA DJALMA M. SANTANA,-9.7712290,-36.6412944,Boa Vista,ENCONTRADO_OSM_NOMINATIM,OSM_NOMINATIM,OSM_LOCAL_MUNICIPIO,"ESCOLA DE ENSINO FUNDAMENTAL ZELIA BARBOSA ROCHA, ARAPIRACA, Alagoas, Brasil","Escola De Ensino Fundamental Zélia Barbosa Rocha, 255, Rua Djalma Matheus Santana, Boa Vista, Arapiraca, Alagoas, Região Nordeste, 57316-305, Brasil"
ARAPIRACA|GRUPO ESCOLAR PEDRO CORREIA DAS GRACAS|RUA VICENTE NUNES S/N,ARAPIRACA,GRUPO ESCOLAR PEDRO CORREIA DAS GRACAS,RUA VICENTE NUNES S/N,-9.7411526,-36.6550949,Caititus,ENCONTRADO_OSM_NOMINATIM,OSM_NOMINATIM,OSM_LOCAL_SIMPLIFICADO,"PEDRO CORREIA DAS GRACAS, ARAPIRACA, Alagoas, Brasil","Rua Pedro Correia das Graças, Caititus, Arapiraca, Alagoas, Região Nordeste, 57310-255, Brasil"
ARAPIRACA|ESCOLAR ANA BERNARDES SILVEIRA|SERRA DOS FERREIRA S/N,ARAPIRACA,ESCOLAR ANA BERNARDES SILVEIRA,SERRA DOS FERREIRA S/N,,,,NAO_ENCONTRADO_V2,,,,
ARAPIRACA|ESCOLA LINDAUVA EULALIA DE FARIAS|POVOADO BAIXA GRANDE DE DENTRO,ARAPIRACA,ESCOLA LINDAUVA EULALIA DE FARIAS,POVOADO BAIXA GRANDE DE DENTRO,,,,NAO_ENCONTRADO_V2,,,,
ARAPIRACA|ESCOLA DE ENSINO FUNDAMENTAL LOJA MACONICA|RUA JOSE CLOVIS R. DE BARROS,ARAPIRACA,ESCOLA DE ENSINO FUNDAMENTAL LOJA MACONICA,RUA JOSE CLOVIS R. DE BARROS,,,,NAO_ENCONTRADO_V2,,,,
ARAPIRACA|ESCOLA DE ENSINO FUNDAMENTAL GUIMARAES PASSOS|VILA FERNANDES,ARAPIRACA,ESCOLA DE ENSINO FUNDAMENTAL GUIMARAES PASSOS,VILA FERNANDES,,,,NAO_ENCONTRADO_V2,,,,
ARAPIRACA|ANEXO ESCOLA JAYME DE ALTAVILLA|AV. MIGUEL CORREIA S/N,ARAPIRACA,ANEXO ESCOLA JAYME DE ALTAVILLA,AV. MIGUEL CORREIA S/N,-9.7488694,-36.6724904,Baixão,ENCONTRADO_OSM_NOMINATIM,OSM_NOMINATIM,OSM_ENDERECO_MUNICIPIO,"AV. MIGUEL CORREIA, ARAPIRACA, Alagoas, Brasil","Avenida Miguel Correia de Amorim, Baixão, Arapiraca, Alagoas, Região Nordeste, 57305-670, Brasil"
"ARAPIRACA|IFAL - INSTITUTO FEDERAL DE ALAGOAS|RODOVIA AL 110, N 4805",ARAPIRACA,IFAL - INSTITUTO FEDERAL DE ALAGOAS,"RODOVIA AL 110, N 4805",,,,NAO_ENCONTRADO_V2,,,,
"ARAPIRACA|ESCOLA DE ENSINO FUNDAMENTAL VOLUNTARIA MARIA DAS NEVES BORGES|RUA SINESIO FERREIRA LIMA, N 383, OURO PRETO",ARAPIRACA,ESCOLA DE ENSINO FUNDAMENTAL VOLUNTARIA MARIA DAS NEVES BORGES,"RUA SINESIO FERREIRA LIMA, N 383, OURO PRETO",,,,NAO_ENCONTRADO_V2,,,,
ARAPIRACA|CENTRO DE EDUCACAO INFANTIL JOANNA DE ANGELLIS (ANTIGO MADRE PAULINA)|RUA DOMINGOS CORREIA 1065,ARAPIRACA,CENTRO DE EDUCACAO INFANTIL JOANNA DE ANGELLIS (ANTIGO MADRE PAULINA),RUA DOMINGOS CORREIA 1065,,,,NAO_ENCONTRADO_V2,,,,
"ARAPIRACA|CENTRO DE EDUCACAO INFANTIL MARIA DE LOURDES PEREIRA CAVALCANTE|RUA OSMAN CAVALCANTE, S/N",ARAPIRACA,CENTRO DE EDUCACAO INFANTIL MARIA DE LOURDES PEREIRA CAVALCANTE,"RUA OSMAN CAVALCANTE, S/N",,,,NAO_ENCONTRADO_V2,,,,
"CORURIPE|ESCOLA ESTADUAL LIMA CASTRO|AVENIDA WASHINTON LUIZ, ANTIGA AV CAMACARI",CORURIPE,ESCOLA ESTADUAL LIMA CASTRO,"AVENIDA WASHINTON LUIZ, ANTIGA AV CAMACARI",-10.1266391,-36.1764068,Coruripe,ENCONTRADO_OSM_NOMINATIM,OSM_NOMINATIM,OSM_LOCAL_SIMPLIFICADO,"LIMA CASTRO, CORURIPE, Alagoas, Brasil","Praça Doutor Lima Castro, Coruripe, Alagoas, Região Nordeste, Brasil"
"CORURIPE|ESCOLA ESTADUAL DJALMA BARROS SIQUEIRA|RUA PERNAMBUCO NOVO, S/N",CORURIPE,ESCOLA ESTADUAL DJALMA BARROS SIQUEIRA,"RUA PERNAMBUCO NOVO, S/N",,,,NAO_ENCONTRADO_V2,,,,
"CORURIPE|ESCOLA MUN. EDUC. BASICA PROF. MARIA ROCHA SANTOS SILVA|TRAVESSA FLAMENGO, 182, QUADRA S",CORURIPE,ESCOLA MUN. EDUC. BASICA PROF. MARIA ROCHA SANTOS SILVA,"TRAVESSA FLAMENGO, 182, QUADRA S",,,,NAO_ENCONTRADO_V2,,,,
CORURIPE|ESCOLA MUNICIPAL SANTA SOFIA|RUA DA CAIXA DAGUA - POVOADO BOTAFOGO,CORURIPE,ESCOLA MUNICIPAL SANTA SOFIA,RUA DA CAIXA DAGUA - POVOADO BOTAFOGO,,,,NAO_ENCONTRADO_V2,,,,
"CORURIPE|ESCOLA ESTADUAL DEPUTADO JOAO BELTRAO|AV. ANFRISIO DE CASTRO LESSA SANTOS, 506",CORURIPE,ESCOLA ESTADUAL DEPUTADO JOAO BELTRAO,"AV. ANFRISIO DE CASTRO LESSA SANTOS, 506",-10.1164747,-36.1822774,Coruripe,ENCONTRADO_OSM_NOMINATIM,OSM_NOMINATIM,OSM_COMPLETA,"ESCOLA ESTADUAL DEPUTADO JOAO BELTRAO, AV. ANFRISIO DE CASTRO LESSA SANTOS, 506, CORURIPE, Alagoas, Brasil","Escola Estadual Deputado João Beltrão, 488, Avenida Anfrísio Lessa de Castro Santos, Coruripe, Alagoas, Região Nordeste, 57230-000, Brasil"
"CORURIPE|ESCOLA MUNICIPAL GENERAL DE GOIS MONTEIRO|RUA ABELARDO HOLANDA, 105",CORURIPE,ESCOLA MUNICIPAL GENERAL DE GOIS MONTEIRO,"RUA ABELARDO HOLANDA, 105",,,,NAO_ENCONTRADO_V2,,,,
"CORURIPE|ESCOLA MUNICIPAL MANOEL CECILIO DE JESUS|RUA DO JASMIM,",CORURIPE,ESCOLA MUNICIPAL MANOEL CECILIO DE JESUS,"RUA DO JASMIM,",,,,NAO_ENCONTRADO_V2,,,,
"CORURIPE|ESCOLA MUN. CENT. EDUCACAO INFANTIL PROF. MARIA ZENAIDE ROCHA SANTOS|RUA PERNAMBUCO NOVO, S/N,",CORURIPE,ESCOLA MUN. CENT. EDUCACAO INFANTIL PROF. MARIA ZENAIDE ROCHA SANTOS,"RUA PERNAMBUCO NOVO, S/N,",,,,NAO_ENCONTRADO_V2,,,,
CORURIPE|CENTRO EDUCACIONAL PROFISSIONAL MARIA ALICE BELTRAO DE CASTRO SIQUEIRA|RUA PERNAMBUCO NOVO,CORURIPE,CENTRO EDUCACIONAL PROFISSIONAL MARIA ALICE BELTRAO DE CASTRO SIQUEIRA,RUA PERNAMBUCO NOVO,,,,NAO_ENCONTRADO_V2,,,,
"CORURIPE|ESCOLA MUNICIPAL NOSSA SENHORA DO MONT SERRAT|POVOADO MIAI DE BAIXO, S/N",CORURIPE,ESCOLA MUNICIPAL NOSSA SENHORA DO MONT SERRAT,"POVOADO MIAI DE BAIXO, S/N",,,,NAO_ENCONTRADO_V2,,,,
"DELMIRO GOUVEIA|VIRGILIA BEZERRA,ESCOLA DE 1 E 2 GRAUS PROFESSORA|AV MASCARENHAS DE MORAIS S/N",DELMIRO GOUVEIA,"VIRGILIA BEZERRA,ESCOLA DE 1 E 2 GRAUS PROFESSORA",AV MASCARENHAS DE MORAIS S/N,,,,NAO_ENCONTRADO_V2,,,,
"DELMIRO GOUVEIA|FRANCISCA ROSA DA COSTA,GRUPO ESCOLAR|RUA SARGENTO REGINALDO BANDEIRA, 342",DELMIRO GOUVEIA,"FRANCISCA ROSA DA COSTA,GRUPO ESCOLAR","RUA SARGENTO REGINALDO BANDEIRA, 342",,,,NAO_ENCONTRADO_V2,,,,
"DELMIRO GOUVEIA|JOSE CORREIA FILHO,ESCOLA|POVOADO JARDIM CORDEIRO",DELMIRO GOUVEIA,"JOSE CORREIA FILHO,ESCOLA",POVOADO JARDIM CORDEIRO,,,,NAO_ENCONTRADO_V2,,,,
"DELMIRO GOUVEIA|ANCHIETA, GRUPO ESCOLAR PADRE ( POV. LAGOINHA)|POVOADO LAGOINHAS S/N",DELMIRO GOUVEIA,"ANCHIETA, GRUPO ESCOLAR PADRE ( POV. LAGOINHA)",POVOADO LAGOINHAS S/N,,,,NAO_ENCONTRADO_V2,,,,
"DELMIRO GOUVEIA|NOEMIA BANDEIRA DA SILVA,ESCOLA|RUA DO CHAFARIZ, SN",DELMIRO GOUVEIA,"NOEMIA BANDEIRA DA SILVA,ESCOLA","RUA DO CHAFARIZ, SN",,,,NAO_ENCONTRADO_V2,,,,
"DELMIRO GOUVEIA|ESCOLA ESTADUAL PEDRO NEPOMUCENO DOS SANTOS|RUA PROJETADA, S/N. DISTRITO DE BARRAGEM LESTE",DELMIRO GOUVEIA,ESCOLA ESTADUAL PEDRO NEPOMUCENO DOS SANTOS,"RUA PROJETADA, S/N. DISTRITO DE BARRAGEM LESTE",,,,NAO_ENCONTRADO_V2,,,,
"DELMIRO GOUVEIA|MANOEL MOURA, COLEGIO DE 1 GRAU|POVOADO BARRAGEM",DELMIRO GOUVEIA,"MANOEL MOURA, COLEGIO DE 1 GRAU",POVOADO BARRAGEM,,,,NAO_ENCONTRADO_V2,,,,
"DELMIRO GOUVEIA|SAO JOSE, ESCOLA MUN DE ENSINO FUNDAMENTAL|POVOADO SALGADO",DELMIRO GOUVEIA,"SAO JOSE, ESCOLA MUN DE ENSINO FUNDAMENTAL",POVOADO SALGADO,,,,NAO_ENCONTRADO_V2,,,,
"DELMIRO GOUVEIA|ERENICE GOMES DE LIMA, ESCOLA ESTADUAL PROFa|RUA MARTINHA CARDEAL S/N",DELMIRO GOUVEIA,"ERENICE GOMES DE LIMA, ESCOLA ESTADUAL PROFa",RUA MARTINHA CARDEAL S/N,,,,NAO_ENCONTRADO_V2,,,,
DELMIRO GOUVEIA|GRUPO ESCOLAR CASTRO ALVES|POVOADO BARRAGEM,DELMIRO GOUVEIA,GRUPO ESCOLAR CASTRO ALVES,POVOADO BARRAGEM,-9.3687642,-38.1902391,Delmiro Gouveia,ENCONTRADO_OSM_NOMINATIM,OSM_NOMINATIM,OSM_LOCAL_SIMPLIFICADO,"CASTRO ALVES, DELMIRO GOUVEIA, Alagoas, Brasil","Rua Castro Alves, Vila Zebú, Delmiro Gouveia, Alagoas, Região Nordeste, 48607-000, Brasil"
"DELMIRO GOUVEIA|RUI BARBOSA,ESCOLA MUNICIPAL|POVOADO SAO SEBASTIAO",DELMIRO GOUVEIA,"RUI BARBOSA,ESCOLA MUNICIPAL",POVOADO SAO SEBASTIAO,-9.3796435,-37.9973466,Eldorado,ENCONTRADO_OSM_NOMINATIM,OSM_NOMINATIM,OSM_LOCAL_SIMPLIFICADO,"RUI BARBOSA,, DELMIRO GOUVEIA, Alagoas, Brasil","Rua Rui Barbosa, Eldorado, Delmiro Gouveia, Alagoas, Região Nordeste, 57480-000, Brasil"
"DELMIRO GOUVEIA|JOSE CORREIA DOS SANTOS,GRUPO ESCOLAR|POVOADO SINIMBU",DELMIRO GOUVEIA,"JOSE CORREIA DOS SANTOS,GRUPO ESCOLAR",POVOADO SINIMBU,,,,NAO_ENCONTRADO_V2,,,,
"DELMIRO GOUVEIA|RAIMYSON SILVA NASCIMENTO, EMEF|POVOADO CARAIBEIRINHAS",DELMIRO GOUVEIA,"RAIMYSON SILVA NASCIMENTO, EMEF",POVOADO CARAIBEIRINHAS,,,,NAO_ENCONTRADO_V2,,,,
"DELMIRO GOUVEIA|ANTENOR CORREIA SERPA, ESCOLA MUNICIPAL DR.|POVOADO CRUZ",DELMIRO GOUVEIA,"ANTENOR CORREIA SERPA, ESCOLA MUNICIPAL DR.",POVOADO CRUZ,,,,NAO_ENCONTRADO_V2,,,,
DELMIRO GOUVEIA|ESCOLA MUNICIPAL DE EDUCACAO BASICA JUSCELINO KUBISTCHEK DE OLIVEIRA|POVOADO ALTO BONITO,DELMIRO GOUVEIA,ESCOLA MUNICIPAL DE EDUCACAO BASICA JUSCELINO KUBISTCHEK DE OLIVEIRA,POVOADO ALTO BONITO,,,,NAO_ENCONTRADO_V2,,,,
