rank_estrategico_inicial,uf,ano,codigo_ibge,municipio,municipio_normalizado,populacao_estimada_2024,eleitorado_2024,taxa_eleitorado,participacao_populacao,participacao_eleitorado,indice_estrategico_inicial
1,AL,2024,2704302,Maceió,MACEIO,994464.0,632812,0.636334749171413,0.3088297769264595,0.2590419396011452,0.2739782907987395
2,AL,2024,2700300,Arapiraca,ARAPIRACA,243661.0,155982,0.6401598942793472,0.07566867405524791,0.06385131733100168,0.06739652434827555
3,AL,2024,2707701,Rio Largo,RIO LARGO,97435.0,67172,0.6894031918715041,0.03025833948220306,0.027496895076085985,0.028325328397921103
4,AL,2024,2706307,Palmeira dos Índios,PALMEIRA DOS INDIOS,73596.0,54858,0.7453937714006196,0.022855162441958395,0.022456152415946003,0.02257585542374972
5,AL,2024,2709301,União dos Palmares,UNIAO DOS PALMARES,60874.0,48920,0.8036271643066005,0.018904358368549586,0.020025428856102638,0.01968910770983672
6,AL,2024,2704708,Marechal Deodoro,MARECHAL DEODORO,62341.0,46217,0.7413580147896248,0.01935993371642655,0.018918954322209643,0.019051248140474715
7,AL,2024,2706703,Penedo,PENEDO,60189.0,44517,0.7396201963813986,0.018691632319949913,0.018223058388943607,0.018363630568245498
8,AL,2024,2708600,São Miguel dos Campos,SAO MIGUEL DOS CAMPOS,53391.0,43990,0.8239216347324455,0.016580520380708202,0.018007330649631136,0.017579287568954254
9,AL,2024,2702306,Coruripe,CORURIPE,51788.0,42038,0.8117324476712752,0.01608271037208736,0.01720827837802213,0.016870607976241698
10,AL,2024,2702405,Delmiro Gouveia,DELMIRO GOUVEIA,52809.0,41113,0.7785226003143404,0.016399780876642494,0.016829629120215614,0.016700674647143678
11,AL,2024,2708006,Santana do Ipanema,SANTANA DO IPANEMA,47397.0,33506,0.7069223790535266,0.01471908981821705,0.013715699494124592,0.01401671659135233
12,AL,2024,2700409,Atalaia,ATALAIA,38530.0,32883,0.8534388787957435,0.011965452047511508,0.013460674102110038,0.013012107485730479
13,AL,2024,2709152,Teotônio Vilela,TEOTONIO VILELA,39161.0,31976,0.8165266464084165,0.012161408451404053,0.013089393154185159,0.012810997743350826
14,AL,2024,2706901,Pilar,PILAR,36499.0,29137,0.7982958437217458,0.01133472707713788,0.011927246945630878,0.011749490985082978
15,AL,2024,2702900,Girau do Ponciano,GIRAU DO PONCIANO,37335.0,28487,0.7630105798848266,0.011594346021122299,0.011661169088793865,0.011641122168492394
