rank_estrategico,municipio,lideranca_principal,cargo_lideranca,tipo_lideranca,vice_prefeito,partido_lideranca,numero_partido,votos_lideranca,percentual_lideranca,eleitorado_2024,indice_estrategico_pct,prioridade_politica,visitado_pre_campanha,quantidade_visitas,ultima_visita,grupo_politico,relacao_davi,classificacao_relacao,prioridade_articulacao,acao_recomendada,observacoes_politicas
1,Maceió,JOAO HENRIQUE HOLANDA CALDAS,Prefeito,Executivo Municipal,RODRIGO SANTOS CUNHA,PL,22,379544,83.25,632812,27.397829079873947,Prioridade Máxima,True,4,2026-06-09,,,,Manter articulação ativa,Registrar articulação já iniciada em Maceió e manter contato político com JOAO HENRIQUE HOLANDA CALDAS (PL).,
2,Arapiraca,JOSE LUCIANO BARBOSA DA SILVA,Prefeito,Executivo Municipal,RUTINEIDE PEREIRA MELO DE LIRA,MDB,15,100890,85.04,155982,6.73965243482755,Prioridade Máxima,False,0,,,,,Prioridade máxima para agenda,Priorizar visita a Arapiraca e mapear agenda com JOSE LUCIANO BARBOSA DA SILVA (MDB).,
3,Rio Largo,PEDRO CARLOS DA SILVA NETO,Prefeito,Executivo Municipal,PETERSON HENRIQUE DA SILVA SANTOS,PP,11,32496,62.99,67172,2.83253283979211,Prioridade Máxima,False,0,,,,,Prioridade máxima para agenda,Priorizar visita a Rio Largo e mapear agenda com PEDRO CARLOS DA SILVA NETO (PP).,
4,Palmeira dos Índios,LUISA JULIA DUARTE,Prefeito,Executivo Municipal,SHEILA MARIA DUARTE,MDB,15,23994,57.43,54858,2.25758554237497,Prioridade Máxima,True,1,2026-05-30,,,,Manter articulação ativa,Registrar articulação já iniciada em Palmeira dos Índios e manter contato político com LUISA JULIA DUARTE (MDB).,
5,União dos Palmares,JOSÉ IRAN MENEZES DA SILVA JUNIOR,Prefeito,Executivo Municipal,SAMIRES CANDIDO ULISSES,MDB,15,23163,63.83,48920,1.96891077098367,Prioridade Máxima,True,1,2026-05-24,,,,Manter articulação ativa,Registrar articulação já iniciada em União dos Palmares e manter contato político com JOSÉ IRAN MENEZES DA SILVA JUNIOR (MDB).,
6,Marechal Deodoro,ANDRÉ LUIZ BARROS DA SILVA,Prefeito,Executivo Municipal,NEILSON COSTA DA SILVA,MDB,15,21621,58.47,46217,1.90512481404747,Prioridade Máxima,False,0,,,,,Prioridade máxima para agenda,Priorizar visita a Marechal Deodoro e mapear agenda com ANDRÉ LUIZ BARROS DA SILVA (MDB).,
7,Penedo,RONALDO PEREIRA LOPES,Prefeito,Executivo Municipal,JOSÉ EVALDO DOS SANTOS MONTEIRO,MDB,15,24059,71.33,44517,1.83636305682454,Prioridade Máxima,False,0,,,,,Prioridade máxima para agenda,Priorizar visita a Penedo e mapear agenda com RONALDO PEREIRA LOPES (MDB).,
8,São Miguel dos Campos,GEORGE CLEMENTE VIEIRA,Prefeito,Executivo Municipal,BENILDO CHAGAS DE OMENA,MDB,15,25796,79.18,43990,1.7579287568954198,Prioridade Máxima,False,0,,,,,Prioridade máxima para agenda,Priorizar visita a São Miguel dos Campos e mapear agenda com GEORGE CLEMENTE VIEIRA (MDB).,
9,Coruripe,MARCELO BELTRÃO SIQUEIRA,Prefeito,Executivo Municipal,JOSÉ ENEAS DA COSTA GAMA,PP,11,27647,90.22,42038,1.68706079762416,Prioridade Máxima,False,0,,,,,Prioridade máxima para agenda,Priorizar visita a Coruripe e mapear agenda com MARCELO BELTRÃO SIQUEIRA (PP).,
10,Delmiro Gouveia,ELIZIANE FERREIRA COSTA LIMA,Prefeito,Executivo Municipal,ERIVALDO BEZERRA SANDES,MDB,15,24620,83.31,41113,1.67006746471436,Prioridade Máxima,False,0,,,,,Prioridade máxima para agenda,Priorizar visita a Delmiro Gouveia e mapear agenda com ELIZIANE FERREIRA COSTA LIMA (MDB).,
11,Santana do Ipanema,JOAO EDUARDO BULHOES PORTELA DE MELO,Prefeito,Executivo Municipal,MÁRIO SIQUEIRA SILVA,MDB,15,16302,64.77,33506,1.40167165913523,Alta Prioridade,False,0,,,,,Prioridade máxima para agenda,Priorizar visita a Santana do Ipanema e mapear agenda com JOAO EDUARDO BULHOES PORTELA DE MELO (MDB).,
12,Atalaia,CECILIA LIMA HERRMANN,Prefeito,Executivo Municipal,NICOLLAS VON MEYNARD THEOTONIO COSTA,MDB,15,19600,79.95,32883,1.30121074857304,Alta Prioridade,False,0,,,,,Prioridade máxima para agenda,Priorizar visita a Atalaia e mapear agenda com CECILIA LIMA HERRMANN (MDB).,
13,Teotônio Vilela,PEDRO HENRIQUE DE JESUS PEREIRA,Prefeito,Executivo Municipal,ANDRE BORGES PEREIRA DA SILVA,PP,11,17729,77.19,31976,1.28109977433508,Alta Prioridade,False,0,,,,,Prioridade máxima para agenda,Priorizar visita a Teotônio Vilela e mapear agenda com PEDRO HENRIQUE DE JESUS PEREIRA (PP).,
14,Pilar,MARIA DE FATIMA RESENDE ROCHA OITICICA,Prefeito,Executivo Municipal,TAYRONNE HENRIQUE DOS SANTOS,MDB,15,13008,56.14,29137,1.17494909850829,Alta Prioridade,False,0,,,,,Prioridade máxima para agenda,Priorizar visita a Pilar e mapear agenda com MARIA DE FATIMA RESENDE ROCHA OITICICA (MDB).,
15,Girau do Ponciano,GILBERTO BEZERRA BARROS,Prefeito,Executivo Municipal,OSVALDO ALEXANDRE SANTOS JUNIOR,PP,11,15885,71.42,28487,1.16411221684923,Alta Prioridade,False,0,,,,,Prioridade máxima para agenda,Priorizar visita a Girau do Ponciano e mapear agenda com GILBERTO BEZERRA BARROS (PP).,
16,São Sebastião,CHARLES NUNES REGUEIRA,Prefeito,Executivo Municipal,ANA PATRICIA ALVES DOS SANTOS,PP,11,11980,56.14,27531,1.09354595945992,Alta Prioridade,False,0,,,,,Prioridade máxima para agenda,Priorizar visita a São Sebastião e mapear agenda com CHARLES NUNES REGUEIRA (PP).,
17,Campo Alegre,PAULINE DE FÁTIMA PEREIRA ALBUQUERQUE,Prefeito,Executivo Municipal,LEONARDO DE PAULA MONTEIRO,PP,11,12217,59.17,27202,1.08423973041757,Alta Prioridade,False,0,,,,,Prioridade máxima para agenda,Priorizar visita a Campo Alegre e mapear agenda com PAULINE DE FÁTIMA PEREIRA ALBUQUERQUE (PP).,
18,Maragogi,DANIEL MENDES DE VASCONCELOS FERREIRA,Prefeito,Executivo Municipal,JOAO ENIO VASCONCELOS CAVALCANTE,PP,11,9877,49.04,25140,1.02998000326574,Alta Prioridade,False,0,,,,,Prioridade máxima para agenda,Priorizar visita a Maragogi e mapear agenda com DANIEL MENDES DE VASCONCELOS FERREIRA (PP).,
