municipio,prefeito,vice_prefeito,partido,numero,votos_prefeito,percentual_prefeito,segundo_colocado,partido_segundo_colocado,votos_segundo_colocado,percentual_segundo_colocado,margem_vitoria_votos,margem_vitoria_pct,status_extracao,arquivo_origem
Anadia,PAULO VICTOR PEREIRA ROCHA,EDIRAJAR FALCÃO PEDROSA JÚNIOR,PP,11,5446,54.0,AMÓS DE ALMEIDA ROCHA,PSB,4639.0,46.0,807.0,8.0,OK,619_AL_ANADIA_2024_T1.pdf
Arapiraca,JOSE LUCIANO BARBOSA DA SILVA,RUTINEIDE PEREIRA MELO DE LIRA,MDB,15,100890,85.04,FABIANA CAVALCANTE PESSOA,PL,16635.0,14.02,84255.0,71.02000000000001,OK,619_AL_ARAPIRACA_2024_T1.pdf
Atalaia,CECILIA LIMA HERRMANN,NICOLLAS VON MEYNARD THEOTONIO COSTA,MDB,15,19600,79.95,MAURICIO TENÓRIO DA SILVA,PDT,2423.0,9.88,17177.0,70.07000000000001,OK,619_AL_ATALAIA_2024_T1.pdf
Barra De Santo Antônio,LIVIA CARLA DA SILVA ALVES,LUCAS MARTINS ALVES,REPUBLICANOS,10,7647,60.88,EMANUELLA CORADO ACIOLI DE MOURA,MDB,4843.0,38.56,2804.0,22.32,OK,619_AL_BARRA-DE-SANTO-ANTÔNIO_2024_T1.pdf
Barra De São Miguel,BENEDITO DE LIRA,LUIZ HENRIQUE LIMA ALVES PINTO,PP,11,4563,68.12,FLORIANO DE ALBUQUERQUE MELO NETO,MDB,2135.0,31.88,2428.0,36.24000000000001,OK,619_AL_BARRA-DE-SÃO-MIGUEL_2024_T1.pdf
Batalha,WAGNEY DANTAS CORREIA CAJE,IZAIAS GOMES BEZERRA,MDB,15,6951,64.39,ALEX SANDRO ROCHA PINTO,PP,2791.0,25.85,4160.0,38.54,OK,619_AL_BATALHA_2024_T1.pdf
Belo Monte,DALMO AUGUSTO DE ALMEIDA JÚNIOR,ANTONIO JEREMIAS FEITOSA,MDB,15,3882,79.79,MARIANA LIMA SILVA,REPUBLICANOS,983.0,20.21,2899.0,59.580000000000005,OK,619_AL_BELO-MONTE_2024_T1.pdf
Belém,ADALBERTO ANTERO TORRES,JOSÉ ADRIANO DA SILVA,PP,11,2568,68.55,LUIZ HENRIQUE DAMASCENO SURUAGY,PSB,1178.0,31.45,1390.0,37.099999999999994,OK,619_AL_BELÉM_2024_T1.pdf
Boca Da Mata,BRUNO FEIJÓ TEIXEIRA,SERGIO MACIEL DA COSTA,PP,11,9227,61.4,AMANDA LARISSA BARROS ACIOLI DE MOURA,PSB,5801.0,38.6,3426.0,22.799999999999997,OK,619_AL_BOCA-DA-MATA_2024_T1.pdf
Branquinha,RAIMUNDO JOSÉ DE FREITAS LOPES,RENATO ANTONIO LIMA DA PURIFICAÇÃO,MDB,15,6115,100.0,,,,,,,OK,619_AL_BRANQUINHA_2024_T1.pdf
