rank_municipal,municipio,vereadores_eleitos,total_votos_vereadores,media_votos_vereador,principal_lideranca,principal_lideranca_partido,principal_lideranca_votos,potencial_transferencia_conservador,potencial_transferencia_moderado,potencial_transferencia_alto,indice_influencia_municipal,potencial_politico_municipio
1,MACEIÓ,310,241387,778,LUCIANO MARINHO,PL,8545,48281,84485,120691,20.65,Muito Alto
2,ARAPIRACA,256,76514,298,ROGERIO NEZINHO,MDB,4543,15306,26778,38258,14.39,Muito Alto
3,RIO LARGO,65,29810,458,BALA SOARES,PP,2625,5966,10436,14899,12.15,Alto
4,PALMEIRA DOS ÍNDIOS,42,22687,540,PEDRINHO GAIA,MDB,2237,4535,7937,11343,9.06,Alto
5,UNIÃO DOS PALMARES,62,22246,358,MILTON DO COMPLEMENTAR,MDB,1892,4452,7786,11121,8.79,Alto
6,CORURIPE,39,19916,510,DALMO PORTO,PSB,2179,3984,6969,9962,11.93,Alto
7,MARECHAL DEODORO,41,19671,479,THIAGO GONDIN,PDT,2023,3933,6884,9832,11.93,Alto
8,SÃO MIGUEL DOS CAMPOS,31,19607,632,DINEY TORRES,MDB,2081,3924,6859,9804,12.08,Alto
9,ATALAIA,38,18928,498,RUDINHO,MDB,2331,3786,6626,9466,9.67,Alto
10,DELMIRO GOUVEIA,20,17619,880,EDNA DO TATUAKARA,MDB,2410,3524,6169,8807,12.43,Alto
11,PENEDO,30,15743,524,IVO COSTA,PV,1375,3149,5506,7875,11.98,Alto
12,SANTANA DO IPANEMA,45,15135,336,MIGUEL OLIVEIRA,MDB,1568,3028,5299,7571,9.43,Alto
13,PILAR,27,15007,555,ALEX CAVALCANTE,MDB,2602,3001,5254,7505,10.58,Alto
14,CRAÍBAS,25,14815,592,CARLINHOS FOLHA,PP,1355,2962,5187,7407,7.12,Médio
15,GIRAU DO PONCIANO,11,13903,1263,FLAVINHA BARROS,PP,2358,2781,4865,6952,11.21,Médio
16,SÃO SEBASTIÃO,23,13164,572,ANA PACHECO,PP,1532,2632,4604,6586,9.88,Médio
17,PORTO CALVO,25,12606,504,MARCIO DO ANDRADE,MDB,1390,2521,4413,6303,6.9,Médio
18,FEIRA GRANDE,23,11985,521,QUEL,PSB,1870,2397,4192,5993,7.07,Médio
19,TEOTÔNIO VILELA,32,11911,372,SERGIO CELESTINO,PP,1177,2382,4169,5954,9.47,Médio
20,MARAGOGI,32,11613,362,JUNIOR DO JOZEMIR,PODE,1323,2323,4065,5807,9.51,Médio
21,SÃO LUÍS DO QUITUNDE,25,11282,451,CABEÇA,MDB,1062,2257,3948,5643,9.72,Médio
22,MURICI,23,11107,482,MORAIS,MDB,1373,2221,3890,5551,6.9,Médio
23,VIÇOSA,26,10904,419,DAVI DO TÊDA,REPUBLICANOS,1668,2181,3818,5456,6.72,Médio
24,LIMOEIRO DE ANADIA,24,10689,445,TOINHO,PP,1436,2137,3744,5341,6.81,Médio
25,TRAIPU,11,10412,946,JUNIOR DA CAPIVARA,PSB,1549,2082,3643,5206,8.28,Médio
26,SÃO JOSÉ DA TAPERA,25,9995,399,EVANDRO GORDINHO DO POVO,MDB,944,1999,3495,4999,6.62,Médio
27,BOCA DA MATA,11,9908,900,IRMÃO ADRIANO,PP,1471,1982,3468,4955,5.06,Médio
28,IGREJA NOVA,26,9791,376,CIDÁRIO,MDB,942,1957,3427,4897,6.72,Médio
29,PIRANHAS,25,9725,389,LAURA DE ZÉ VICENTE,MDB,912,1946,3402,4861,6.66,Médio
30,MATA GRANDE,11,9620,874,COCADA MANDU,MDB,1346,1923,3366,4809,8.11,Médio
31,MATRIZ DE CAMARAGIBE,34,9494,279,LEUNAM,MDB,1147,1897,3322,4743,6.4,Médio
32,CAMPO ALEGRE,13,9403,723,JEANE NASCIMENTO,PP,900,1880,3291,4702,10.2,Médio
33,IGACI,11,9387,853,DERY FERREIRA,MDB,1275,1877,3285,4692,7.85,Médio
34,JUNQUEIRO,20,9171,458,HELINHO SILVA,MDB,1542,1834,3210,4585,6.84,Médio
35,PÃO DE AÇÚCAR,28,8978,320,DYEGO CORREIA,PSB,1183,1793,3142,4490,6.51,Médio
36,OLHO D ÁGUA DAS FLORES,11,8922,811,LÉA BARBOSA,PP,1720,1784,3122,4459,0.0,Médio
37,BATALHA,20,8912,445,MIKAEL TENÓRIO,MDB,922,1783,3119,4455,5.78,Médio
38,SATUBA,17,8618,506,DARK RIOS,UNIÃO,1053,1723,3017,4309,7.38,Médio
39,MAJOR ISIDORO,11,8577,779,CHICÃO,PSB,963,1717,3002,4289,6.74,Médio
40,SÃO JOSÉ DA LAJE,10,8444,844,MARCOS DINIZ BOIADEIRO,PP,1348,1689,2954,4223,8.16,Médio
41,COLÔNIA LEOPOLDINA,29,8415,290,ADRIANO DA VILA NOVA,MDB,968,1685,2945,4206,5.03,Médio
42,INHAPI,14,7944,567,MÁRCIO DE ADELMO,PSB,1393,1589,2780,3972,6.15,Médio
43,CANAPI,16,7684,480,ARNALDO BARBOSA,MDB,905,1536,2688,3841,5.74,Médio
