rank,municipio,populacao_estimada_2024,eleitorado_2024,participacao_eleitorado_pct,indice_estrategico_pct,prioridade_politica,prefeito,vice_prefeito,partido,numero,votos_prefeito,percentual_prefeito,segundo_colocado,partido_segundo_colocado,votos_segundo_colocado,percentual_segundo_colocado,margem_vitoria_votos,margem_vitoria_pct,visitado_pre_campanha,quantidade_visitas,ultima_visita,status_visitacao,capital_politico_prefeito,grupo_politico,relacao_davi,municipio_normalizado,grupo_politico_classificacao,relacao_davi_classificacao,peso_politico,status_articulacao,observacoes,score_articulacao,prioridade_final,recomendacao_estrategica
1,Maceió,994464.0,632812,25.90419396011452,27.397829079873947,Prioridade Máxima,JOAO HENRIQUE HOLANDA CALDAS,RODRIGO SANTOS CUNHA,PL,22,379544,83.25,RAFAEL DE GÓES BRITO,MDB,58084.0,12.74,321460.0,70.51,True,4,2026-06-09,Visitado,10398681.640291678,não_classificado,não_classificado,MACEIO,Independente,adversario_potencial,muito_alto,mapear,Capital do estado,82.4,Alta Prioridade,Manter acompanhamento da articulação em Maceió com JOAO HENRIQUE HOLANDA CALDAS (PL).
2,Arapiraca,243661.0,155982,6.3851317331001605,6.73965243482755,Prioridade Máxima,JOSE LUCIANO BARBOSA DA SILVA,RUTINEIDE PEREIRA MELO DE LIRA,MDB,15,100890,85.04,FABIANA CAVALCANTE PESSOA,PL,16635.0,14.02,84255.0,71.02000000000001,False,0,,Prioritário não visitado,679963.5341497515,não_classificado,não_classificado,ARAPIRACA,Calheiros,aliado_forte,muito_alto,prioritario,Segundo maior colégio eleitoral,81.74,Alta Prioridade,Priorizar agenda em Arapiraca com JOSE LUCIANO BARBOSA DA SILVA (MDB). Relação política indicada: não_classificado.
3,Rio Largo,97435.0,67172,2.74968950760859,2.83253283979211,Prioridade Máxima,PEDRO CARLOS DA SILVA NETO,PETERSON HENRIQUE DA SILVA SANTOS,PP,11,32496,62.99,ANNY IZABELLE TORRES MELO LINS DE SOUZA,PDT,10848.0,21.03,21648.0,41.96,False,0,,Prioritário não visitado,92045.9871618844,não_classificado,não_classificado,RIO LARGO,Calheiros,aliado,alto,prioritario,Região Metropolitana,72.83,Alta Prioridade,Priorizar agenda em Rio Largo com PEDRO CARLOS DA SILVA NETO (PP). Relação política indicada: não_classificado.
6,Marechal Deodoro,62341.0,46217,1.89189543222096,1.90512481404747,Prioridade Máxima,ANDRÉ LUIZ BARROS DA SILVA,NEILSON COSTA DA SILVA,MDB,15,21621,58.47,JOSÉ GILVAN RIBEIRO DE ALMEIDA FILHO,REPUBLICANOS,15360.0,41.53,6261.0,16.939999999999998,False,0,,Prioritário não visitado,41190.70360452035,não_classificado,não_classificado,MARECHAL DEODORO,Calheiros,aliado,alto,prioritario,Região Metropolitana,71.91,Alta Prioridade,Priorizar agenda em Marechal Deodoro com ANDRÉ LUIZ BARROS DA SILVA (MDB). Relação política indicada: não_classificado.
7,Penedo,60189.0,44517,1.82230583889436,1.83636305682454,Prioridade Máxima,RONALDO PEREIRA LOPES,JOSÉ EVALDO DOS SANTOS MONTEIRO,MDB,15,24059,71.33,MARCIUS BELTRÃO SIQUEIRA,PDT,9672.0,28.67,14387.0,42.66,False,0,,Prioritário não visitado,44181.058784141605,não_classificado,não_classificado,PENEDO,Calheiros,aliado,alto,prioritario,Baixo São Francisco,71.84,Alta Prioridade,Priorizar agenda em Penedo com RONALDO PEREIRA LOPES (MDB). Relação política indicada: não_classificado.
8,São Miguel dos Campos,53391.0,43990,1.80073306496311,1.7579287568954198,Prioridade Máxima,GEORGE CLEMENTE VIEIRA,BENILDO CHAGAS DE OMENA,MDB,15,25796,79.18,PEDRO RICARDO ALVES JATOBÁ,PRD,6782.0,20.82,19014.0,58.36000000000001,False,0,,Prioritário não visitado,45347.53021287425,não_classificado,não_classificado,SAO MIGUEL DOS CAMPOS,Calheiros,aliado_forte,alto,prioritario,Influência regional,71.76,Alta Prioridade,Priorizar agenda em São Miguel dos Campos com GEORGE CLEMENTE VIEIRA (MDB). Relação política indicada: não_classificado.
9,Coruripe,51788.0,42038,1.72082783780221,1.68706079762416,Prioridade Máxima,MARCELO BELTRÃO SIQUEIRA,JOSÉ ENEAS DA COSTA GAMA,PP,11,27647,90.22,MARCOS ANTONIO LINS DOS SANTOS,23,2303.0,7.52,25344.0,82.7,False,0,,Prioritário não visitado,46642.16987191515,não_classificado,não_classificado,CORURIPE,Independente,potencial_aliado,alto,aproximacao,Liderança regional forte,71.69,Alta Prioridade,Priorizar agenda em Coruripe com MARCELO BELTRÃO SIQUEIRA (PP). Relação política indicada: não_classificado.
10,Delmiro Gouveia,52809.0,41113,1.68296291202156,1.67006746471436,Prioridade Máxima,ELIZIANE FERREIRA COSTA LIMA,ERIVALDO BEZERRA SANDES,MDB,15,24620,83.31,CRISTOVÃO LOPES DIAS,PT,4932.0,16.69,19688.0,66.62,False,0,,Prioritário não visitado,41117.06098126755,não_classificado,não_classificado,DELMIRO GOUVEIA,Calheiros,aliado,alto,prioritario,Principal cidade do Alto Sertão,71.67,Alta Prioridade,Priorizar agenda em Delmiro Gouveia com ELIZIANE FERREIRA COSTA LIMA (MDB). Relação política indicada: não_classificado.
14,Pilar,36499.0,29137,1.19272469456308,1.17494909850829,Alta Prioridade,MARIA DE FATIMA RESENDE ROCHA OITICICA,TAYRONNE HENRIQUE DOS SANTOS,MDB,15,13008,56.14,ROBERTO DOUGLAS DA SILVA BARROS,PV,5171.0,22.32,7837.0,33.82,False,0,,Prioritário não visitado,15283.737873395836,não_classificado,não_classificado,PILAR,Calheiros,aliado_forte,alto,prioritario,Polo industrial,61.17,Média Prioridade,Monitorar oportunidade de aproximação em Pilar.
11,Santana do Ipanema,47397.0,33506,1.37156994941245,1.40167165913523,Alta Prioridade,JOAO EDUARDO BULHOES PORTELA DE MELO,MÁRIO SIQUEIRA SILVA,MDB,15,16302,64.77,JOSE EDSON MAGALHÃES FELIX,PP,8268.0,32.85,8034.0,31.919999999999995,False,0,,Prioritário não visitado,22850.05138722252,não_classificado,não_classificado,SANTANA DO IPANEMA,Calheiros,aliado,medio,prioritario,Bacia leiteira,56.4,Média Prioridade,Monitorar oportunidade de aproximação em Santana do Ipanema.
