municipio;local_votacao;endereco_local_votacao;qtd_secoes;qtd_vereadores;votos_totais;chave_local
ARAPIRACA;COLÉGIO QUINTELA CAVALCANTE;AV. VENTURA DE FARIAS S/N;16;96;3022;ARAPIRACA|COLEGIO QUINTELA CAVALCANTE|AV. VENTURA DE FARIAS S/N
ARAPIRACA;ESCOLA DE 1 E 2 GRAUS SENADOR RUI PALMEIRA;RUA MANOEL NUNES NETO S/N;16;102;2981;ARAPIRACA|ESCOLA DE 1 E 2 GRAUS SENADOR RUI PALMEIRA|RUA MANOEL NUNES NETO S/N
ARAPIRACA;ESCOLA DE ENSINO FUNDAMENTAL ENÉAS BENEDITO DOS SANTOS;POVOADO CANGANDU S/N;11;56;2836;ARAPIRACA|ESCOLA DE ENSINO FUNDAMENTAL ENEAS BENEDITO DOS SANTOS|POVOADO CANGANDU S/N
ARAPIRACA;ESCOLA PROFESSORA IZAURA ANTÔNIA LISBOA;RUA ANTÔNIO MARROQUIM S/N;14;96;2506;ARAPIRACA|ESCOLA PROFESSORA IZAURA ANTONIA LISBOA|RUA ANTONIO MARROQUIM S/N
ARAPIRACA;ESCOLA DE 1 GRAU FERNANDO COLLOR DE MELLO;POVOADO CANAÃ S/N;10;59;2301;ARAPIRACA|ESCOLA DE 1 GRAU FERNANDO COLLOR DE MELLO|POVOADO CANAA S/N
ARAPIRACA;ESCOLA AURINO MACIEL;RUA DOM FELÍCIO VASCONCELOS,S/N;12;92;2264;ARAPIRACA|ESCOLA AURINO MACIEL|RUA DOM FELICIO VASCONCELOS,S/N
ARAPIRACA;ESCOLA DE ENSINO FUNDAMENTAL MANOEL HUMBERTO DA COSTA;SÍTIO BATINGAS;10;68;2207;ARAPIRACA|ESCOLA DE ENSINO FUNDAMENTAL MANOEL HUMBERTO DA COSTA|SITIO BATINGAS
ARAPIRACA;GRUPO ESCOLAR ANTÔNIO CEZÁRIO DE OLIVEIRA;VILA SAÕ JOSÉ S/N;8;50;2134;ARAPIRACA|GRUPO ESCOLAR ANTONIO CEZARIO DE OLIVEIRA|VILA SAO JOSE S/N
ARAPIRACA;ESCOLA DE 1 GRAU MANOEL LUCIO DA SILVA;RUA MANOEL LÚCIO S/N;12;96;1916;ARAPIRACA|ESCOLA DE 1 GRAU MANOEL LUCIO DA SILVA|RUA MANOEL LUCIO S/N
ARAPIRACA;GRUPO ESCOLAR DJALMA MATHEUS SANTANA;RUA ROSENDO LIMA S/N;10;91;1908;ARAPIRACA|GRUPO ESCOLAR DJALMA MATHEUS SANTANA|RUA ROSENDO LIMA S/N
ARAPIRACA;COLÉGIO SÃO FRANCISCO DE ASSIS;RUA DOM FELÍCIO DE VASCONCELOS S/N;11;91;1906;ARAPIRACA|COLEGIO SAO FRANCISCO DE ASSIS|RUA DOM FELICIO DE VASCONCELOS S/N
ARAPIRACA;ESCOLA ENSINO FUNDAMENTAL DIVALDO SURUAGY;RUA ADERVAL INÁCIO DA SILVA, 45, BRASÍLIA, ARAPIRACA;10;89;1895;ARAPIRACA|ESCOLA ENSINO FUNDAMENTAL DIVALDO SURUAGY|RUA ADERVAL INACIO DA SILVA, 45, BRASILIA, ARAPIRACA
ARAPIRACA;ESCOLA ALTERNATIVA;RUA FLORIANO PEIXOTO, 98;10;81;1859;ARAPIRACA|ESCOLA ALTERNATIVA|RUA FLORIANO PEIXOTO, 98
ARAPIRACA;UNEAL UNIVERSIDADE ESTADUAL DE ALAGOAS;RUA GOVERNADOR LUIZ CAVALCANTE;13;88;1833;ARAPIRACA|UNEAL UNIVERSIDADE ESTADUAL DE ALAGOAS|RUA GOVERNADOR LUIZ CAVALCANTE
ARAPIRACA;ESCOLA DE 1 GRAU MANOEL ANDRÉ;AV.  JOSE LÚCIO DA SILVA S/N;10;78;1811;ARAPIRACA|ESCOLA DE 1 GRAU MANOEL ANDRE|AV. JOSE LUCIO DA SILVA S/N
ARAPIRACA;ESCOLA DE ENSINO FUNDAMENTAL CLAUDECY BISPO DOS SANTOS;RUA JOSÉ C. DE FARIAS;10;81;1798;ARAPIRACA|ESCOLA DE ENSINO FUNDAMENTAL CLAUDECY BISPO DOS SANTOS|RUA JOSE C. DE FARIAS
ARAPIRACA;ESCOLA DE 1 GRAU PARQUE LIONS;RUA GOV. AFRÂNIO LAGES S/N;9;83;1740;ARAPIRACA|ESCOLA DE 1 GRAU PARQUE LIONS|RUA GOV. AFRANIO LAGES S/N
ARAPIRACA;ESCOLA DE 1 GRAU ARTUR RAMOS;RUA COSTA CAVALCANTE, S/N;9;82;1709;ARAPIRACA|ESCOLA DE 1 GRAU ARTUR RAMOS|RUA COSTA CAVALCANTE, S/N
ARAPIRACA;GRUPO ESCOLAR JOSE PEREIRA LÚCIO;POVOADO BANANEIRAS S/N;9;57;1702;ARAPIRACA|GRUPO ESCOLAR JOSE PEREIRA LUCIO|POVOADO BANANEIRAS S/N
