municipio,codigo_tse_municipio,numero,vereador,nome_urna,partido,nome_partido,situacao,votos,rank_vereador_municipio,eleitorado_2024,populacao_estimada_2024,indice_estrategico_pct,prioridade_final,prefeito,partido_municipio,grupo_politico,relacao_davi,score_articulacao,percentual_votos_municipio,potencial_transferencia_conservador_20pct,potencial_transferencia_moderado_35pct,potencial_transferencia_alto_50pct,potencial_politico_vereador,indice_influencia_vereador,grupo_politico_original,total_votos_vereadores_municipio,percentual_votos_municipio_corrigido,grupo_politico_padronizado,meta_votos_davi_2026,taxa_conversao_conservadora,taxa_conversao_intermediaria,taxa_conversao_maxima,contribuicao_davi_10pct,contribuicao_davi_15pct,contribuicao_davi_20pct,percentual_meta_davi_10pct,percentual_meta_davi_15pct,percentual_meta_davi_20pct,potencial_eleitoral_vereador,score_politico_calculado,metodologia_contribuicao,metodologia_score_politico,tooltip_contribuicao_corrigida,potencial_transferencia_conservador_10pct,potencial_transferencia_moderado_15pct,potencial_transferencia_maximo_20pct,ranking_contribuicao_davi,acumulado_davi_10pct,acumulado_davi_15pct,acumulado_davi_20pct,percentual_meta_acumulado_10pct,percentual_meta_acumulado_15pct,percentual_meta_acumulado_20pct
MACEIÓ,27855,22555,LUCIANO MARINHO DA SILVA,LUCIANO MARINHO,PL,Partido Liberal,ELEITO POR QP,8545,1,632812,994464,27.397829079873947,Alta Prioridade,JOAO HENRIQUE HOLANDA CALDAS,PL,não_classificado,não_classificado,82.4,1.35,1709,1282,1709,Muito Alto,21.32,não_classificado,241387,3.54,SEM GRUPO,60000,0.1,0.15,0.2,854,1282,1709,1.4233,2.1367,2.8483,MUITO_ALTO,71,"Contribuição corrigida: votos nominais do vereador em 2024 multiplicados por 10%, 15% e 20%. O cenário de 20% é o teto operacional. Nenhum vereador pode contribuir, na estimativa, com mais votos do que recebeu.",Score 0-100: até 40 pontos por porte eleitoral; até 25 por percentual de votos no município; até 20 por prioridade territorial; até 15 por grupo político classificado.,LUCIANO MARINHO DA SILVA. em MACEIÓ. recebeu 8.545 votos em 2024. Pela metodologia corrigida. a contribuição potencial para Davi é calculada como conversão de parte desses próprios eleitores: 854 votos no cenário conservador de 10%. 1.282 no cenário intermediário de 15% e 1.709 no teto operacional de 20%. No cenário máximo. isso representa 2.85% da meta de 60.000 votos.,854,1282,1709,1,854,1282,1709,1.42,2.14,2.85
MACEIÓ,27855,11111,DAVID CABRAL DAVINO,DAVI DAVINO,PP,PROGRESSISTAS,ELEITO POR QP,5713,2,632812,994464,27.397829079873947,Alta Prioridade,JOAO HENRIQUE HOLANDA CALDAS,PL,não_classificado,não_classificado,82.4,0.9,1143,857,1143,Muito Alto,21.07,não_classificado,241387,2.3667,SEM GRUPO,60000,0.1,0.15,0.2,571,857,1143,0.9517,1.4283,1.905,MUITO_ALTO,71,"Contribuição corrigida: votos nominais do vereador em 2024 multiplicados por 10%, 15% e 20%. O cenário de 20% é o teto operacional. Nenhum vereador pode contribuir, na estimativa, com mais votos do que recebeu.",Score 0-100: até 40 pontos por porte eleitoral; até 25 por percentual de votos no município; até 20 por prioridade territorial; até 15 por grupo político classificado.,DAVID CABRAL DAVINO. em MACEIÓ. recebeu 5.713 votos em 2024. Pela metodologia corrigida. a contribuição potencial para Davi é calculada como conversão de parte desses próprios eleitores: 571 votos no cenário conservador de 10%. 857 no cenário intermediário de 15% e 1.143 no teto operacional de 20%. No cenário máximo. isso representa 1.91% da meta de 60.000 votos.,571,857,1143,2,1425,2139,2852,2.38,3.56,4.75
MACEIÓ,27855,22321,JOSE SIDERLANE ARAUJO DE MENDONCA,SIDERLANE MENDONÇA,PL,Partido Liberal,ELEITO POR QP,4857,3,632812,994464,27.397829079873947,Alta Prioridade,JOAO HENRIQUE HOLANDA CALDAS,PL,não_classificado,não_classificado,82.4,0.77,971,729,971,Muito Alto,21.0,não_classificado,241387,2.0121,SEM GRUPO,60000,0.1,0.15,0.2,486,729,971,0.81,1.215,1.6183,ALTO,65,"Contribuição corrigida: votos nominais do vereador em 2024 multiplicados por 10%, 15% e 20%. O cenário de 20% é o teto operacional. Nenhum vereador pode contribuir, na estimativa, com mais votos do que recebeu.",Score 0-100: até 40 pontos por porte eleitoral; até 25 por percentual de votos no município; até 20 por prioridade territorial; até 15 por grupo político classificado.,JOSE SIDERLANE ARAUJO DE MENDONCA. em MACEIÓ. recebeu 4.857 votos em 2024. Pela metodologia corrigida. a contribuição potencial para Davi é calculada como conversão de parte desses próprios eleitores: 486 votos no cenário conservador de 10%. 729 no cenário intermediário de 15% e 971 no teto operacional de 20%. No cenário máximo. isso representa 1.62% da meta de 60.000 votos.,486,729,971,3,1911,2868,3823,3.19,4.78,6.37
MACEIÓ,27855,15123,JOSÉ MÁRCIO DE MEDEIROS MAIA JÚNIOR,ZÉ MÁRCIO FILHO,MDB,Movimento Democrático Brasileiro,ELEITO POR QP,4727,4,632812,994464,27.397829079873947,Alta Prioridade,JOAO HENRIQUE HOLANDA CALDAS,PL,não_classificado,não_classificado,82.4,0.75,945,709,945,Muito Alto,20.99,não_classificado,241387,1.9583,SEM GRUPO,60000,0.1,0.15,0.2,473,709,945,0.7883,1.1817,1.575,ALTO,60,"Contribuição corrigida: votos nominais do vereador em 2024 multiplicados por 10%, 15% e 20%. O cenário de 20% é o teto operacional. Nenhum vereador pode contribuir, na estimativa, com mais votos do que recebeu.",Score 0-100: até 40 pontos por porte eleitoral; até 25 por percentual de votos no município; até 20 por prioridade territorial; até 15 por grupo político classificado.,JOSÉ MÁRCIO DE MEDEIROS MAIA JÚNIOR. em MACEIÓ. recebeu 4.727 votos em 2024. Pela metodologia corrigida. a contribuição potencial para Davi é calculada como conversão de parte desses próprios eleitores: 473 votos no cenário conservador de 10%. 709 no cenário intermediário de 15% e 945 no teto operacional de 20%. No cenário máximo. isso representa 1.57% da meta de 60.000 votos.,473,709,945,4,2384,3577,4768,3.97,5.96,7.95
MACEIÓ,27855,15555,KELMANN VIEIRA DE OLIVEIRA,KELMANN,MDB,Movimento Democrático Brasileiro,ELEITO POR QP,4544,5,632812,994464,27.397829079873947,Alta Prioridade,JOAO HENRIQUE HOLANDA CALDAS,PL,não_classificado,não_classificado,82.4,0.72,909,682,909,Muito Alto,20.98,não_classificado,241387,1.8825,SEM GRUPO,60000,0.1,0.15,0.2,454,682,909,0.7567,1.1367,1.515,ALTO,60,"Contribuição corrigida: votos nominais do vereador em 2024 multiplicados por 10%, 15% e 20%. O cenário de 20% é o teto operacional. Nenhum vereador pode contribuir, na estimativa, com mais votos do que recebeu.",Score 0-100: até 40 pontos por porte eleitoral; até 25 por percentual de votos no município; até 20 por prioridade territorial; até 15 por grupo político classificado.,KELMANN VIEIRA DE OLIVEIRA. em MACEIÓ. recebeu 4.544 votos em 2024. Pela metodologia corrigida. a contribuição potencial para Davi é calculada como conversão de parte desses próprios eleitores: 454 votos no cenário conservador de 10%. 682 no cenário intermediário de 15% e 909 no teto operacional de 20%. No cenário máximo. isso representa 1.51% da meta de 60.000 votos.,454,682,909,5,2838,4259,5677,4.73,7.1,9.46
ARAPIRACA,27057,15111,ROGERIO PEREIRA MELO,ROGERIO NEZINHO,MDB,Movimento Democrático Brasileiro,ELEITO POR QP,4543,1,155982,243661,6.73965243482755,Alta Prioridade,JOSE LUCIANO BARBOSA DA SILVA,MDB,não_classificado,não_classificado,81.74,2.91,909,681,909,Muito Alto,15.88,não_classificado,76514,5.9375,SEM GRUPO,60000,0.1,0.15,0.2,454,681,909,0.7567,1.135,1.515,ALTO,70,"Contribuição corrigida: votos nominais do vereador em 2024 multiplicados por 10%, 15% e 20%. O cenário de 20% é o teto operacional. Nenhum vereador pode contribuir, na estimativa, com mais votos do que recebeu.",Score 0-100: até 40 pontos por porte eleitoral; até 25 por percentual de votos no município; até 20 por prioridade territorial; até 15 por grupo político classificado.,ROGERIO PEREIRA MELO. em ARAPIRACA. recebeu 4.543 votos em 2024. Pela metodologia corrigida. a contribuição potencial para Davi é calculada como conversão de parte desses próprios eleitores: 454 votos no cenário conservador de 10%. 681 no cenário intermediário de 15% e 909 no teto operacional de 20%. No cenário máximo. isso representa 1.51% da meta de 60.000 votos.,454,681,909,6,3292,4940,6586,5.49,8.23,10.98
ARAPIRACA,27057,11333,SERGIO FABIO NUNES,SERGIO DO SINDICATO,PP,PROGRESSISTAS,ELEITO POR QP,4328,2,155982,243661,6.73965243482755,Alta Prioridade,JOSE LUCIANO BARBOSA DA SILVA,MDB,não_classificado,não_classificado,81.74,2.77,866,649,866,Muito Alto,15.81,não_classificado,76514,5.6565,SEM GRUPO,60000,0.1,0.15,0.2,433,649,866,0.7217,1.0817,1.4433,ALTO,70,"Contribuição corrigida: votos nominais do vereador em 2024 multiplicados por 10%, 15% e 20%. O cenário de 20% é o teto operacional. Nenhum vereador pode contribuir, na estimativa, com mais votos do que recebeu.",Score 0-100: até 40 pontos por porte eleitoral; até 25 por percentual de votos no município; até 20 por prioridade territorial; até 15 por grupo político classificado.,SERGIO FABIO NUNES. em ARAPIRACA. recebeu 4.328 votos em 2024. Pela metodologia corrigida. a contribuição potencial para Davi é calculada como conversão de parte desses próprios eleitores: 433 votos no cenário conservador de 10%. 649 no cenário intermediário de 15% e 866 no teto operacional de 20%. No cenário máximo. isso representa 1.44% da meta de 60.000 votos.,433,649,866,7,3725,5589,7452,6.21,9.32,12.42
MACEIÓ,27855,22456,BRIVALDO MARQUES SILVA NETO,BRIVALDO MARQUES,PL,Partido Liberal,ELEITO POR QP,4099,6,632812,994464,27.397829079873947,Alta Prioridade,JOAO HENRIQUE HOLANDA CALDAS,PL,não_classificado,não_classificado,82.4,0.65,820,615,820,Muito Alto,20.94,não_classificado,241387,1.6981,SEM GRUPO,60000,0.1,0.15,0.2,410,615,820,0.6833,1.025,1.3667,ALTO,60,"Contribuição corrigida: votos nominais do vereador em 2024 multiplicados por 10%, 15% e 20%. O cenário de 20% é o teto operacional. Nenhum vereador pode contribuir, na estimativa, com mais votos do que recebeu.",Score 0-100: até 40 pontos por porte eleitoral; até 25 por percentual de votos no município; até 20 por prioridade territorial; até 15 por grupo político classificado.,BRIVALDO MARQUES SILVA NETO. em MACEIÓ. recebeu 4.099 votos em 2024. Pela metodologia corrigida. a contribuição potencial para Davi é calculada como conversão de parte desses próprios eleitores: 410 votos no cenário conservador de 10%. 615 no cenário intermediário de 15% e 820 no teto operacional de 20%. No cenário máximo. isso representa 1.37% da meta de 60.000 votos.,410,615,820,8,4135,6204,8272,6.89,10.34,13.79
MACEIÓ,27855,22123,LEONARDO DA FONSECA DIAS,LEONARDO DIAS,PL,Partido Liberal,ELEITO POR QP,3963,7,632812,994464,27.397829079873947,Alta Prioridade,JOAO HENRIQUE HOLANDA CALDAS,PL,não_classificado,não_classificado,82.4,0.63,793,594,793,Muito Alto,20.93,não_classificado,241387,1.6418,SEM GRUPO,60000,0.1,0.15,0.2,396,594,793,0.66,0.99,1.3217,ALTO,60,"Contribuição corrigida: votos nominais do vereador em 2024 multiplicados por 10%, 15% e 20%. O cenário de 20% é o teto operacional. Nenhum vereador pode contribuir, na estimativa, com mais votos do que recebeu.",Score 0-100: até 40 pontos por porte eleitoral; até 25 por percentual de votos no município; até 20 por prioridade territorial; até 15 por grupo político classificado.,LEONARDO DA FONSECA DIAS. em MACEIÓ. recebeu 3.963 votos em 2024. Pela metodologia corrigida. a contribuição potencial para Davi é calculada como conversão de parte desses próprios eleitores: 396 votos no cenário conservador de 10%. 594 no cenário intermediário de 15% e 793 no teto operacional de 20%. No cenário máximo. isso representa 1.32% da meta de 60.000 votos.,396,594,793,9,4531,6798,9065,7.55,11.33,15.11
MACEIÓ,27855,22222,GALBA NOVAIS DE CASTRO NETTO,GALBA NETTO,PL,Partido Liberal,ELEITO POR QP,3894,8,632812,994464,27.397829079873947,Alta Prioridade,JOAO HENRIQUE HOLANDA CALDAS,PL,não_classificado,não_classificado,82.4,0.62,779,584,779,Muito Alto,20.92,não_classificado,241387,1.6132,SEM GRUPO,60000,0.1,0.15,0.2,389,584,779,0.6483,0.9733,1.2983,ALTO,60,"Contribuição corrigida: votos nominais do vereador em 2024 multiplicados por 10%, 15% e 20%. O cenário de 20% é o teto operacional. Nenhum vereador pode contribuir, na estimativa, com mais votos do que recebeu.",Score 0-100: até 40 pontos por porte eleitoral; até 25 por percentual de votos no município; até 20 por prioridade territorial; até 15 por grupo político classificado.,GALBA NOVAIS DE CASTRO NETTO. em MACEIÓ. recebeu 3.894 votos em 2024. Pela metodologia corrigida. a contribuição potencial para Davi é calculada como conversão de parte desses próprios eleitores: 389 votos no cenário conservador de 10%. 584 no cenário intermediário de 15% e 779 no teto operacional de 20%. No cenário máximo. isso representa 1.30% da meta de 60.000 votos.,389,584,779,10,4920,7382,9844,8.2,12.3,16.41
