rank,municipio,populacao_estimada_2024,eleitorado_2024,participacao_eleitorado_pct,indice_estrategico_pct,prioridade_politica,prefeito,vice_prefeito,partido,numero,votos_prefeito,percentual_prefeito,segundo_colocado,partido_segundo_colocado,votos_segundo_colocado,percentual_segundo_colocado,margem_vitoria_votos,margem_vitoria_pct,visitado_pre_campanha,quantidade_visitas,ultima_visita,status_visitacao,capital_politico_prefeito,grupo_politico,relacao_davi
2,Arapiraca,243661.0,155982,6.3851317331001605,6.73965243482755,Prioridade Máxima,JOSE LUCIANO BARBOSA DA SILVA,RUTINEIDE PEREIRA MELO DE LIRA,MDB,15,100890,85.04,FABIANA CAVALCANTE PESSOA,PL,16635.0,14.02,84255.0,71.02000000000001,False,0,,Prioritário não visitado,679963.5341497515,,
3,Rio Largo,97435.0,67172,2.74968950760859,2.83253283979211,Prioridade Máxima,PEDRO CARLOS DA SILVA NETO,PETERSON HENRIQUE DA SILVA SANTOS,PP,11,32496,62.99,ANNY IZABELLE TORRES MELO LINS DE SOUZA,PDT,10848.0,21.03,21648.0,41.96,False,0,,Prioritário não visitado,92045.9871618844,,
6,Marechal Deodoro,62341.0,46217,1.89189543222096,1.90512481404747,Prioridade Máxima,ANDRÉ LUIZ BARROS DA SILVA,NEILSON COSTA DA SILVA,MDB,15,21621,58.47,JOSÉ GILVAN RIBEIRO DE ALMEIDA FILHO,REPUBLICANOS,15360.0,41.53,6261.0,16.939999999999998,False,0,,Prioritário não visitado,41190.70360452035,,
7,Penedo,60189.0,44517,1.82230583889436,1.83636305682454,Prioridade Máxima,RONALDO PEREIRA LOPES,JOSÉ EVALDO DOS SANTOS MONTEIRO,MDB,15,24059,71.33,MARCIUS BELTRÃO SIQUEIRA,PDT,9672.0,28.67,14387.0,42.66,False,0,,Prioritário não visitado,44181.058784141605,,
8,São Miguel dos Campos,53391.0,43990,1.80073306496311,1.7579287568954198,Prioridade Máxima,GEORGE CLEMENTE VIEIRA,BENILDO CHAGAS DE OMENA,MDB,15,25796,79.18,PEDRO RICARDO ALVES JATOBÁ,PRD,6782.0,20.82,19014.0,58.36000000000001,False,0,,Prioritário não visitado,45347.53021287425,,
9,Coruripe,51788.0,42038,1.72082783780221,1.68706079762416,Prioridade Máxima,MARCELO BELTRÃO SIQUEIRA,JOSÉ ENEAS DA COSTA GAMA,PP,11,27647,90.22,MARCOS ANTONIO LINS DOS SANTOS,23,2303.0,7.52,25344.0,82.7,False,0,,Prioritário não visitado,46642.16987191515,,
10,Delmiro Gouveia,52809.0,41113,1.68296291202156,1.67006746471436,Prioridade Máxima,ELIZIANE FERREIRA COSTA LIMA,ERIVALDO BEZERRA SANDES,MDB,15,24620,83.31,CRISTOVÃO LOPES DIAS,PT,4932.0,16.69,19688.0,66.62,False,0,,Prioritário não visitado,41117.06098126755,,
11,Santana do Ipanema,47397.0,33506,1.37156994941245,1.40167165913523,Alta Prioridade,JOAO EDUARDO BULHOES PORTELA DE MELO,MÁRIO SIQUEIRA SILVA,MDB,15,16302,64.77,JOSE EDSON MAGALHÃES FELIX,PP,8268.0,32.85,8034.0,31.919999999999995,False,0,,Prioritário não visitado,22850.05138722252,,
12,Atalaia,38530.0,32883,1.346067410211,1.30121074857304,Alta Prioridade,CECILIA LIMA HERRMANN,NICOLLAS VON MEYNARD THEOTONIO COSTA,MDB,15,19600,79.95,MAURICIO TENÓRIO DA SILVA,PDT,2423.0,9.88,17177.0,70.07000000000001,False,0,,Prioritário não visitado,25503.730672031583,,
13,Teotônio Vilela,39161.0,31976,1.30893931541851,1.28109977433508,Alta Prioridade,PEDRO HENRIQUE DE JESUS PEREIRA,ANDRE BORGES PEREIRA DA SILVA,PP,11,17729,77.19,VALDIR JOAQUIM DA SILVA NETO,MDB,5238.0,22.81,12491.0,54.38,False,0,,Prioritário não visitado,22712.617899186633,,
14,Pilar,36499.0,29137,1.19272469456308,1.17494909850829,Alta Prioridade,MARIA DE FATIMA RESENDE ROCHA OITICICA,TAYRONNE HENRIQUE DOS SANTOS,MDB,15,13008,56.14,ROBERTO DOUGLAS DA SILVA BARROS,PV,5171.0,22.32,7837.0,33.82,False,0,,Prioritário não visitado,15283.737873395836,,
15,Girau do Ponciano,37335.0,28487,1.16611690887938,1.16411221684923,Alta Prioridade,GILBERTO BEZERRA BARROS,OSVALDO ALEXANDRE SANTOS JUNIOR,PP,11,15885,71.42,LIDIA SAMYRA DO NASCIMENTO BARROS SILVA,PDT,6358.0,28.58,9527.0,42.84,False,0,,Prioritário não visitado,18491.922564650016,,
16,São Sebastião,32701.0,27531,1.12698299639689,1.09354595945992,Alta Prioridade,CHARLES NUNES REGUEIRA,ANA PATRICIA ALVES DOS SANTOS,PP,11,11980,56.14,MARCOS ANDRE DE JESUS PEREIRA,MDB,8803.0,41.26,3177.0,14.880000000000004,False,0,,Prioritário não visitado,13100.68059432984,,
17,Campo Alegre,32714.0,27202,1.11351536333545,1.08423973041757,Alta Prioridade,PAULINE DE FÁTIMA PEREIRA ALBUQUERQUE,LEONARDO DE PAULA MONTEIRO,PP,11,12217,59.17,HENRIQUE ANTONIO DE GOES TENORIO,MDB,8429.0,40.83,3788.0,18.340000000000003,False,0,,Prioritário não visitado,13246.156786511452,,
