municipio,NR_ZONA,NR_LOCAL_VOTACAO,local_votacao,endereco_local_votacao,regiao_estimada,votos_parceiro,secoes_com_voto,percentual_votos_parceiro,forca_reduto,ranking_local_parceiro,municipio_norm,zona_norm,local_num_norm_parceiro,local_votacao_parceiro,local_nome_norm,endereco_parceiro,votos_parceiro_local,forca_reduto_parceiro,nome_parceiro,local_num_norm_vereador,local_nome,endereco_local,vereador,partido_vereador,votos_vereador_local,ranking_vereador_no_local,tipo_cruzamento,zona_norm_parceiro,zona_norm_vereador,potencial_votos_50pct_parceiro,potencial_votos_50pct_vereador,potencial_votos,potencial_davi_10pct_local,potencial_davi_15pct_local,potencial_davi_20pct_local,score_parceiro_local,score_vereador_local,score_potencial_davi,indice_convergencia,classificacao_convergencia,formula_potencial_votos,acao_recomendada,observacao_metodologica,ranking_convergencia,id_parceiro,ranking_consolidado
RIO LARGO,15,1546,ESCOLA MUNICIPAL DR. GUSTAVO PAIVA,"CJ BARNABÉ OITICICA II, SN, MATA DO ROLO",MATA DO ROLO,1133,16,3.8621,NÚCLEO FORTE,1,RIO LARGO,15,1546,ESCOLA MUNICIPAL DR. GUSTAVO PAIVA,ESCOLA MUNICIPAL DR GUSTAVO PAIVA,"CJ BARNABÉ OITICICA II, SN, MATA DO ROLO",1133,NÚCLEO FORTE,Gabi Gonçalves,,ESCOLA MUNICIPAL DR. GUSTAVO PAIVA,"CJ BARNABÉ OITICICA II, SN, MATA DO ROLO",MÁRCIO SOARES CAVALCANTE,PP,278,1,MUNICIPIO_ZONA_NOME_LOCAL,,,566,139,705,705,705,705,100.0,54.62,100.0,88.66,CONVERGÊNCIA ALTA,50% dos votos do parceiro no território + 50% dos votos do vereador convergente no mesmo local de votação,"Agendar articulação Davi + Gabi Gonçalves com o vereador MÁRCIO SOARES CAVALCANTE no território do local de votação ESCOLA MUNICIPAL DR. GUSTAVO PAIVA. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial.",Cruzamento entre votação do parceiro em 2022 e votação de vereadores em 2024. O potencial de votos usa a fórmula 50/50: metade dos votos do parceiro no território mais metade dos votos do vereador convergente no mesmo local. A métrica orienta articulação política e não representa voto garantido.,1,gabi-goncalves,1
RIO LARGO,15,1546,ESCOLA MUNICIPAL DR. GUSTAVO PAIVA,"CJ BARNABÉ OITICICA II, SN, MATA DO ROLO",MATA DO ROLO,1133,16,3.8621,NÚCLEO FORTE,1,RIO LARGO,15,1546,ESCOLA MUNICIPAL DR. GUSTAVO PAIVA,ESCOLA MUNICIPAL DR GUSTAVO PAIVA,"CJ BARNABÉ OITICICA II, SN, MATA DO ROLO",1133,NÚCLEO FORTE,Gabi Gonçalves,,ESCOLA MUNICIPAL DR. GUSTAVO PAIVA,"CJ BARNABÉ OITICICA II, SN, MATA DO ROLO",NADIELLE NAYARA DA COSTA LOPES,PP,225,2,MUNICIPIO_ZONA_NOME_LOCAL,,,566,112,678,678,678,678,100.0,44.2,96.17,84.9,CONVERGÊNCIA ALTA,50% dos votos do parceiro no território + 50% dos votos do vereador convergente no mesmo local de votação,"Agendar articulação Davi + Gabi Gonçalves com o vereador NADIELLE NAYARA DA COSTA LOPES no território do local de votação ESCOLA MUNICIPAL DR. GUSTAVO PAIVA. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial.",Cruzamento entre votação do parceiro em 2022 e votação de vereadores em 2024. O potencial de votos usa a fórmula 50/50: metade dos votos do parceiro no território mais metade dos votos do vereador convergente no mesmo local. A métrica orienta articulação política e não representa voto garantido.,2,gabi-goncalves,2
RIO LARGO,15,1546,ESCOLA MUNICIPAL DR. GUSTAVO PAIVA,"CJ BARNABÉ OITICICA II, SN, MATA DO ROLO",MATA DO ROLO,1133,16,3.8621,NÚCLEO FORTE,1,RIO LARGO,15,1546,ESCOLA MUNICIPAL DR. GUSTAVO PAIVA,ESCOLA MUNICIPAL DR GUSTAVO PAIVA,"CJ BARNABÉ OITICICA II, SN, MATA DO ROLO",1133,NÚCLEO FORTE,Gabi Gonçalves,,ESCOLA MUNICIPAL DR. GUSTAVO PAIVA,"CJ BARNABÉ OITICICA II, SN, MATA DO ROLO",RAFAEL RUDSON FEITOSA PINTO,PP,180,3,MUNICIPIO_ZONA_NOME_LOCAL,,,566,90,656,656,656,656,100.0,35.36,93.05,81.76,CONVERGÊNCIA ALTA,50% dos votos do parceiro no território + 50% dos votos do vereador convergente no mesmo local de votação,"Agendar articulação Davi + Gabi Gonçalves com o vereador RAFAEL RUDSON FEITOSA PINTO no território do local de votação ESCOLA MUNICIPAL DR. GUSTAVO PAIVA. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial.",Cruzamento entre votação do parceiro em 2022 e votação de vereadores em 2024. O potencial de votos usa a fórmula 50/50: metade dos votos do parceiro no território mais metade dos votos do vereador convergente no mesmo local. A métrica orienta articulação política e não representa voto garantido.,3,gabi-goncalves,3
RIO LARGO,15,1546,ESCOLA MUNICIPAL DR. GUSTAVO PAIVA,"CJ BARNABÉ OITICICA II, SN, MATA DO ROLO",MATA DO ROLO,1133,16,3.8621,NÚCLEO FORTE,1,RIO LARGO,15,1546,ESCOLA MUNICIPAL DR. GUSTAVO PAIVA,ESCOLA MUNICIPAL DR GUSTAVO PAIVA,"CJ BARNABÉ OITICICA II, SN, MATA DO ROLO",1133,NÚCLEO FORTE,Gabi Gonçalves,,ESCOLA MUNICIPAL DR. GUSTAVO PAIVA,"CJ BARNABÉ OITICICA II, SN, MATA DO ROLO",ALINE BIANA CAVALCANTE,UNIÃO,172,4,MUNICIPIO_ZONA_NOME_LOCAL,,,566,86,652,652,652,652,100.0,33.79,92.48,81.19,CONVERGÊNCIA ALTA,50% dos votos do parceiro no território + 50% dos votos do vereador convergente no mesmo local de votação,"Agendar articulação Davi + Gabi Gonçalves com o vereador ALINE BIANA CAVALCANTE no território do local de votação ESCOLA MUNICIPAL DR. GUSTAVO PAIVA. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial.",Cruzamento entre votação do parceiro em 2022 e votação de vereadores em 2024. O potencial de votos usa a fórmula 50/50: metade dos votos do parceiro no território mais metade dos votos do vereador convergente no mesmo local. A métrica orienta articulação política e não representa voto garantido.,4,gabi-goncalves,4
RIO LARGO,15,1546,ESCOLA MUNICIPAL DR. GUSTAVO PAIVA,"CJ BARNABÉ OITICICA II, SN, MATA DO ROLO",MATA DO ROLO,1133,16,3.8621,NÚCLEO FORTE,1,RIO LARGO,15,1546,ESCOLA MUNICIPAL DR. GUSTAVO PAIVA,ESCOLA MUNICIPAL DR GUSTAVO PAIVA,"CJ BARNABÉ OITICICA II, SN, MATA DO ROLO",1133,NÚCLEO FORTE,Gabi Gonçalves,,ESCOLA MUNICIPAL DR. GUSTAVO PAIVA,"CJ BARNABÉ OITICICA II, SN, MATA DO ROLO",JOSE CARLOS REIS DOS SANTOS FILHO,PP,170,5,MUNICIPIO_ZONA_NOME_LOCAL,,,566,85,651,651,651,651,100.0,33.4,92.34,81.05,CONVERGÊNCIA ALTA,50% dos votos do parceiro no território + 50% dos votos do vereador convergente no mesmo local de votação,"Agendar articulação Davi + Gabi Gonçalves com o vereador JOSE CARLOS REIS DOS SANTOS FILHO no território do local de votação ESCOLA MUNICIPAL DR. GUSTAVO PAIVA. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial.",Cruzamento entre votação do parceiro em 2022 e votação de vereadores em 2024. O potencial de votos usa a fórmula 50/50: metade dos votos do parceiro no território mais metade dos votos do vereador convergente no mesmo local. A métrica orienta articulação política e não representa voto garantido.,5,gabi-goncalves,5
RIO LARGO,15,1546,ESCOLA MUNICIPAL DR. GUSTAVO PAIVA,"CJ BARNABÉ OITICICA II, SN, MATA DO ROLO",MATA DO ROLO,1133,16,3.8621,NÚCLEO FORTE,1,RIO LARGO,15,1546,ESCOLA MUNICIPAL DR. GUSTAVO PAIVA,ESCOLA MUNICIPAL DR GUSTAVO PAIVA,"CJ BARNABÉ OITICICA II, SN, MATA DO ROLO",1133,NÚCLEO FORTE,Gabi Gonçalves,,ESCOLA MUNICIPAL DR. GUSTAVO PAIVA,"CJ BARNABÉ OITICICA II, SN, MATA DO ROLO",IZAQUE PEREIRA SILVA,AVANTE,166,6,MUNICIPIO_ZONA_NOME_LOCAL,,,566,83,649,649,649,649,100.0,32.61,92.06,80.77,CONVERGÊNCIA ALTA,50% dos votos do parceiro no território + 50% dos votos do vereador convergente no mesmo local de votação,"Agendar articulação Davi + Gabi Gonçalves com o vereador IZAQUE PEREIRA SILVA no território do local de votação ESCOLA MUNICIPAL DR. GUSTAVO PAIVA. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial.",Cruzamento entre votação do parceiro em 2022 e votação de vereadores em 2024. O potencial de votos usa a fórmula 50/50: metade dos votos do parceiro no território mais metade dos votos do vereador convergente no mesmo local. A métrica orienta articulação política e não representa voto garantido.,6,gabi-goncalves,6
RIO LARGO,15,1546,ESCOLA MUNICIPAL DR. GUSTAVO PAIVA,"CJ BARNABÉ OITICICA II, SN, MATA DO ROLO",MATA DO ROLO,1133,16,3.8621,NÚCLEO FORTE,1,RIO LARGO,15,1546,ESCOLA MUNICIPAL DR. GUSTAVO PAIVA,ESCOLA MUNICIPAL DR GUSTAVO PAIVA,"CJ BARNABÉ OITICICA II, SN, MATA DO ROLO",1133,NÚCLEO FORTE,Gabi Gonçalves,,ESCOLA MUNICIPAL DR. GUSTAVO PAIVA,"CJ BARNABÉ OITICICA II, SN, MATA DO ROLO",JEFFERSON ALEXANDRE CAVALCANTE,AVANTE,158,7,MUNICIPIO_ZONA_NOME_LOCAL,,,566,79,645,645,645,645,100.0,31.04,91.49,80.21,CONVERGÊNCIA ALTA,50% dos votos do parceiro no território + 50% dos votos do vereador convergente no mesmo local de votação,"Agendar articulação Davi + Gabi Gonçalves com o vereador JEFFERSON ALEXANDRE CAVALCANTE no território do local de votação ESCOLA MUNICIPAL DR. GUSTAVO PAIVA. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial.",Cruzamento entre votação do parceiro em 2022 e votação de vereadores em 2024. O potencial de votos usa a fórmula 50/50: metade dos votos do parceiro no território mais metade dos votos do vereador convergente no mesmo local. A métrica orienta articulação política e não representa voto garantido.,7,gabi-goncalves,7
RIO LARGO,15,1546,ESCOLA MUNICIPAL DR. GUSTAVO PAIVA,"CJ BARNABÉ OITICICA II, SN, MATA DO ROLO",MATA DO ROLO,1133,16,3.8621,NÚCLEO FORTE,1,RIO LARGO,15,1546,ESCOLA MUNICIPAL DR. GUSTAVO PAIVA,ESCOLA MUNICIPAL DR GUSTAVO PAIVA,"CJ BARNABÉ OITICICA II, SN, MATA DO ROLO",1133,NÚCLEO FORTE,Gabi Gonçalves,,ESCOLA MUNICIPAL DR. GUSTAVO PAIVA,"CJ BARNABÉ OITICICA II, SN, MATA DO ROLO",JOSÉ ROGÉRIO DA SILVA,PP,152,8,MUNICIPIO_ZONA_NOME_LOCAL,,,566,76,642,642,642,642,100.0,29.86,91.06,79.78,CONVERGÊNCIA ALTA,50% dos votos do parceiro no território + 50% dos votos do vereador convergente no mesmo local de votação,"Agendar articulação Davi + Gabi Gonçalves com o vereador JOSÉ ROGÉRIO DA SILVA no território do local de votação ESCOLA MUNICIPAL DR. GUSTAVO PAIVA. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial.",Cruzamento entre votação do parceiro em 2022 e votação de vereadores em 2024. O potencial de votos usa a fórmula 50/50: metade dos votos do parceiro no território mais metade dos votos do vereador convergente no mesmo local. A métrica orienta articulação política e não representa voto garantido.,8,gabi-goncalves,8
RIO LARGO,15,1546,ESCOLA MUNICIPAL DR. GUSTAVO PAIVA,"CJ BARNABÉ OITICICA II, SN, MATA DO ROLO",MATA DO ROLO,1133,16,3.8621,NÚCLEO FORTE,1,RIO LARGO,15,1546,ESCOLA MUNICIPAL DR. GUSTAVO PAIVA,ESCOLA MUNICIPAL DR GUSTAVO PAIVA,"CJ BARNABÉ OITICICA II, SN, MATA DO ROLO",1133,NÚCLEO FORTE,Gabi Gonçalves,,ESCOLA MUNICIPAL DR. GUSTAVO PAIVA,"CJ BARNABÉ OITICICA II, SN, MATA DO ROLO",MARCELO VITOR PRAXEDES TORRES,REPUBLICANOS,148,9,MUNICIPIO_ZONA_NOME_LOCAL,,,566,74,640,640,640,640,100.0,29.08,90.78,79.5,CONVERGÊNCIA ALTA,50% dos votos do parceiro no território + 50% dos votos do vereador convergente no mesmo local de votação,"Agendar articulação Davi + Gabi Gonçalves com o vereador MARCELO VITOR PRAXEDES TORRES no território do local de votação ESCOLA MUNICIPAL DR. GUSTAVO PAIVA. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial.",Cruzamento entre votação do parceiro em 2022 e votação de vereadores em 2024. O potencial de votos usa a fórmula 50/50: metade dos votos do parceiro no território mais metade dos votos do vereador convergente no mesmo local. A métrica orienta articulação política e não representa voto garantido.,9,gabi-goncalves,9
RIO LARGO,15,1546,ESCOLA MUNICIPAL DR. GUSTAVO PAIVA,"CJ BARNABÉ OITICICA II, SN, MATA DO ROLO",MATA DO ROLO,1133,16,3.8621,NÚCLEO FORTE,1,RIO LARGO,15,1546,ESCOLA MUNICIPAL DR. GUSTAVO PAIVA,ESCOLA MUNICIPAL DR GUSTAVO PAIVA,"CJ BARNABÉ OITICICA II, SN, MATA DO ROLO",1133,NÚCLEO FORTE,Gabi Gonçalves,,ESCOLA MUNICIPAL DR. GUSTAVO PAIVA,"CJ BARNABÉ OITICICA II, SN, MATA DO ROLO",CAMILLY CABRAL CORREIA ALVES DE OLIVEIRA,PDT,124,10,MUNICIPIO_ZONA_NOME_LOCAL,,,566,62,628,628,628,628,100.0,24.36,89.08,77.81,CONVERGÊNCIA ALTA,50% dos votos do parceiro no território + 50% dos votos do vereador convergente no mesmo local de votação,"Agendar articulação Davi + Gabi Gonçalves com o vereador CAMILLY CABRAL CORREIA ALVES DE OLIVEIRA no território do local de votação ESCOLA MUNICIPAL DR. GUSTAVO PAIVA. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial.",Cruzamento entre votação do parceiro em 2022 e votação de vereadores em 2024. O potencial de votos usa a fórmula 50/50: metade dos votos do parceiro no território mais metade dos votos do vereador convergente no mesmo local. A métrica orienta articulação política e não representa voto garantido.,10,gabi-goncalves,10
