SQ_CANDIDATO,NR_VOTAVEL,NM_VOTAVEL,DS_CARGO,NM_MUNICIPIO,votos_total,secoes,locais_votacao
20001989546,15,JOSÉ DJALMA GONÇALVES DA SILVA,Prefeito,PALESTINA,3292,14,3
20002187081,11000,JOSE GILDO GONÇALVES CASTRO,Vereador,CORURIPE,1243,103,13
20002134589,44123,GILSON GONÇALVES DA SILVA,Vereador,MACEIÓ,791,363,100
20002005682,70,GEOBERTO GONÇALVES DA SILVA CORDEIRO,Prefeito,MESSIAS,790,39,4
20002361980,12111,ANTONIO JARBAS ALENCAR GONCALVES,Vereador,UNIÃO DOS PALMARES,765,141,18
20002098015,20220,JOSE MIGUEL GONÇALVES DA SILVA,Vereador,MACEIÓ,649,216,83
20002036545,40444,EDIVAL FERREIRA GONÇALVES FILHO,Vereador,IGACI,614,81,11
20002265477,44444,EDIVAL FERREIRA GONÇALVES,Vereador,CRAÍBAS,600,58,7
20001967997,15123,MARIA GABRIELA RICARDO GABRIEL DA SILVA,Vereador,TAQUARANA,562,50,4
20002257762,15333,JOSE ALBINO GONÇALVES DE FREITAS JUNIOR,Vereador,PARIPUEIRA,435,33,5
20001980603,15000,MARCONY GONÇALVES FEITOSA,Vereador,BELO MONTE,428,16,4
20002086488,10444,REGIANE GONÇALVES DE LIMA MANSO,Vereador,MACEIÓ,412,259,93
20001912159,13222,LUAN LEYRE GONÇALVES CARVALHO GALVÃO,Vereador,PIRANHAS,410,40,7
20001910136,11456,NATIEL RODRIGUES GONCALVES,Vereador,DELMIRO GOUVEIA,373,107,19
20002267324,40111,JOSÉ FAUSTINO GONÇALVES,Vereador,INHAPI,353,40,7
20002362099,11999,AELSON GONÇALVES DOS SANTOS,Vereador,UNIÃO DOS PALMARES,237,103,16
20001985072,40777,JOSÉ AUGUSTO GONÇALVES DE BRITO,Vereador,PALESTINA,196,14,3
20002330941,13113,JOSE GERALDO GONÇALVES,Vereador,ÁGUA BRANCA,137,36,8
20002128154,77789,JORGE DOS SANTOS GONÇALVES,Vereador,SÃO LUÍS DO QUITUNDE,101,50,9
20002122891,11555,SANDRO MARCELINO GONÇALVES,Vereador,PALESTINA,76,14,3
20001980604,15123,WEVERTON GONÇALVES FONTES,Vereador,BELO MONTE,46,14,4
20002043198,10123,JOSÉ CLAUDIO GONÇALVES FEITOSA,Vereador,RIO LARGO,40,33,13
20002010457,15777,SUZANA MARCELINO GONÇALVES,Vereador,PALESTINA,36,14,3
20001936388,12000,INALDO GONÇALVES DA SILVA,Vereador,MESSIAS,31,18,4
20002005726,10222,JOSEPH JAMMYSON DIAS GONÇALVES,Vereador,TRAIPU,29,25,12
20001911307,13444,GILMARA GONÇALVES DE BARROS,Vereador,DELMIRO GOUVEIA,23,20,9
20001982490,77333,ALDAIR GONÇALVES DA FONSECA,Vereador,RIO LARGO,16,14,10
20002332931,44000,GABRIELA JUSTINO MACEDO,Vereador,SÃO LUÍS DO QUITUNDE,15,13,8
20002008608,43300,ANGELO GONÇALVES DE FREITAS FILHO,Vereador,SÃO MIGUEL DOS CAMPOS,9,9,5
20002269713,22444,EDMILSON GONÇALVES DA SILVA,Vereador,CAMPESTRE,9,7,2
20002332937,44888,SÉRGIO GONÇALVES PACHECO,Vereador,SÃO LUÍS DO QUITUNDE,3,3,3
20002014783,15557,EDILMA DE ARAÚJO GONÇALVES,Vereador,PIAÇABUÇU,3,2,2
