DT_GERACAO,HH_GERACAO,ANO_ELEICAO,CD_TIPO_ELEICAO,NM_TIPO_ELEICAO,NR_TURNO,CD_ELEICAO,DS_ELEICAO,DT_ELEICAO,TP_ABRANGENCIA,SG_UF,SG_UE,NM_UE,CD_MUNICIPIO,NM_MUNICIPIO,NR_ZONA,NR_SECAO,CD_CARGO,DS_CARGO,NR_VOTAVEL,NM_VOTAVEL,QT_VOTOS,NR_LOCAL_VOTACAO,SQ_CANDIDATO,NM_LOCAL_VOTACAO,DS_LOCAL_VOTACAO_ENDERECO
28/10/2024,11:46:22,2024,2,Eleição Ordinária,1,619,Eleições Municipais 2024,06/10/2024,M,AL,28339,PENEDO,28339,PENEDO,13,4,13,Vereador,15666,JOSE VALÉRIO DA SILVA JUNIOR,1,1023,20002015866,ESCOLA ESTADUAL DR. ALCIDES ANDRADE,"ROD. ENGENHEIRO JOAQUIM GONÇALVES, S/N, PX. A GRANDE RIO VEÍCULOS"
28/10/2024,11:46:22,2024,2,Eleição Ordinária,1,619,Eleições Municipais 2024,06/10/2024,M,AL,28339,PENEDO,28339,PENEDO,13,5,13,Vereador,77888,MARIVAL OLIVEIRA SANTOS,2,1023,20002036137,ESCOLA ESTADUAL DR. ALCIDES ANDRADE,"ROD. ENGENHEIRO JOAQUIM GONÇALVES, S/N, PX. A GRANDE RIO VEÍCULOS"
28/10/2024,11:46:22,2024,2,Eleição Ordinária,1,619,Eleições Municipais 2024,06/10/2024,M,AL,28339,PENEDO,28339,PENEDO,13,1,13,Vereador,77888,MARIVAL OLIVEIRA SANTOS,4,1023,20002036137,ESCOLA ESTADUAL DR. ALCIDES ANDRADE,"ROD. ENGENHEIRO JOAQUIM GONÇALVES, S/N, PX. A GRANDE RIO VEÍCULOS"
28/10/2024,11:46:22,2024,2,Eleição Ordinária,1,619,Eleições Municipais 2024,06/10/2024,M,AL,28355,PIAÇABUÇU,28355,PIAÇABUÇU,13,153,13,Vereador,40111,CINTIA FRANCISCA FRANÇA DOS SANTOS,1,1040,20002014292,GRUPO ESCOLAR JOSE GONCALVES,RUA PADRE CURADOR S/N 
28/10/2024,11:46:22,2024,2,Eleição Ordinária,1,619,Eleições Municipais 2024,06/10/2024,M,AL,27111,BARRA DE SÃO MIGUEL,27111,BARRA DE SÃO MIGUEL,26,103,13,Vereador,15789,JOSÉ THALES PEREIRA DOS SANTOS,5,1015,20002007940,ESCOLA ESTADUAL MISAEL GONÇALVES FERREIRA,TRAVESSA JOSÉ MACHADO SN
28/10/2024,11:46:22,2024,2,Eleição Ordinária,1,619,Eleições Municipais 2024,06/10/2024,M,AL,28355,PIAÇABUÇU,28355,PIAÇABUÇU,13,154,13,Vereador,55888,EUFRASIO TENORIO DANTAS,5,1040,20001944479,GRUPO ESCOLAR JOSE GONCALVES,RUA PADRE CURADOR S/N 
28/10/2024,11:46:22,2024,2,Eleição Ordinária,1,619,Eleições Municipais 2024,06/10/2024,M,AL,28690,SÃO LUÍS DO QUITUNDE,28690,SÃO LUÍS DO QUITUNDE,17,69,13,Vereador,44000,GABRIELA JUSTINO MACEDO,1,1147,20002332931,GRUPO ESTADUAL PROFA MARIA MARGARIDA DA SILVA PUGLIESE,RUA COELHO SARMENTO
28/10/2024,11:46:22,2024,2,Eleição Ordinária,1,619,Eleições Municipais 2024,06/10/2024,M,AL,28690,SÃO LUÍS DO QUITUNDE,28690,SÃO LUÍS DO QUITUNDE,17,162,13,Vereador,44000,GABRIELA JUSTINO MACEDO,1,1198,20002332931,ESCOLA PROFA ADALGISA DA SILVA,"R. DR. JULIO DE MENDONÇA, SN, SÃO LUÍS DO QUITUNDE"
28/10/2024,11:46:22,2024,2,Eleição Ordinária,1,619,Eleições Municipais 2024,06/10/2024,M,AL,27472,DELMIRO GOUVEIA,27472,DELMIRO GOUVEIA,40,88,13,Vereador,11456,NATIEL RODRIGUES GONCALVES,4,1317,20001910136,"AFRANIO SALGADO LAGES, ESCOLA","TRAVESSA NASCIMENTO BANDEIRA, S/N"
28/10/2024,11:46:22,2024,2,Eleição Ordinária,1,619,Eleições Municipais 2024,06/10/2024,M,AL,27472,DELMIRO GOUVEIA,27472,DELMIRO GOUVEIA,40,5,13,Vereador,11456,NATIEL RODRIGUES GONCALVES,4,1023,20001910136,ESCOLA DE EDUCAÇÃO BÁSICA BEABÁ,"RUA FREITAS CAVALCANTE, 192"
28/10/2024,11:46:22,2024,2,Eleição Ordinária,1,619,Eleições Municipais 2024,06/10/2024,M,AL,27472,DELMIRO GOUVEIA,27472,DELMIRO GOUVEIA,40,41,13,Vereador,11456,NATIEL RODRIGUES GONCALVES,1,1570,20001910136,ESCOLA MUNICIPAL DE EDUCAÇÃO BÁSICA JUSCELINO KUBISTCHEK DE OLIVEIRA,POVOADO ALTO BONITO
28/10/2024,11:46:22,2024,2,Eleição Ordinária,1,619,Eleições Municipais 2024,06/10/2024,M,AL,28339,PENEDO,28339,PENEDO,13,4,13,Vereador,43333,RODRIGO REGUEIRA PEIXOTO SILVA,4,1023,20002036375,ESCOLA ESTADUAL DR. ALCIDES ANDRADE,"ROD. ENGENHEIRO JOAQUIM GONÇALVES, S/N, PX. A GRANDE RIO VEÍCULOS"
28/10/2024,11:46:22,2024,2,Eleição Ordinária,1,619,Eleições Municipais 2024,06/10/2024,M,AL,28339,PENEDO,28339,PENEDO,13,5,11,Prefeito,95,VOTO BRANCO,7,1023,-1,ESCOLA ESTADUAL DR. ALCIDES ANDRADE,"ROD. ENGENHEIRO JOAQUIM GONÇALVES, S/N, PX. A GRANDE RIO VEÍCULOS"
28/10/2024,11:46:22,2024,2,Eleição Ordinária,1,619,Eleições Municipais 2024,06/10/2024,M,AL,28339,PENEDO,28339,PENEDO,13,100,13,Vereador,44789,GILVANEIDE SANTOS SOARES,2,1368,20002039599,IFAL - CAMPUS PENEDO,"ROD ENGENHEIRO JOAQUIM GONÇALVES, S/N LOT SÃO JOSÉ"
