arquivo,existe,tipo,encoding,separador,linhas_amostra,colunas,qtd_gabi_amostra,erro
C:\Users\user\Documents\Workspace\campanha_2026\alagoas-political-intelligence\data\final\parceiros\gabi-goncalves\base_eleitoral_gabi_v1.csv,True,csv,utf-8-sig,",",102,ranking_gabi_preliminar | municipio | eleitorado | populacao | score_gabi_preliminar | prioridade_visita_gabi | status_articulacao_gabi | meta_votos_referencia_gabi | ranking_base_davi | indice_estrategico_base_davi | prefeito_2024 | partido_prefeito_2024 | votos_prefeito_2024 | margem_vitoria_prefeito | vereadores_mapeados | votos_vereadores_total | potencial_transferencia_vereadores_5pct | potencial_transferencia_vereadores_10pct | potencial_transferencia_vereadores_15pct | relacao_gabi | aderencia_gabi | grupo_politico_gabi | observacao_curadoria_gabi | justificativa_prioridade_gabi | municipio_key,1,
C:\Users\user\Documents\Workspace\campanha_2026\alagoas-political-intelligence\data\final\parceiros\gabi-goncalves\cruzamento_davi_gabi_v1.csv,True,csv,utf-8-sig,",",102,ranking_sinergia_davi_gabi | municipio | prioridade_sinergia_davi_gabi | status_agenda_conjunta | score_sinergia_davi_gabi | ranking_gabi_preliminar | prioridade_visita_gabi | score_gabi_preliminar | ranking_davi_ref | score_davi_ref | ranking_base_davi | indice_estrategico_base_davi | eleitorado | populacao | meta_votos_referencia_gabi | liderancas_mapeadas | principal_lideranca | partido_principal_lideranca | votos_principal_lideranca | prioridade_principal_lideranca | votos_liderancas_total | potencial_transferencia_10pct | prefeito_2024 | partido_prefeito_2024 | relacao_gabi | aderencia_gabi | grupo_politico_gabi | semana_sugerida | acao_recomendada | formato_agenda_recomendada | justificativa_sinergia | municipio_key,2,
C:\Users\user\Documents\Workspace\campanha_2026\alagoas-political-intelligence\data\final\parceiros\gabi-goncalves\curadoria_politica_davi_gabi_v1.csv,True,csv,utf-8-sig,",",30,ordem_curadoria | prioridade_curadoria | prazo_curadoria | semana_roteiro | dia_sugerido | turno_sugerido | municipio | macro_regiao | eixo_logistico | prioridade_sinergia_davi_gabi | status_agenda_conjunta | score_sinergia_davi_gabi | principal_lideranca | partido_principal_lideranca | prefeito_2024 | partido_prefeito_2024 | meta_votos_referencia_gabi | potencial_transferencia_10pct | tipo_agenda | acao_recomendada | objetivo_politico | relacao_gabi | relacao_davi | relacao_renan_filho | relacao_renan_calheiros | relacao_paulo_dantas | grupo_politico_local | alinhamento_governo_estadual | alinhamento_davi | alinhamento_gabi | status_validacao_lideranca | status_validacao_prefeito | status_validacao_grupo_local | risco_politico | conflito_apoio | sensibilidade_local | decisao_agenda | agenda_publica_ou_reservada | pergunta_chave_curadoria | criterio_para_avancar | responsavel_curadoria | contato_local | data_validacao | proximo_passo | observacao_politica | observacao_logistica | justificativa_sinergia | municipio_key,30,
C:\Users\user\Documents\Workspace\campanha_2026\alagoas-political-intelligence\data\final\parceiros\gabi-goncalves\rede_liderancas_gabi_v1.csv,True,csv,utf-8-sig,",",1000,ranking_lideranca_gabi | municipio | ranking_gabi_preliminar | prioridade_visita_gabi | status_articulacao_gabi | nome_lideranca | tipo_lideranca | partido | situacao_eleitoral | votos_2024 | rank_local_lideranca | participacao_votos_lideranca_pct | score_lideranca_gabi | prioridade_lideranca_gabi | status_curadoria_lideranca | potencial_transferencia_5pct | potencial_transferencia_10pct | potencial_transferencia_15pct | eleitorado | populacao | meta_votos_referencia_gabi | prefeito_2024 | partido_prefeito_2024 | relacao_gabi | aderencia_gabi | grupo_politico_gabi | abordagem_recomendada | responsavel_articulacao | telefone_contato | observacao_curadoria | risco_politico | proximo_passo | municipio_key,51,
C:\Users\user\Documents\Workspace\campanha_2026\alagoas-political-intelligence\data\final\parceiros\gabi-goncalves\resumo_liderancas_municipio_gabi_v1.csv,True,csv,utf-8-sig,",",40,municipio | municipio_key | ranking_gabi_preliminar | prioridade_visita_gabi | status_articulacao_gabi | liderancas_mapeadas | votos_liderancas_total | potencial_transferencia_5pct | potencial_transferencia_10pct | potencial_transferencia_15pct | maior_score_lideranca | principal_lideranca | partido_principal_lideranca | votos_principal_lideranca | prioridade_principal_lideranca,0,
C:\Users\user\Documents\Workspace\campanha_2026\alagoas-political-intelligence\data\final\parceiros\gabi-goncalves\roteiro_territorial_davi_gabi_v1.csv,True,csv,utf-8-sig,",",30,ordem_prioridade | semana_roteiro | semana_numero | ordem_na_semana | dia_sugerido | turno_sugerido | municipio | macro_regiao | eixo_logistico | prioridade_sinergia_davi_gabi | status_agenda_conjunta | score_sinergia_davi_gabi | principal_lideranca | partido_principal_lideranca | prefeito_2024 | partido_prefeito_2024 | meta_votos_referencia_gabi | potencial_transferencia_10pct | tipo_agenda | acao_recomendada | objetivo_politico | formato_agenda_recomendada | justificativa_sinergia | preparacao_previa | observacao_logistica | produto_esperado | responsavel_preparacao | contato_local | data_sugerida | status_execucao | observacao_politica | municipio_key,4,
C:\Users\user\Documents\Workspace\campanha_2026\alagoas-political-intelligence\data\dashboard\parceiros\gabi-goncalves\base_dashboard_gabi_v1.json,True,json,utf-8,,,metadata | identidade_visual | indicadores_alagoas | indicadores_gabi | ranking_municipios | liderancas | oportunidades | proximos_passos | resumo_liderancas_municipio | oportunidades_sinergia | roteiro_territorial_davi_gabi | resumo_semanal_roteiro | curadoria_politica_davi_gabi,,
C:\Users\user\Documents\Workspace\campanha_2026\alagoas-political-intelligence\data\dashboard\parceiros\gabi-goncalves\cruzamento_davi_gabi_v1.json,True,json,utf-8,,,metadata | eixo_politico | cards | municipios_alta_sinergia_preliminar | campos_futuros | liderancas_prioritarias_preliminares | municipios_com_maior_rede_liderancas | indicadores | municipios_alta_sinergia | agenda_conjunta_recomendada | roteiro_territorial | resumo_semanal_roteiro | curadoria_politica,,
C:\Users\user\Documents\Workspace\campanha_2026\alagoas-political-intelligence\data\dashboard\parceiros\gabi-goncalves\curadoria_politica_davi_gabi_v1.json,True,json,utf-8,,,metadata | indicadores | resumo_prioridade | curadoria,,
C:\Users\user\Documents\Workspace\campanha_2026\alagoas-political-intelligence\data\dashboard\parceiros\gabi-goncalves\meta_eleitoral_gabi_estadual_2026.json,True,json,utf-8,,,metadata | meta_eleitoral_gabi_2026 | cenarios_meta | cenarios_transferencia_vereadores,,
C:\Users\user\Documents\Workspace\campanha_2026\alagoas-political-intelligence\data\dashboard\parceiros\gabi-goncalves\roteiro_territorial_davi_gabi_v1.json,True,json,utf-8,,,metadata | indicadores | resumo_semanal | roteiro,,
C:\Users\user\Documents\Workspace\campanha_2026\alagoas-political-intelligence\data\final\locais_votacao_top10.csv,True,csv,utf-8-sig,;,445,municipio | local_votacao | endereco_local_votacao | qtd_secoes | qtd_vereadores | votos_totais | chave_local,3,
