ranking_gabi_preliminar,municipio,eleitorado,populacao,score_gabi_preliminar,prioridade_visita_gabi,status_articulacao_gabi,meta_votos_referencia_gabi,ranking_base_davi,indice_estrategico_base_davi,prefeito_2024,partido_prefeito_2024,votos_prefeito_2024,margem_vitoria_prefeito,vereadores_mapeados,votos_vereadores_total,potencial_transferencia_vereadores_5pct,potencial_transferencia_vereadores_10pct,potencial_transferencia_vereadores_15pct,relacao_gabi,aderencia_gabi,grupo_politico_gabi,observacao_curadoria_gabi,justificativa_prioridade_gabi,municipio_key
1,Maceió,632812,994464,100.0,Muito alta,Priorizar curadoria,14996,1,0.2739782907987395,JOAO HENRIQUE HOLANDA CALDAS,PL,379544,321460.0,0.0,241387.0,12069,24139,36208,A CURAR,A CURAR,A CURAR,,"Município no núcleo prioritário inicial pela combinação de peso eleitoral, força municipal e potencial de articulação política.",MACEIO
2,Arapiraca,155982,243661,25.402057861659415,Muito alta,Priorizar curadoria,3812,2,0.0673965243482755,JOSE LUCIANO BARBOSA DA SILVA,MDB,100890,84255.0,0.0,76514.0,3826,7651,11477,A CURAR,A CURAR,A CURAR,,"Município no núcleo prioritário inicial pela combinação de peso eleitoral, força municipal e potencial de articulação política.",ARAPIRACA
3,Rio Largo,67172,97435,10.40504561663887,Muito alta,Priorizar curadoria,1561,3,0.0283253283979211,PEDRO CARLOS DA SILVA NETO,PP,32496,21648.0,0.0,29810.0,1490,2981,4472,A CURAR,A CURAR,A CURAR,,"Município no núcleo prioritário inicial pela combinação de peso eleitoral, força municipal e potencial de articulação política.",RIO LARGO
4,Palmeira dos Índios,54858,73596,8.22456415112857,Muito alta,Priorizar curadoria,1234,4,0.0225758554237497,LUISA JULIA DUARTE,MDB,23994,10802.0,0.0,22687.0,1134,2269,3403,A CURAR,A CURAR,A CURAR,,"Município no núcleo prioritário inicial pela combinação de peso eleitoral, força municipal e potencial de articulação política.",PALMEIRA DOS INDIOS
5,União dos Palmares,48920,60874,7.3382031435740505,Muito alta,Priorizar curadoria,1101,5,0.0196891077098367,JOSÉ IRAN MENEZES DA SILVA JUNIOR,MDB,23163,10036.0,0.0,22246.0,1112,2225,3337,A CURAR,A CURAR,A CURAR,,"Município no núcleo prioritário inicial pela combinação de peso eleitoral, força municipal e potencial de articulação política.",UNIAO DOS PALMARES
6,Marechal Deodoro,46217,62341,6.911098442025223,Muito alta,Priorizar curadoria,1037,6,0.0190512481404747,ANDRÉ LUIZ BARROS DA SILVA,MDB,21621,6261.0,0.0,19671.0,984,1967,2951,A CURAR,A CURAR,A CURAR,,"Município no núcleo prioritário inicial pela combinação de peso eleitoral, força municipal e potencial de articulação política.",MARECHAL DEODORO
7,São Miguel dos Campos,43990,53391,6.513638487387884,Muito alta,Priorizar curadoria,977,8,0.0175792875689542,GEORGE CLEMENTE VIEIRA,MDB,25796,19014.0,0.0,19607.0,980,1961,2941,A CURAR,A CURAR,A CURAR,,"Município no núcleo prioritário inicial pela combinação de peso eleitoral, força municipal e potencial de articulação política.",SAO MIGUEL DOS CAMPOS
8,Penedo,44517,60189,6.446537227128694,Muito alta,Priorizar curadoria,967,7,0.0183636305682454,RONALDO PEREIRA LOPES,MDB,24059,14387.0,0.0,15743.0,787,1574,2361,A CURAR,A CURAR,A CURAR,,"Município no núcleo prioritário inicial pela combinação de peso eleitoral, força municipal e potencial de articulação política.",PENEDO
9,Coruripe,42038,51788,6.294504775757789,Muito alta,Priorizar curadoria,945,9,0.0168706079762416,MARCELO BELTRÃO SIQUEIRA,PP,27647,25344.0,0.0,19916.0,996,1992,2987,A CURAR,A CURAR,A CURAR,,"Município no núcleo prioritário inicial pela combinação de peso eleitoral, força municipal e potencial de articulação política.",CORURIPE
10,Delmiro Gouveia,41113,52809,6.069224816872157,Muito alta,Priorizar curadoria,911,10,0.0167006746471436,ELIZIANE FERREIRA COSTA LIMA,MDB,24620,19688.0,0.0,17619.0,881,1762,2643,A CURAR,A CURAR,A CURAR,,"Município no núcleo prioritário inicial pela combinação de peso eleitoral, força municipal e potencial de articulação política.",DELMIRO GOUVEIA
