ranking_sinergia_davi_gabi,municipio,prioridade_sinergia_davi_gabi,status_agenda_conjunta,score_sinergia_davi_gabi,ranking_gabi_preliminar,prioridade_visita_gabi,score_gabi_preliminar,ranking_davi_ref,score_davi_ref,ranking_base_davi,indice_estrategico_base_davi,eleitorado,populacao,meta_votos_referencia_gabi,liderancas_mapeadas,principal_lideranca,partido_principal_lideranca,votos_principal_lideranca,prioridade_principal_lideranca,votos_liderancas_total,potencial_transferencia_10pct,prefeito_2024,partido_prefeito_2024,relacao_gabi,aderencia_gabi,grupo_politico_gabi,semana_sugerida,acao_recomendada,formato_agenda_recomendada,justificativa_sinergia,municipio_key
1,Maceió,Muito alta,Agenda conjunta prioritária,100.0,1,Muito alta,100.0,1,0.2739782907987395,1,0.2739782907987395,632812,994464,14996,310.0,LUCIANO MARINHO,PL,8545.0,Muito alta,241387.0,24122.0,JOAO HENRIQUE HOLANDA CALDAS,PL,A CURAR,A CURAR,A CURAR,Semana 1,Agendar visita conjunta Davi + Gabi,Maceió: agenda conjunta Davi + Gabi; com validação da liderança LUCIANO MARINHO; e leitura do grupo do prefeito JOAO HENRIQUE HOLANDA CALDAS.,"Maceió combina alta prioridade territorial, presença na base estratégica do Davi, rede local com 310 liderança(s) mapeada(s) e meta de referência de 14996 votos para Gabi. Score de sinergia: 100.00.",MACEIO
2,Arapiraca,Monitoramento,Sem prioridade imediata,33.65,2,Muito alta,25.40205786165941,2,0.0673965243482755,2,0.0673965243482755,155982,243661,3812,256.0,ROGERIO NEZINHO,MDB,4543.0,Muito alta,76514.0,7645.0,JOSE LUCIANO BARBOSA DA SILVA,MDB,A CURAR,A CURAR,A CURAR,Semana 1,Monitorar,Arapiraca: monitoramento político; com validação da liderança ROGERIO NEZINHO; e leitura do grupo do prefeito JOSE LUCIANO BARBOSA DA SILVA.,"Arapiraca deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 33.65.",ARAPIRACA
3,Rio Largo,Monitoramento,Sem prioridade imediata,19.57,3,Muito alta,10.40504561663887,3,0.0283253283979211,3,0.0283253283979211,67172,97435,1561,65.0,BALA SOARES,PP,2625.0,Muito alta,29810.0,2978.0,PEDRO CARLOS DA SILVA NETO,PP,A CURAR,A CURAR,A CURAR,Semana 1,Monitorar,Rio Largo: monitoramento político; com validação da liderança BALA SOARES; e leitura do grupo do prefeito PEDRO CARLOS DA SILVA NETO.,"Rio Largo deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 19.57.",RIO LARGO
4,Palmeira dos Índios,Monitoramento,Sem prioridade imediata,17.5,4,Muito alta,8.22456415112857,4,0.0225758554237497,4,0.0225758554237497,54858,73596,1234,42.0,PEDRINHO GAIA,MDB,2237.0,Muito alta,22687.0,2269.0,LUISA JULIA DUARTE,MDB,A CURAR,A CURAR,A CURAR,Semana 1,Monitorar,Palmeira dos Índios: monitoramento político; com validação da liderança PEDRINHO GAIA; e leitura do grupo do prefeito LUISA JULIA DUARTE.,"Palmeira dos Índios deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 17.50.",PALMEIRA DOS INDIOS
5,União dos Palmares,Monitoramento,Sem prioridade imediata,16.78,5,Muito alta,7.33820314357405,5,0.0196891077098367,5,0.0196891077098367,48920,60874,1101,62.0,MILTON DO COMPLEMENTAR,MDB,1892.0,Muito alta,22246.0,2220.0,JOSÉ IRAN MENEZES DA SILVA JUNIOR,MDB,A CURAR,A CURAR,A CURAR,Semana 1,Monitorar,União dos Palmares: monitoramento político; com validação da liderança MILTON DO COMPLEMENTAR; e leitura do grupo do prefeito JOSÉ IRAN MENEZES DA SILVA JUNIOR.,"União dos Palmares deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 16.78.",UNIAO DOS PALMARES
6,Marechal Deodoro,Monitoramento,Sem prioridade imediata,16.33,6,Muito alta,6.911098442025223,6,0.0190512481404747,6,0.0190512481404747,46217,62341,1037,41.0,THIAGO GONDIN,PDT,2023.0,Muito alta,19671.0,1968.0,ANDRÉ LUIZ BARROS DA SILVA,MDB,A CURAR,A CURAR,A CURAR,Semana 1,Monitorar,Marechal Deodoro: monitoramento político; com validação da liderança THIAGO GONDIN; e leitura do grupo do prefeito ANDRÉ LUIZ BARROS DA SILVA.,"Marechal Deodoro deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 16.33.",MARECHAL DEODORO
7,São Miguel dos Campos,Monitoramento,Sem prioridade imediata,16.01,7,Muito alta,6.513638487387884,8,0.0175792875689542,8,0.0175792875689542,43990,53391,977,31.0,DINEY TORRES,MDB,2081.0,Muito alta,19607.0,1960.0,GEORGE CLEMENTE VIEIRA,MDB,A CURAR,A CURAR,A CURAR,Semana 1,Monitorar,São Miguel dos Campos: monitoramento político; com validação da liderança DINEY TORRES; e leitura do grupo do prefeito GEORGE CLEMENTE VIEIRA.,"São Miguel dos Campos deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 16.01.",SAO MIGUEL DOS CAMPOS
8,Coruripe,Monitoramento,Sem prioridade imediata,15.86,9,Muito alta,6.294504775757789,9,0.0168706079762416,9,0.0168706079762416,42038,51788,945,39.0,DALMO PORTO,PSB,2179.0,Muito alta,19916.0,1991.0,MARCELO BELTRÃO SIQUEIRA,PP,A CURAR,A CURAR,A CURAR,Semana 1,Monitorar,Coruripe: monitoramento político; com validação da liderança DALMO PORTO; e leitura do grupo do prefeito MARCELO BELTRÃO SIQUEIRA.,"Coruripe deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 15.86.",CORURIPE
9,Penedo,Monitoramento,Sem prioridade imediata,15.76,8,Muito alta,6.446537227128694,7,0.0183636305682454,7,0.0183636305682454,44517,60189,967,30.0,IVO COSTA,PV,1375.0,Muito alta,15743.0,1577.0,RONALDO PEREIRA LOPES,MDB,A CURAR,A CURAR,A CURAR,Semana 2,Monitorar,Penedo: monitoramento político; com validação da liderança IVO COSTA; e leitura do grupo do prefeito RONALDO PEREIRA LOPES.,"Penedo deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 15.76.",PENEDO
10,Delmiro Gouveia,Monitoramento,Sem prioridade imediata,15.57,10,Muito alta,6.069224816872157,10,0.0167006746471436,10,0.0167006746471436,41113,52809,911,20.0,EDNA DO TATUAKARA,MDB,2410.0,Muito alta,17619.0,1761.0,ELIZIANE FERREIRA COSTA LIMA,MDB,A CURAR,A CURAR,A CURAR,Semana 2,Monitorar,Delmiro Gouveia: monitoramento político; com validação da liderança EDNA DO TATUAKARA; e leitura do grupo do prefeito ELIZIANE FERREIRA COSTA LIMA.,"Delmiro Gouveia deve ser mantido em monitoramento até novas informações de apoio local, agenda ou aderência política. Score de sinergia: 15.57.",DELMIRO GOUVEIA
