municipio,NR_ZONA,NR_LOCAL_VOTACAO,local_votacao,endereco_local_votacao,regiao_estimada,votos_parceiro,secoes_com_voto,percentual_votos_parceiro,forca_reduto,ranking_local_parceiro
RIO LARGO,15,1546,ESCOLA MUNICIPAL DR. GUSTAVO PAIVA,"CJ BARNABÉ OITICICA II, SN, MATA DO ROLO",MATA DO ROLO,1133,16,3.8621,NÚCLEO FORTE,1
RIO LARGO,15,1058,ESCOLA DE ENS FUND PROFESSORA EVANDA CARNEIRO DE VASCONCELOS,RUA SAO PEDRO S/N,NÃO INFORMADO,595,9,2.0282,NÚCLEO FORTE,2
RIO LARGO,15,1376,COMPLEXO ESTADUAL PROFA CLAUDIZETE LIMA ELEUTERIO,"CONJ GURIATA, S/N",NÃO INFORMADO,590,12,2.0112,NÚCLEO FORTE,3
RIO LARGO,15,1040,ESCOLA DE EDUCAÇÃO INFANTIL PADRE PAULINO,CONJUNTO MUTIRÃO,MUTIRAO,580,10,1.9771,NÚCLEO FORTE,4
RIO LARGO,15,1252,ESCOLA DE ENSINO FUND PROF ROSINEIDE TEREZA MARTINS DA CONCEIÇÃO,EUCLIDES AFONSO DE MELO S/N,NÃO INFORMADO,555,7,1.8919,NÚCLEO FORTE,5
RIO LARGO,15,1384,GRUPO ESCOLAR DE I E II GRAUS FERNANDINA MALTA,"AV ALBERTO SANTOS DUMONT, S/N",NÃO INFORMADO,554,7,1.8885,NÚCLEO FORTE,6
RIO LARGO,15,1163,ESCOLA DE ENSINO FUNDAMENTAL MARIETA LEÃO,PATIO DA REDE FERROVIARIA S/N,NÃO INFORMADO,528,10,1.7998,NÚCLEO FORTE,7
RIO LARGO,15,1295,GRUPO ESCOLAR MANOEL SOARES DE SOUZA,VILA RAUL S/N,RAUL S,528,7,1.7998,NÚCLEO FORTE,8
RIO LARGO,15,1228,ESCOLA DE ENSINO FUND DR GASTAO OITICICA,AV JULIO CALHEIROS S/N,NÃO INFORMADO,511,6,1.7419,NÚCLEO FORTE,9
RIO LARGO,15,1392,ESCOLA ESTADUAL SANTOS DUMONT,BR 104 - DESTACAMENTO DA FAB - VILA MILITAR,MILITAR,507,9,1.7283,NÚCLEO FORTE,10
RIO LARGO,15,1511,ESCOLA MUNICIPAL TERESA CRISTINA LINS DE SOUZA COSTA,"CJ RES. FRANCISCO TAVARES GRANJA, S/N",NÃO INFORMADO,506,8,1.7248,NÚCLEO FORTE,11
RIO LARGO,15,1139,COLÉGIO ROSALVO FÉLIX,"RUA BANDEIRANTES ,72",NÃO INFORMADO,477,9,1.626,ÁREA RELEVANTE,12
SANTA LUZIA DO NORTE,8,1015,ESC EST DR SIDRONIO AUGUSTO DE SANTA MARIA,"PRACA GETULIO VARGAS, S/N",NÃO INFORMADO,443,9,1.5101,ÁREA RELEVANTE,13
RIO LARGO,15,1171,GRUPO ESCOLAR OZORIA MOURA DE LIMA,RUA  ANTONIO ELIAS CALHEIROS S/N,NÃO INFORMADO,419,5,1.4283,ÁREA RELEVANTE,14
RIO LARGO,15,1562,ESCOLA MUNICIPAL DE ENSINO F. PROFESSOR JOSÉ EDMILSON,"COJ NAPOLEÃO VIANA,S/N, BAR NOSSO, PREF  ANTONIO LINS DE SOUZA",PREF ANTONIO LINS DE SOUZA,411,6,1.401,ÁREA RELEVANTE,15
RIO LARGO,15,1368,GRUPO ESCOLAR MACHADO DE ASSIS,"AV INTENDENTE JULIO CALHEIROS, SN",NÃO INFORMADO,399,4,1.3601,ÁREA RELEVANTE,16
RIO LARGO,15,1520,ESCOLA DE EDUCAÇÃO BÁSICA AGNUS DEI,"AV. PRESIDENTE FERNANDO A. COLLO DE MELO,96, ANTONIO LINS DE SOUZA",ANTONIO LINS DE SOUZA,370,5,1.2612,ÁREA RELEVANTE,17
RIO LARGO,15,1279,GRUPO ESCOLAR PROFESSOR POMPEU SARMENTO,TRAV SANTA LUZIA S/N,NÃO INFORMADO,353,5,1.2033,ÁREA RELEVANTE,18
RIO LARGO,15,1414,ESCOLA DE EDUCAÇÃO INFANTIL AQUINO JAPIASSÚ,VILA MARÍLIA,MARILIA,338,4,1.1522,ÁREA RELEVANTE,19
RIO LARGO,15,1244,ESCOLA ESTADUAL TABULEIRO DO PINTO,RUA DA CAIXA SN,NÃO INFORMADO,330,5,1.1249,ÁREA RELEVANTE,20
RIO LARGO,15,1430,ESCOLA MUNICIPAL DE EDUCAÇÃO BASICA INDUSTRIAL LUIGI BAUDUCCO,"AVENIDA PASTOR JOSUE LINS CONJUNTO CRUZEIRO DO SUL, C RESIDENCIAL",CRUZEIRO DO SUL,325,7,1.1079,ÁREA RELEVANTE,21
RIO LARGO,15,1180,GRUPO ESCOLAR DALMARIO DE SOUZA,RUA ALTO DA SAUDADE SN,NÃO INFORMADO,311,6,1.0601,ÁREA RELEVANTE,22
MESSIAS,9,1058,COLEGIO ESTADUAL PROFESSORA JUDITE NASCIMENTO DA SILVA,"CJ. ANTONIO RODRIGUES CALHEIROS, S/N",NÃO INFORMADO,290,15,0.9885,ÁREA RELEVANTE,23
RIO LARGO,15,1090,GRUPO ESCOLAR ODILO ALVARES DE SOUZA,AV MUNIZ FALCAO SN,NÃO INFORMADO,270,4,0.9204,ÁREA RELEVANTE,24
RIO LARGO,15,1465,CRECHE MUNICIPAL CELYRIO ADAMASTOR BARRETO ACIOLY,"ROD AL 210, CJ EDSON NOVAES S/N",NÃO INFORMADO,258,7,0.8795,ÁREA RELEVANTE,25
BARRA DE SÃO MIGUEL,26,1023,ESCOLA MUNICIPAL PROFESSORA MEDÉA CAVALCANTI DE ALBUQUERQUE,RUA JOSÉ VIEIRA DE ANDRADE SN,NÃO INFORMADO,256,9,0.8726,ÁREA RELEVANTE,26
MESSIAS,9,1015,GINASIO MUNICIPAL LUIZ AMORIM LEAO,PRACA GOVERNADOR LAMENHA FILHO S/N,NÃO INFORMADO,238,11,0.8113,ÁREA COMPLEMENTAR,27
MARAGOGI,14,1015,ESCOLA MUNICIPAL DE EDUCAÇÃO BÁSICA DR. JOSÉ JORGE DE FARIAS SALES,PRACA MARIDITE ACIOLY SN,NÃO INFORMADO,226,17,0.7704,ÁREA COMPLEMENTAR,28
BARRA DE SÃO MIGUEL,26,1015,ESCOLA ESTADUAL MISAEL GONÇALVES FERREIRA,TRAVESSA JOSÉ MACHADO SN,NÃO INFORMADO,202,7,0.6886,ÁREA COMPLEMENTAR,29
SANTA LUZIA DO NORTE,8,1023,ESC MUN PROF IOLANDA ROMEIRO LOPES,"RUA TIRADENTES, S/N",NÃO INFORMADO,196,4,0.6681,ÁREA COMPLEMENTAR,30
