municipio,regiao_estimada,votos_parceiro,locais_votacao,secoes_com_voto,percentual_votos_parceiro,forca_reduto,ranking_regiao_parceiro
RIO LARGO,NÃO INFORMADO,7145,18,114,24.3557,NÚCLEO FORTE,1
MACEIÓ,NÃO INFORMADO,3367,88,483,11.4774,NÚCLEO FORTE,2
RIO LARGO,MATA DO ROLO,1133,1,16,3.8621,NÚCLEO FORTE,3
MESSIAS,NÃO INFORMADO,798,4,35,2.7202,NÚCLEO FORTE,4
SANTA LUZIA DO NORTE,NÃO INFORMADO,639,2,13,2.1782,NÚCLEO FORTE,5
PORTO CALVO,NÃO INFORMADO,631,13,65,2.1509,NÚCLEO FORTE,6
BARRA DE SÃO MIGUEL,NÃO INFORMADO,618,3,21,2.1066,NÚCLEO FORTE,7
RIO LARGO,MUTIRAO,580,1,10,1.9771,NÚCLEO FORTE,8
MATRIZ DE CAMARAGIBE,NÃO INFORMADO,567,4,53,1.9328,NÚCLEO FORTE,9
RIO LARGO,ANTONIO LINS DE SOUZA,564,2,9,1.9226,NÚCLEO FORTE,10
COLÔNIA LEOPOLDINA,NÃO INFORMADO,536,7,52,1.8271,NÚCLEO FORTE,11
RIO LARGO,RAUL S,528,1,7,1.7998,NÚCLEO FORTE,12
MARAGOGI,NÃO INFORMADO,521,8,46,1.776,NÚCLEO FORTE,13
RIO LARGO,MILITAR,507,1,9,1.7283,NÚCLEO FORTE,14
MURICI,NÃO INFORMADO,478,7,54,1.6294,ÁREA RELEVANTE,15
RIO LARGO,PREF ANTONIO LINS DE SOUZA,411,1,6,1.401,ÁREA RELEVANTE,16
SÃO MIGUEL DOS CAMPOS,NÃO INFORMADO,407,14,114,1.3874,ÁREA RELEVANTE,17
JOAQUIM GOMES,NÃO INFORMADO,383,7,54,1.3056,ÁREA RELEVANTE,18
RIO LARGO,MARILIA,338,1,4,1.1522,ÁREA RELEVANTE,19
RIO LARGO,CRUZEIRO DO SUL,325,1,7,1.1079,ÁREA RELEVANTE,20
SATUBA,NÃO INFORMADO,324,4,35,1.1044,ÁREA RELEVANTE,21
ARAPIRACA,NÃO INFORMADO,273,30,157,0.9306,ÁREA RELEVANTE,22
UNIÃO DOS PALMARES,NÃO INFORMADO,213,12,93,0.7261,ÁREA COMPLEMENTAR,23
OLHO D ÁGUA GRANDE,NÃO INFORMADO,212,4,13,0.7227,ÁREA COMPLEMENTAR,24
TANQUE D ARCA,NÃO INFORMADO,209,3,18,0.7124,ÁREA COMPLEMENTAR,25
TAQUARANA,NÃO INFORMADO,199,3,43,0.6783,ÁREA COMPLEMENTAR,26
VIÇOSA,NÃO INFORMADO,199,5,46,0.6783,ÁREA COMPLEMENTAR,27
NOVO LINO,NÃO INFORMADO,179,4,27,0.6102,ÁREA COMPLEMENTAR,28
SÃO LUÍS DO QUITUNDE,NÃO INFORMADO,177,6,57,0.6034,ÁREA COMPLEMENTAR,29
CAMPO GRANDE,NÃO INFORMADO,176,5,24,0.5999,ÁREA COMPLEMENTAR,30
CAJUEIRO,NÃO INFORMADO,175,7,41,0.5965,ÁREA COMPLEMENTAR,31
PALMEIRA DOS ÍNDIOS,NÃO INFORMADO,169,12,86,0.5761,ÁREA COMPLEMENTAR,32
JAPARATINGA,NÃO INFORMADO,167,4,13,0.5693,ÁREA COMPLEMENTAR,33
PASSO DE CAMARAGIBE,NÃO INFORMADO,167,8,32,0.5693,ÁREA COMPLEMENTAR,34
MACEIÓ,120,165,1,14,0.5624,ÁREA COMPLEMENTAR,35
RIO LARGO,QUADRA D-04,163,1,4,0.5556,ÁREA COMPLEMENTAR,36
MARAGOGI,ADELIA LIRA,160,1,7,0.5454,ÁREA COMPLEMENTAR,37
PIRANHAS,NÃO INFORMADO,151,6,34,0.5147,ÁREA COMPLEMENTAR,38
SANTA LUZIA DO NORTE,152 - PCA JOSE LOBO,140,1,3,0.4772,ÁREA COMPLEMENTAR,39
OURO BRANCO,NÃO INFORMADO,134,3,25,0.4568,ÁREA COMPLEMENTAR,40
MARIBONDO,NÃO INFORMADO,133,3,32,0.4534,ÁREA COMPLEMENTAR,41
FLEXEIRAS,NÃO INFORMADO,132,6,25,0.45,ÁREA COMPLEMENTAR,42
PIAÇABUÇU,NÃO INFORMADO,132,6,40,0.45,ÁREA COMPLEMENTAR,43
LAGOA DA CANOA,NÃO INFORMADO,131,5,35,0.4466,ÁREA COMPLEMENTAR,44
SÃO SEBASTIÃO,NÃO INFORMADO,126,5,36,0.4295,ÁREA COMPLEMENTAR,45
MACEIÓ,5017,122,1,36,0.4159,ÁREA COMPLEMENTAR,46
CRAÍBAS,NÃO INFORMADO,93,4,32,0.317,BAIXA PRESENÇA,47
OLIVENÇA,NÃO INFORMADO,89,5,28,0.3034,BAIXA PRESENÇA,48
ATALAIA,NÃO INFORMADO,88,6,40,0.3,BAIXA PRESENÇA,49
MAR VERMELHO,NÃO INFORMADO,87,2,10,0.2966,BAIXA PRESENÇA,50
ANADIA,NÃO INFORMADO,82,7,33,0.2795,BAIXA PRESENÇA,51
ÁGUA BRANCA,NÃO INFORMADO,80,7,36,0.2727,BAIXA PRESENÇA,52
SANTANA DO IPANEMA,NÃO INFORMADO,73,8,50,0.2488,BAIXA PRESENÇA,53
BATALHA,525,68,1,12,0.2318,BAIXA PRESENÇA,54
MURICI,PEDRO TENORIO RAPOSO,63,1,8,0.2148,BAIXA PRESENÇA,55
PÃO DE AÇÚCAR,NÃO INFORMADO,63,11,33,0.2148,BAIXA PRESENÇA,56
BOCA DA MATA,NÃO INFORMADO,59,8,39,0.2011,BAIXA PRESENÇA,57
FELIZ DESERTO,NÃO INFORMADO,59,2,10,0.2011,BAIXA PRESENÇA,58
MACEIÓ,- CJ. EUSTAQUIO GOMES DE MELO,59,1,10,0.2011,BAIXA PRESENÇA,59
MACEIÓ,344,59,2,10,0.2011,BAIXA PRESENÇA,60
BATALHA,285,57,1,7,0.1943,BAIXA PRESENÇA,61
JUNDIÁ,NÃO INFORMADO,55,2,13,0.1875,BAIXA PRESENÇA,62
MACEIÓ,QD A,55,1,11,0.1875,BAIXA PRESENÇA,63
