municipio,votos_parceiro,locais_votacao,secoes_com_voto,regioes_estimadas,percentual_votos_parceiro,ranking_municipio_parceiro
RIO LARGO,11694,27,186,10,39.8623,1
MACEIÓ,5116,107,532,71,17.4393,2
MESSIAS,798,4,35,1,2.7202,3
SANTA LUZIA DO NORTE,779,3,16,2,2.6554,4
MARAGOGI,723,11,61,4,2.4645,5
PORTO CALVO,631,13,65,1,2.1509,6
BARRA DE SÃO MIGUEL,618,3,21,1,2.1066,7
MATRIZ DE CAMARAGIBE,567,4,53,1,1.9328,8
MURICI,541,8,62,2,1.8442,9
COLÔNIA LEOPOLDINA,536,7,52,1,1.8271,10
SÃO MIGUEL DOS CAMPOS,461,16,132,3,1.5714,11
JOAQUIM GOMES,383,7,54,1,1.3056,12
ARAPIRACA,364,41,201,13,1.2408,13
SATUBA,324,4,35,1,1.1044,14
UNIÃO DOS PALMARES,258,16,118,5,0.8795,15
JAPARATINGA,232,7,21,4,0.7908,16
PALMEIRA DOS ÍNDIOS,226,19,120,8,0.7704,17
BATALHA,216,5,35,5,0.7363,18
VIÇOSA,213,6,55,2,0.7261,19
OLHO D ÁGUA GRANDE,212,4,13,1,0.7227,20
TANQUE D ARCA,209,3,18,1,0.7124,21
SÃO LUÍS DO QUITUNDE,206,7,65,2,0.7022,22
TAQUARANA,199,3,43,1,0.6783,23
NOVO LINO,193,5,29,2,0.6579,24
LAGOA DA CANOA,183,6,40,2,0.6238,25
CAMPO GRANDE,176,5,24,1,0.5999,26
CAJUEIRO,175,7,41,1,0.5965,27
PASSO DE CAMARAGIBE,174,10,37,3,0.5931,28
SÃO SEBASTIÃO,166,10,50,5,0.5659,29
PIRANHAS,151,6,34,1,0.5147,30
PENEDO,137,17,78,15,0.467,31
ATALAIA,136,12,64,7,0.4636,32
OURO BRANCO,134,3,25,1,0.4568,33
MARIBONDO,133,3,32,1,0.4534,34
FLEXEIRAS,132,6,25,1,0.45,35
PIAÇABUÇU,132,6,40,1,0.45,36
CRAÍBAS,127,7,46,4,0.4329,37
COQUEIRO SECO,106,4,15,3,0.3613,38
OLIVENÇA,89,5,28,1,0.3034,39
MAR VERMELHO,87,2,10,1,0.2966,40
SANTANA DO IPANEMA,86,10,58,4,0.2932,41
ANADIA,82,7,33,1,0.2795,42
ÁGUA BRANCA,80,7,36,1,0.2727,43
PORTO REAL DO COLÉGIO,70,13,25,11,0.2386,44
PÃO DE AÇÚCAR,66,12,35,2,0.225,45
BOCA DA MATA,62,9,42,2,0.2113,46
SÃO BRÁS,60,5,16,4,0.2045,47
FELIZ DESERTO,59,2,10,1,0.2011,48
MARECHAL DEODORO,57,14,40,3,0.1943,49
JUNDIÁ,55,2,13,1,0.1875,50
SÃO JOSÉ DA TAPERA,55,5,33,1,0.1875,51
OLHO D ÁGUA DO CASADO,54,3,19,1,0.1841,52
DELMIRO GOUVEIA,50,16,33,5,0.1704,53
SÃO JOSÉ DA LAJE,47,7,29,2,0.1602,54
CAMPO ALEGRE,45,7,27,4,0.1534,55
GIRAU DO PONCIANO,41,7,29,3,0.1398,56
TRAIPU,37,7,21,2,0.1261,57
PILAR,31,11,25,2,0.1057,58
CAPELA,26,5,19,5,0.0886,59
SANTANA DO MUNDAÚ,24,4,15,3,0.0818,60
MINADOR DO NEGRÃO,23,3,12,2,0.0784,61
IGREJA NOVA,22,6,17,3,0.075,62
QUEBRANGULO,21,5,15,1,0.0716,63
SÃO MIGUEL DOS MILAGRES,20,5,13,1,0.0682,64
BRANQUINHA,18,2,12,1,0.0614,65
OLHO D ÁGUA DAS FLORES,17,6,14,1,0.0579,66
PARIPUEIRA,17,4,12,1,0.0579,67
BARRA DE SANTO ANTÔNIO,16,4,12,3,0.0545,68
CORURIPE,16,7,16,6,0.0545,69
IBATEGUARA,11,6,11,1,0.0375,70
MAJOR ISIDORO,11,4,8,1,0.0375,71
COITÉ DO NÓIA,10,3,9,1,0.0341,72
TEOTÔNIO VILELA,9,5,9,2,0.0307,73
CANAPI,8,3,7,1,0.0273,74
CHÃ PRETA,8,3,8,1,0.0273,75
FEIRA GRANDE,8,3,7,2,0.0273,76
ROTEIRO,8,3,8,1,0.0273,77
LIMOEIRO DE ANADIA,7,5,7,1,0.0239,78
MONTEIRÓPOLIS,7,2,7,1,0.0239,79
PAULO JACINTO,7,3,6,2,0.0239,80
IGACI,6,4,5,1,0.0205,81
PINDOBA,6,2,4,1,0.0205,82
JUNQUEIRO,5,4,5,1,0.017,83
PORTO DE PEDRAS,5,3,4,2,0.017,84
JEQUIÁ DA PRAIA,4,2,4,2,0.0136,85
MARAVILHA,4,3,4,3,0.0136,86
BELO MONTE,2,2,2,1,0.0068,87
CAMPESTRE,2,1,2,1,0.0068,88
CARNEIROS,2,1,2,1,0.0068,89
MATA GRANDE,2,2,2,1,0.0068,90
PALESTINA,2,1,1,1,0.0068,91
PARICONHA,2,2,2,1,0.0068,92
BELÉM,1,1,1,1,0.0034,93
CACIMBINHAS,1,1,1,1,0.0034,94
DOIS RIACHOS,1,1,1,1,0.0034,95
ESTRELA DE ALAGOAS,1,1,1,1,0.0034,96
INHAPI,1,1,1,1,0.0034,97
POÇO DAS TRINCHEIRAS,1,1,1,1,0.0034,98
