ANO_ELEICAO,SG_UF,CD_MUNICIPIO,municipio_original,zona,secao,numero_local_votacao,nome_local_votacao,endereco,regiao_estimada,DS_CARGO,NR_VOTAVEL,NM_VOTAVEL,SQ_CANDIDATO,votos_parceiro
2022,AL,28754,SÃO SEBASTIÃO,49,21,1368,ESCOLA DE 1 E 2 GRAUS PROFESSOR JOSE FELIX DE C. ALVES,RUA PEDRO VIEIRA DE BARROS 74,NÃO INFORMADO,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,1
2022,AL,27855,MACEIÓ,54,422,1481,ESCOLA MUNICIPAL AURÉLIO BUARQUE DE HOLANDA,"RUA F, S/N, CONJUNTO FREITAS NETO",FREITAS NETO,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,3
2022,AL,28258,PALMEIRA DOS ÍNDIOS,10,113,1082,GRUPO ESCOLAR MONSENHOR MACEDO,RUA 15 DE NOVEMBRO SN ,NÃO INFORMADO,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,3
2022,AL,27030,ANADIA,48,103,1058,GRUPO ESCOLAR RUI BARBOSA,PRACA DR. CAMPELO DE ALMEIDA S/N ,NÃO INFORMADO,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,3
2022,AL,27855,MACEIÓ,3,263,1074,ESCOLA EST. DR. MIGUEL GUEDES NOGUEIRA,"RUA DR. OSWALDO CRUZ, S/N",NÃO INFORMADO,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,1
2022,AL,27855,MACEIÓ,2,277,1821,UNIT - CENTRO UNIVERSITÁRIO TIRADENTES (ANTIGA FITS),"AV GUSTAVO PAIVA, 5017",5017,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,5
2022,AL,27057,ARAPIRACA,55,144,1112,ESCOLA ENSINO FUNDAMENTAL DIVALDO SURUAGY,"RUA ADERVAL INÁCIO DA SILVA, 45, BRASÍLIA, ARAPIRACA",ARAPIRACA,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,1
2022,AL,27898,MARAGOGI,14,130,1015,ESCOLA MUNICIPAL DE EDUCAÇÃO BÁSICA DR. JOSÉ JORGE DE FARIAS SALES,PRACA MARIDITE ACIOLY SN,NÃO INFORMADO,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,12
2022,AL,27014,ÁGUA BRANCA,39,38,1031,ESCOLA ESTADUAL DOMINGOS MOEDA,RUA CORONEL ULISSES LUNA - NUMERO 04.,NÃO INFORMADO,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,3
2022,AL,28770,SATUBA,8,104,1023,ESC MUN JOSEFA SILVA COSTA,RUA 17 DE AGOSTO S/N,NÃO INFORMADO,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,10
2022,AL,28258,PALMEIRA DOS ÍNDIOS,10,318,1210,ESCOLA ESTADUAL JOSÉ VICTORINO DA ROCHA,"PRAÇA ANTONIO LEITE, S/N, CANAFÍSTULA",CANAFISTULA,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,1
2022,AL,28533,RIO LARGO,15,131,1163,ESCOLA DE ENSINO FUNDAMENTAL MARIETA LEÃO,PATIO DA REDE FERROVIARIA S/N,NÃO INFORMADO,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,51
2022,AL,28878,VIÇOSA,5,31,1040,ESCOLA ESTADUAL MONSENHOR MACHADO,RUA JOAO PESSOA SN,NÃO INFORMADO,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,2
2022,AL,28355,PIAÇABUÇU,13,131,1015,ESCOLA DE 1 E 2 GRAUS CORREIA TITARA,AVENIDA ULISSES GUEDES SN,NÃO INFORMADO,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,3
2022,AL,28533,RIO LARGO,15,76,1163,ESCOLA DE ENSINO FUNDAMENTAL MARIETA LEÃO,PATIO DA REDE FERROVIARIA S/N,NÃO INFORMADO,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,55
2022,AL,28274,PÃO DE AÇÚCAR,11,80,1147,COLÉGIO SÃO VICENTE,RUA PADRE JOSE PINTO 314,NÃO INFORMADO,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,2
2022,AL,27634,IGREJA NOVA,37,116,1074,ESCOLA ESTADUAL PROFESSOR PEDRO REYS,AVENIDA 16 DE MAIO S/N,NÃO INFORMADO,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,2
2022,AL,28339,PENEDO,13,26,1015,COLÉGIO ESTADUAL COMENDADOR JOSÉ DA SILVA PEIXOTO,"RUA CASTRO ALVES, S/N, EM FRENTE À CODEVASF",EM FRENTE A CODEVASF,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,1
2022,AL,27073,ATALAIA,6,24,1236,ESCOLA ANTONIO AMANCIO DE MELO BASTOS,LOTEAMENTO SANTA INEZ SN,NÃO INFORMADO,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,1
2022,AL,28177,OLHO D ÁGUA GRANDE,37,93,1074,CRECHE MUNICIPAL MARIA GOMES DE ARAUJO,RUA JORGE DA PAIXÃO,NÃO INFORMADO,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,16
2022,AL,27030,ANADIA,48,130,1023,GRUPO JOSE MEDEIROS,RUA JOSE MEDEIROS SN,NÃO INFORMADO,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,1
2022,AL,27855,MACEIÓ,33,229,1228,ESCOLA MUNICIPAL PROFESSORA JAREDE VIANA DE OLIVEIRA,"RUA SÃO JOSÉ, S/N, AO LADO DA ESCOLA MUNICIPAL TOBIAS GRANJA",AO LADO DA ESCOLA MUNICIPAL TOBIAS GRANJA,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,4
2022,AL,27553,FLEXEIRAS,53,100,1015,CÂMARA MUNICIPAL DE FLEXEIRAS,"RUA ERNESTO CAVALCANTE LINS, SN",NÃO INFORMADO,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,4
2022,AL,27855,MACEIÓ,3,92,1163,ESCOLA DE ENS. FUND. NOSSO LAR I,"RUA SAMPAIO DORIA, S/N",NÃO INFORMADO,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,2
2022,AL,27855,MACEIÓ,2,373,1821,UNIT - CENTRO UNIVERSITÁRIO TIRADENTES (ANTIGA FITS),"AV GUSTAVO PAIVA, 5017",5017,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,1
2022,AL,27855,MACEIÓ,1,400,1716,ESCOLA ESTADUAL JOSEFA DA CONCEICAO COSTA,"RUA PAO DE ACUCAR, S/N",NÃO INFORMADO,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,1
2022,AL,27855,MACEIÓ,1,33,1821,CEAGB - ESCOLA ESTADUAL MOREIRA E SILVA,"AV. FERNANDES LIMA, S/N",NÃO INFORMADO,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,2
2022,AL,27278,CAMPO ALEGRE,47,23,1210,ESCOLA FELIZARDO DE SOUZA LIMA,RUA RODOLFO DE MORAIS,NÃO INFORMADO,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,1
2022,AL,27898,MARAGOGI,14,178,1104,EXTENSÃO DA ESCOLA M DE EDUC BÁSICA DR. JOSÉ JORGE DE FARIAS SALES,"RODOVIA ARNON DE MELO, AL 101 NORTE, S/N, AO LADO DA UPA",AO LADO DA UPA,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,5
2022,AL,27855,MACEIÓ,2,190,1546,COLÉGIO ROSALVO RIBEIRO DOS SANTOS,"RUA BONFIM, 344",344,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,6
2022,AL,27855,MACEIÓ,3,348,2003,SEDE DO SOPÃO SOPROBEM,"RUA DR. OSWALDO CRUZ, S/N",NÃO INFORMADO,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,3
2022,AL,28533,RIO LARGO,15,210,1376,COMPLEXO ESTADUAL PROFA CLAUDIZETE LIMA ELEUTERIO,"CONJ GURIATA, S/N",NÃO INFORMADO,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,50
2022,AL,28096,MURICI,9,169,1023,PRE-ESCOLAR MUNICIPAL,AV. PRESIDENTE VARGAS SN ,NÃO INFORMADO,Deputado Estadual,11789,GABRIELA CRISTINA GONCALVES DA SILVA CORDEIRO,20001636056,8
