SG_UF,CD_MUNICIPIO,municipio_original,zona,secao,numero_local_votacao,nome_local_votacao,endereco,regiao_estimada,NR_VOTAVEL,NM_VOTAVEL,SQ_CANDIDATO,votos_gabi
AL,28819,TAQUARANA,45,88,1031,ESCOLA MUNICIPAL PROFESSORA DIVONETE CAVALCANTE DE ALBUQUERQUE,RUA PROFESSORA DIVONETE CAVALCANTE DE ALBUQUERQUE,NÃO INFORMADO,15123,MARIA GABRIELA RICARDO GABRIEL DA SILVA,20001967997,14
AL,28819,TAQUARANA,45,102,1040,ESCOLA MARIA IRACI TEÓFILO DE CASTRO,"RUA 24 DE AGOSTO, 88",NÃO INFORMADO,15123,MARIA GABRIELA RICARDO GABRIEL DA SILVA,20001967997,10
AL,28819,TAQUARANA,45,93,1031,ESCOLA MUNICIPAL PROFESSORA DIVONETE CAVALCANTE DE ALBUQUERQUE,RUA PROFESSORA DIVONETE CAVALCANTE DE ALBUQUERQUE,NÃO INFORMADO,15123,MARIA GABRIELA RICARDO GABRIEL DA SILVA,20001967997,12
AL,28819,TAQUARANA,45,103,1040,ESCOLA MARIA IRACI TEÓFILO DE CASTRO,"RUA 24 DE AGOSTO, 88",NÃO INFORMADO,15123,MARIA GABRIELA RICARDO GABRIEL DA SILVA,20001967997,6
AL,28819,TAQUARANA,45,159,1058,CRECHE PROFESSORA MARIA GENILSA COSTA,RUA VEREADOR SEBASTIÃO DOMINGOS DA COSTA - PV PAI JOÃO,PV PAI JOAO,15123,MARIA GABRIELA RICARDO GABRIEL DA SILVA,20001967997,9
AL,28819,TAQUARANA,45,90,1031,ESCOLA MUNICIPAL PROFESSORA DIVONETE CAVALCANTE DE ALBUQUERQUE,RUA PROFESSORA DIVONETE CAVALCANTE DE ALBUQUERQUE,NÃO INFORMADO,15123,MARIA GABRIELA RICARDO GABRIEL DA SILVA,20001967997,15
AL,28819,TAQUARANA,45,153,1040,ESCOLA MARIA IRACI TEÓFILO DE CASTRO,"RUA 24 DE AGOSTO, 88",NÃO INFORMADO,15123,MARIA GABRIELA RICARDO GABRIEL DA SILVA,20001967997,9
AL,28819,TAQUARANA,45,82,1015,GRUPO ESCOLAR SANTOS FERRAZ,RUA JOAQUIM MAURÍCIO,NÃO INFORMADO,15123,MARIA GABRIELA RICARDO GABRIEL DA SILVA,20001967997,10
AL,28819,TAQUARANA,45,113,1040,ESCOLA MARIA IRACI TEÓFILO DE CASTRO,"RUA 24 DE AGOSTO, 88",NÃO INFORMADO,15123,MARIA GABRIELA RICARDO GABRIEL DA SILVA,20001967997,14
AL,28819,TAQUARANA,45,92,1031,ESCOLA MUNICIPAL PROFESSORA DIVONETE CAVALCANTE DE ALBUQUERQUE,RUA PROFESSORA DIVONETE CAVALCANTE DE ALBUQUERQUE,NÃO INFORMADO,15123,MARIA GABRIELA RICARDO GABRIEL DA SILVA,20001967997,16
AL,28819,TAQUARANA,45,165,1058,CRECHE PROFESSORA MARIA GENILSA COSTA,RUA VEREADOR SEBASTIÃO DOMINGOS DA COSTA - PV PAI JOÃO,PV PAI JOAO,15123,MARIA GABRIELA RICARDO GABRIEL DA SILVA,20001967997,12
AL,28819,TAQUARANA,45,158,1058,CRECHE PROFESSORA MARIA GENILSA COSTA,RUA VEREADOR SEBASTIÃO DOMINGOS DA COSTA - PV PAI JOÃO,PV PAI JOAO,15123,MARIA GABRIELA RICARDO GABRIEL DA SILVA,20001967997,12
AL,28819,TAQUARANA,45,99,1040,ESCOLA MARIA IRACI TEÓFILO DE CASTRO,"RUA 24 DE AGOSTO, 88",NÃO INFORMADO,15123,MARIA GABRIELA RICARDO GABRIEL DA SILVA,20001967997,13
AL,28819,TAQUARANA,45,86,1031,ESCOLA MUNICIPAL PROFESSORA DIVONETE CAVALCANTE DE ALBUQUERQUE,RUA PROFESSORA DIVONETE CAVALCANTE DE ALBUQUERQUE,NÃO INFORMADO,15123,MARIA GABRIELA RICARDO GABRIEL DA SILVA,20001967997,9
AL,28819,TAQUARANA,45,106,1040,ESCOLA MARIA IRACI TEÓFILO DE CASTRO,"RUA 24 DE AGOSTO, 88",NÃO INFORMADO,15123,MARIA GABRIELA RICARDO GABRIEL DA SILVA,20001967997,14
AL,28819,TAQUARANA,45,104,1040,ESCOLA MARIA IRACI TEÓFILO DE CASTRO,"RUA 24 DE AGOSTO, 88",NÃO INFORMADO,15123,MARIA GABRIELA RICARDO GABRIEL DA SILVA,20001967997,12
AL,28819,TAQUARANA,45,78,1015,GRUPO ESCOLAR SANTOS FERRAZ,RUA JOAQUIM MAURÍCIO,NÃO INFORMADO,15123,MARIA GABRIELA RICARDO GABRIEL DA SILVA,20001967997,7
AL,28819,TAQUARANA,45,101,1040,ESCOLA MARIA IRACI TEÓFILO DE CASTRO,"RUA 24 DE AGOSTO, 88",NÃO INFORMADO,15123,MARIA GABRIELA RICARDO GABRIEL DA SILVA,20001967997,15
