municipio,municipio_key,ranking_gabi_preliminar,prioridade_visita_gabi,status_articulacao_gabi,liderancas_mapeadas,votos_liderancas_total,potencial_transferencia_5pct,potencial_transferencia_10pct,potencial_transferencia_15pct,maior_score_lideranca,principal_lideranca,partido_principal_lideranca,votos_principal_lideranca,prioridade_principal_lideranca
MACEIÓ,MACEIO,1,Muito alta,Priorizar curadoria,310,241387,12062,24122,36201,100.0,LUCIANO MARINHO,PL,8545,Muito alta
ARAPIRACA,ARAPIRACA,2,Muito alta,Priorizar curadoria,256,76514,3814,7645,11477,84.7,ROGERIO NEZINHO,MDB,4543,Muito alta
RIO LARGO,RIO LARGO,3,Muito alta,Priorizar curadoria,65,29810,1491,2978,4472,76.72,BALA SOARES,PP,2625,Muito alta
PALMEIRA DOS ÍNDIOS,PALMEIRA DOS INDIOS,4,Muito alta,Priorizar curadoria,42,22687,1134,2269,3406,74.1,PEDRINHO GAIA,MDB,2237,Muito alta
UNIÃO DOS PALMARES,UNIAO DOS PALMARES,5,Muito alta,Priorizar curadoria,62,22246,1109,2220,3340,71.64,MILTON DO COMPLEMENTAR,MDB,1892,Muito alta
MARECHAL DEODORO,MARECHAL DEODORO,6,Muito alta,Priorizar curadoria,41,19671,979,1968,2951,70.85,THIAGO GONDIN,PDT,2023,Muito alta
SÃO MIGUEL DOS CAMPOS,SAO MIGUEL DOS CAMPOS,7,Muito alta,Priorizar curadoria,31,19607,982,1960,2942,69.81,DINEY TORRES,MDB,2081,Muito alta
PENEDO,PENEDO,8,Muito alta,Priorizar curadoria,30,15743,786,1577,2360,66.08,IVO COSTA,PV,1375,Muito alta
CORURIPE,CORURIPE,9,Muito alta,Priorizar curadoria,39,19916,996,1991,2986,67.65,DALMO PORTO,PSB,2179,Muito alta
DELMIRO GOUVEIA,DELMIRO GOUVEIA,10,Muito alta,Priorizar curadoria,20,17619,878,1761,2644,67.21,EDNA DO TATUAKARA,MDB,2410,Muito alta
ATALAIA,ATALAIA,11,Alta,Priorizar curadoria,38,18928,947,1890,2840,65.68,RUDINHO,MDB,2331,Alta
SANTANA DO IPANEMA,SANTANA DO IPANEMA,12,Alta,Priorizar curadoria,45,15135,760,1512,2271,61.75,MIGUEL OLIVEIRA,MDB,1568,Alta
TEOTÔNIO VILELA,TEOTONIO VILELA,13,Alta,Priorizar curadoria,32,11911,596,1192,1789,59.13,SERGIO CELESTINO,PP,1177,Alta
PILAR,PILAR,14,Alta,Priorizar curadoria,27,15007,748,1499,2251,62.89,ALEX CAVALCANTE,MDB,2602,Alta
GIRAU DO PONCIANO,GIRAU DO PONCIANO,15,Alta,Priorizar curadoria,11,13903,695,1390,2086,60.78,FLAVINHA BARROS,PP,2358,Alta
SÃO SEBASTIÃO,SAO SEBASTIAO,16,Alta,Priorizar curadoria,23,13164,657,1315,1975,56.63,ANA PACHECO,PP,1532,Alta
CAMPO ALEGRE,CAMPO ALEGRE,17,Alta,Priorizar curadoria,13,9403,469,941,1411,53.16,JEANE NASCIMENTO,PP,900,Alta
MARAGOGI,MARAGOGI,18,Alta,Priorizar curadoria,32,11613,580,1161,1742,53.39,JUNIOR DO JOZEMIR,PODE,1323,Alta
SÃO LUÍS DO QUITUNDE,SAO LUIS DO QUITUNDE,19,Alta,Priorizar curadoria,25,11282,565,1126,1692,51.23,CABEÇA,MDB,1062,Alta
CRAÍBAS,CRAIBAS,20,Alta,Priorizar curadoria,25,14815,741,1482,2224,51.01,CARLINHOS FOLHA,PP,1355,Alta
SÃO JOSÉ DA TAPERA,SAO JOSE DA TAPERA,21,Média,Avaliar após top 20,25,9995,500,1000,1499,48.31,EVANDRO GORDINHO DO POVO,MDB,944,Média
PORTO CALVO,PORTO CALVO,22,Média,Avaliar após top 20,25,12606,631,1261,1890,48.63,MARCIO DO ANDRADE,MDB,1390,Média
MURICI,MURICI,23,Média,Avaliar após top 20,23,11107,556,1110,1668,47.32,MORAIS,MDB,1373,Média
