ranking_convergencia,nome_parceiro,municipio,local_votacao_parceiro,regiao_estimada,vereador,partido_vereador,votos_parceiro_local,votos_vereador_local,indice_convergencia,classificacao_convergencia,potencial_davi_10pct_local,potencial_davi_15pct_local,potencial_davi_20pct_local,acao_recomendada
1,Gabi Gonçalves,RIO LARGO,ESCOLA MUNICIPAL DR. GUSTAVO PAIVA,MATA DO ROLO,MÁRCIO SOARES CAVALCANTE,PP,1133,278,88.66,CONVERGÊNCIA ALTA,705,705,705,"Agendar articulação Davi + Gabi Gonçalves com o vereador MÁRCIO SOARES CAVALCANTE no território do local de votação ESCOLA MUNICIPAL DR. GUSTAVO PAIVA. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
2,Gabi Gonçalves,RIO LARGO,ESCOLA MUNICIPAL DR. GUSTAVO PAIVA,MATA DO ROLO,NADIELLE NAYARA DA COSTA LOPES,PP,1133,225,84.9,CONVERGÊNCIA ALTA,678,678,678,"Agendar articulação Davi + Gabi Gonçalves com o vereador NADIELLE NAYARA DA COSTA LOPES no território do local de votação ESCOLA MUNICIPAL DR. GUSTAVO PAIVA. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
3,Gabi Gonçalves,RIO LARGO,ESCOLA MUNICIPAL DR. GUSTAVO PAIVA,MATA DO ROLO,RAFAEL RUDSON FEITOSA PINTO,PP,1133,180,81.76,CONVERGÊNCIA ALTA,656,656,656,"Agendar articulação Davi + Gabi Gonçalves com o vereador RAFAEL RUDSON FEITOSA PINTO no território do local de votação ESCOLA MUNICIPAL DR. GUSTAVO PAIVA. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
4,Gabi Gonçalves,RIO LARGO,ESCOLA MUNICIPAL DR. GUSTAVO PAIVA,MATA DO ROLO,ALINE BIANA CAVALCANTE,UNIÃO,1133,172,81.19,CONVERGÊNCIA ALTA,652,652,652,"Agendar articulação Davi + Gabi Gonçalves com o vereador ALINE BIANA CAVALCANTE no território do local de votação ESCOLA MUNICIPAL DR. GUSTAVO PAIVA. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
5,Gabi Gonçalves,RIO LARGO,ESCOLA MUNICIPAL DR. GUSTAVO PAIVA,MATA DO ROLO,JOSE CARLOS REIS DOS SANTOS FILHO,PP,1133,170,81.05,CONVERGÊNCIA ALTA,651,651,651,"Agendar articulação Davi + Gabi Gonçalves com o vereador JOSE CARLOS REIS DOS SANTOS FILHO no território do local de votação ESCOLA MUNICIPAL DR. GUSTAVO PAIVA. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
6,Gabi Gonçalves,RIO LARGO,ESCOLA MUNICIPAL DR. GUSTAVO PAIVA,MATA DO ROLO,IZAQUE PEREIRA SILVA,AVANTE,1133,166,80.77,CONVERGÊNCIA ALTA,649,649,649,"Agendar articulação Davi + Gabi Gonçalves com o vereador IZAQUE PEREIRA SILVA no território do local de votação ESCOLA MUNICIPAL DR. GUSTAVO PAIVA. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
7,Gabi Gonçalves,RIO LARGO,ESCOLA MUNICIPAL DR. GUSTAVO PAIVA,MATA DO ROLO,JEFFERSON ALEXANDRE CAVALCANTE,AVANTE,1133,158,80.21,CONVERGÊNCIA ALTA,645,645,645,"Agendar articulação Davi + Gabi Gonçalves com o vereador JEFFERSON ALEXANDRE CAVALCANTE no território do local de votação ESCOLA MUNICIPAL DR. GUSTAVO PAIVA. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
8,Gabi Gonçalves,RIO LARGO,ESCOLA MUNICIPAL DR. GUSTAVO PAIVA,MATA DO ROLO,JOSÉ ROGÉRIO DA SILVA,PP,1133,152,79.78,CONVERGÊNCIA ALTA,642,642,642,"Agendar articulação Davi + Gabi Gonçalves com o vereador JOSÉ ROGÉRIO DA SILVA no território do local de votação ESCOLA MUNICIPAL DR. GUSTAVO PAIVA. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
9,Gabi Gonçalves,RIO LARGO,ESCOLA MUNICIPAL DR. GUSTAVO PAIVA,MATA DO ROLO,MARCELO VITOR PRAXEDES TORRES,REPUBLICANOS,1133,148,79.5,CONVERGÊNCIA ALTA,640,640,640,"Agendar articulação Davi + Gabi Gonçalves com o vereador MARCELO VITOR PRAXEDES TORRES no território do local de votação ESCOLA MUNICIPAL DR. GUSTAVO PAIVA. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
10,Gabi Gonçalves,RIO LARGO,ESCOLA MUNICIPAL DR. GUSTAVO PAIVA,MATA DO ROLO,CAMILLY CABRAL CORREIA ALVES DE OLIVEIRA,PDT,1133,124,77.81,CONVERGÊNCIA ALTA,628,628,628,"Agendar articulação Davi + Gabi Gonçalves com o vereador CAMILLY CABRAL CORREIA ALVES DE OLIVEIRA no território do local de votação ESCOLA MUNICIPAL DR. GUSTAVO PAIVA. Objetivo: validar apoio, mapear lideranças locais e pactuar entrada territorial."
