ranking_reduto_qualificado;municipio;vereador;partido;local_principal;endereco_local_principal;latitude;longitude;bairro;distrito;status_geocodificacao;votos_local_principal;votos_totais_vereador;percentual_local_principal;qtd_secoes_controladas;total_secoes_vereador;indice_reduto;classificacao_reduto;status_reduto;nivel_reduto;potencial_transferencia;prioridade_agenda;observacao_estrategica
1;MACEIO;LUCIANO MARINHO DA SILVA;PL;E.E. GERALDO MELO DOS SANTOS;RUA 61, QD C-6, CJ. GRACILIANO RAMOS;;;;;NAO_ENCONTRADO;1276;14780;863;12;546;3103;REDUTO MÉDIO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;LUCIANO MARINHO DA SILVA concentra 863.00% dos seus votos no local E.E. GERALDO MELO DOS SANTOS, com 1276 votos registrados.
2;ARAPIRACA;JOSÉ ALDO OLIVEIRA VEIGA;MDB;GRUPO ESCOLAR ANTÔNIO CEZÁRIO DE OLIVEIRA;VILA SAÕ JOSÉ S/N;;;;;NAO_ENCONTRADO;1045;3009;3473;8;346;4112;REDUTO MÉDIO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;JOSÉ ALDO OLIVEIRA VEIGA concentra 3473.00% dos seus votos no local GRUPO ESCOLAR ANTÔNIO CEZÁRIO DE OLIVEIRA, com 1045 votos registrados.
3;ARAPIRACA;EDVANIO DE OLIVEIRA NUNES;PP;ESCOLA DE ENSINO FUNDAMENTAL ENÉAS BENEDITO DOS SANTOS;POVOADO CANGANDU S/N;;;;;NAO_ENCONTRADO;938;3053;3072;11;362;385;REDUTO MÉDIO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;EDVANIO DE OLIVEIRA NUNES concentra 3072.00% dos seus votos no local ESCOLA DE ENSINO FUNDAMENTAL ENÉAS BENEDITO DOS SANTOS, com 938 votos registrados.
4;ARAPIRACA;MARCIO JOSE DA SILVA;MDB;ESCOLA DE 1 GRAU FERNANDO COLLOR DE MELLO;POVOADO CANAÃ S/N;;;;;NAO_ENCONTRADO;724;2987;2424;10;362;3077;REDUTO MÉDIO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;MARCIO JOSE DA SILVA concentra 2424.00% dos seus votos no local ESCOLA DE 1 GRAU FERNANDO COLLOR DE MELLO, com 724 votos registrados.
5;ARAPIRACA;LEANDRO BARBOSA DE ALMEIDA;MDB;ESCOLA DE ENSINO FUNDAMENTAL MANOEL HUMBERTO DA COSTA;SÍTIO BATINGAS;;;;;NAO_ENCONTRADO;717;4410;1626;10;369;2587;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;LEANDRO BARBOSA DE ALMEIDA concentra 1626.00% dos seus votos no local ESCOLA DE ENSINO FUNDAMENTAL MANOEL HUMBERTO DA COSTA, com 717 votos registrados.
6;CORURIPE;DALMO PORTO SOUZA;PSB;ESCOLA ESTADUAL LIMA CASTRO;AVENIDA WASHINTON LUIZ, ANTIGA AV CAMAÇARI;;;;;NAO_ENCONTRADO;678;2179;3112;14;120;3613;REDUTO MÉDIO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;DALMO PORTO SOUZA concentra 3112.00% dos seus votos no local ESCOLA ESTADUAL LIMA CASTRO, com 678 votos registrados.
7;ARAPIRACA;SERGIO FABIO NUNES;PP;GRUPO ESCOLAR CÔNEGO EPITÁCIO RODRIGUES;VILA SAO FRANCISCO;;;;;NAO_ENCONTRADO;657;5139;1278;5;368;204;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;SERGIO FABIO NUNES concentra 1278.00% dos seus votos no local GRUPO ESCOLAR CÔNEGO EPITÁCIO RODRIGUES, com 657 votos registrados.
8;MACEIO;MILTON LUNA BARROS NETO;PSB;ESCOLA MUN. SILVESTRE PÉRICLES;PRAÇA DR CAIO DE AGUIAR PORTO S/N - PONTAL DA BARRA;;;;;NAO_ENCONTRADO;641;10129;633;7;549;1726;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;MILTON LUNA BARROS NETO concentra 633.00% dos seus votos no local ESCOLA MUN. SILVESTRE PÉRICLES, com 641 votos registrados.
9;ARAPIRACA;MACIEL OLIVEIRA NUNES;MDB;ESCOLA DE ENSINO FUNDAMENTAL ENÉAS BENEDITO DOS SANTOS;POVOADO CANGANDU S/N;;;;;NAO_ENCONTRADO;641;2799;229;11;366;2915;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;MACIEL OLIVEIRA NUNES concentra 229.00% dos seus votos no local ESCOLA DE ENSINO FUNDAMENTAL ENÉAS BENEDITO DOS SANTOS, com 641 votos registrados.
10;ARAPIRACA;WELLINGTON DE MAGALHAES SILVA;MDB;GRUPO ESCOLAR DOMINGOS LOPES;RUA VEREADOR DOMINGOS LOPES S/N;;;;;NAO_ENCONTRADO;608;2877;2113;8;362;2611;REDUTO BAIXO;QUALIFICADO;REDUTO ESTRATÉGICO;ALTO;AGENDA IMEDIATA;WELLINGTON DE MAGALHAES SILVA concentra 2113.00% dos seus votos no local GRUPO ESCOLAR DOMINGOS LOPES, com 608 votos registrados.
