municipio;vereador;partido;ranking_reduto_geral;local_principal;endereco_local_principal;latitude;longitude;bairro;distrito;status_geocodificacao;votos_local_principal;votos_totais_vereador;percentual_local_principal;qtd_secoes_controladas;total_secoes_vereador;indice_reduto;classificacao_reduto
MARECHAL DEODORO;SIMONE SANTOS DE OLIVEIRA;PSDB;1;ESCOLA MUNICIPAL D. MARIA DE ARAUJO LOBO;BECO DA BARRA;-9.7353584;-35.8906491;Barro Vermelho;;ENCONTRADO;1;1;100.0;1;1;60.5;REDUTO FORTE
CORURIPE;GILVAN EDENILSON DOS SANTOS SANTANA;CIDADANIA;2;ESCOLA MUNICIPAL FRANCISCO AMALIO MARIA;RUA DO CAJUEIRO, S/N;-10.1585695;-36.135133;Coruripe;;ENCONTRADO;56;70;80.0;7;21;52.29;REDUTO MÉDIO
MARECHAL DEODORO;FABRÍCIO CAMPOS SOARES;SOLIDARIEDADE;3;ESCOLA MUNICIPAL PREFEITO MANOEL MESSIAS DOS SANTOS;RUA SALVADOR S/N LOT. LUAR DO FRANCÊS;;;;;NAO_ENCONTRADO;38;48;79.17;8;18;52.0;REDUTO MÉDIO
CORURIPE;JOSE LOURIVAL GOMES DOS SANTOS;CIDADANIA;4;ESCOLA MUNICIPAL SANTA SOFIA;RUA DA CAIXA DAGUA - POVOADO BOTAFOGO;;;;;NAO_ENCONTRADO;38;56;67.86;10;24;46.19;REDUTO MÉDIO
CORURIPE;JOSE GILDO GONÇALVES CASTRO;PP;5;ESCOLA ESTADUAL LIMA CASTRO;AVENIDA WASHINTON LUIZ, ANTIGA AV CAMAÇARI;;;;;NAO_ENCONTRADO;593;1243;47.71;14;103;44.75;REDUTO MÉDIO
CORURIPE;LUCAS GALVÃO DA SILVA ROQUE;CIDADANIA;6;ESCOLA ESTADUAL LIMA CASTRO;AVENIDA WASHINTON LUIZ, ANTIGA AV CAMAÇARI;;;;;NAO_ENCONTRADO;22;35;62.86;11;22;43.43;REDUTO MÉDIO
ARAPIRACA;JOSÉ ALDO OLIVEIRA VEIGA;MDB;7;GRUPO ESCOLAR ANTÔNIO CEZÁRIO DE OLIVEIRA;VILA SAÕ JOSÉ S/N;;;;;NAO_ENCONTRADO;1045;3009;34.73;8;346;41.12;REDUTO MÉDIO
ARAPIRACA;ALINE DEBORA GOMES DOS SANTOS;PSDB;8;ESCOLA ALTERNATIVA;RUA FLORIANO PEIXOTO, 98;-9.7477626;-36.66833;Baixão;;ENCONTRADO;2;3;66.67;2;3;41.01;REDUTO MÉDIO
ARAPIRACA;LAURA GABRYELLE DE JESUS OLIVEIRA;PSOL;9;ESCOLA DE ENSINO FUNDAMENTAL CLAUDECY BISPO DOS SANTOS;RUA JOSÉ C. DE FARIAS;;;;;NAO_ENCONTRADO;2;3;66.67;2;3;41.01;REDUTO MÉDIO
PALMEIRA DOS INDIOS;MONICA SEVERO;PMB;10;COLÉGIO CRISTO REDENTOR;AV. DEP. MEDEIROS NETO 51;-9.4113742;-36.6337546;São Cristovão;;ENCONTRADO;2;3;66.67;2;3;41.01;REDUTO MÉDIO
ARAPIRACA;SEBASTIÃO FERREIRA DOS SANTOS;PMB;11;ESCOLA DE ENSINO FUNDAMENTAL ENÉAS BENEDITO DOS SANTOS;POVOADO CANGANDU S/N;;;;;NAO_ENCONTRADO;146;269;54.28;11;104;40.22;REDUTO MÉDIO
