uf,ano,municipio,municipio_normalizado,eleitorado_2024
AL,2024,Anadia,ANADIA,13178
AL,2024,Arapiraca,ARAPIRACA,155982
AL,2024,Atalaia,ATALAIA,32883
AL,2024,Barra De Santo Antônio,BARRA DE SANTO ANTONIO,15387
AL,2024,Barra De São Miguel,BARRA DE SAO MIGUEL,8167
AL,2024,Batalha,BATALHA,13756
AL,2024,Belo Monte,BELO MONTE,6271
AL,2024,Belém,BELEM,5142
AL,2024,Boca Da Mata,BOCA DA MATA,20100
AL,2024,Branquinha,BRANQUINHA,9547
AL,2024,Cacimbinhas,CACIMBINHAS,8896
AL,2024,Cajueiro,CAJUEIRO,15200
AL,2024,Campestre,CAMPESTRE,6291
AL,2024,Campo Alegre,CAMPO ALEGRE,27202
AL,2024,Campo Grande,CAMPO GRANDE,9546
AL,2024,Canapi,CANAPI,15330
AL,2024,Capela,CAPELA,13391
AL,2024,Carneiros,CARNEIROS,7662
AL,2024,Chã Preta,CHA PRETA,7014
AL,2024,Coité Do Nóia,COITE DO NOIA,9675
AL,2024,Colônia Leopoldina,COLONIA LEOPOLDINA,15772
AL,2024,Coqueiro Seco,COQUEIRO SECO,5582
AL,2024,Coruripe,CORURIPE,42038
AL,2024,Craíbas,CRAIBAS,22009
AL,2024,Delmiro Gouveia,DELMIRO GOUVEIA,41113
AL,2024,Dois Riachos,DOIS RIACHOS,9898
AL,2024,Estrela De Alagoas,ESTRELA DE ALAGOAS,13068
AL,2024,Feira Grande,FEIRA GRANDE,19433
AL,2024,Feliz Deserto,FELIZ DESERTO,4136
AL,2024,Flexeiras,FLEXEIRAS,8929
AL,2024,Girau Do Ponciano,GIRAU DO PONCIANO,28487
AL,2024,Ibateguara,IBATEGUARA,11919
AL,2024,Igaci,IGACI,21092
AL,2024,Igreja Nova,IGREJA NOVA,18088
AL,2024,Inhapi,INHAPI,14546
AL,2024,Jacaré Dos Homens,JACARE DOS HOMENS,5451
AL,2024,Jacuípe,JACUIPE,6216
AL,2024,Japaratinga,JAPARATINGA,9070
AL,2024,Jaramataia,JARAMATAIA,5247
AL,2024,Jequiá Da Praia,JEQUIA DA PRAIA,8624
AL,2024,Joaquim Gomes,JOAQUIM GOMES,15290
AL,2024,Jundiá,JUNDIA,4943
AL,2024,Junqueiro,JUNQUEIRO,20569
AL,2024,Lagoa Da Canoa,LAGOA DA CANOA,17464
AL,2024,Limoeiro De Anadia,LIMOEIRO DE ANADIA,20574
AL,2024,Maceió,MACEIO,632812
AL,2024,Major Isidoro,MAJOR ISIDORO,15802
AL,2024,Mar Vermelho,MAR VERMELHO,3643
AL,2024,Maragogi,MARAGOGI,25140
AL,2024,Maravilha,MARAVILHA,8914
AL,2024,Marechal Deodoro,MARECHAL DEODORO,46217
AL,2024,Maribondo,MARIBONDO,11101
AL,2024,Mata Grande,MATA GRANDE,19084
AL,2024,Matriz De Camaragibe,MATRIZ DE CAMARAGIBE,19218
AL,2024,Messias,MESSIAS,14439
AL,2024,Minador Do Negrão,MINADOR DO NEGRAO,5300
AL,2024,Monteirópolis,MONTEIROPOLIS,6489
AL,2024,Murici,MURICI,20853
AL,2024,Novo Lino,NOVO LINO,10193
AL,2024,Olho D'Água Das Flores,OLHO D'AGUA DAS FLORES,16469
AL,2024,Olho D'Água Do Casado,OLHO D'AGUA DO CASADO,7951
AL,2024,Olho D'Água Grande,OLHO D'AGUA GRANDE,5413
AL,2024,Olivença,OLIVENCA,10260
AL,2024,Ouro Branco,OURO BRANCO,10077
AL,2024,Palestina,PALESTINA,5118
AL,2024,Palmeira Dos Índios,PALMEIRA DOS INDIOS,54858
AL,2024,Pariconha,PARICONHA,9746
AL,2024,Paripueira,PARIPUEIRA,12809
AL,2024,Passo De Camaragibe,PASSO DE CAMARAGIBE,12595
AL,2024,Paulo Jacinto,PAULO JACINTO,6749
AL,2024,Penedo,PENEDO,44517
AL,2024,Piaçabuçu,PIACABUCU,14386
AL,2024,Pilar,PILAR,29137
AL,2024,Pindoba,PINDOBA,2989
AL,2024,Piranhas,PIRANHAS,20339
AL,2024,Porto Calvo,PORTO CALVO,22018
AL,2024,Porto De Pedras,PORTO DE PEDRAS,8406
AL,2024,Porto Real Do Colégio,PORTO REAL DO COLEGIO,18066
AL,2024,Poço Das Trincheiras,POCO DAS TRINCHEIRAS,11129
AL,2024,Pão De Açúcar,PAO DE ACUCAR,19298
AL,2024,Quebrangulo,QUEBRANGULO,10470
AL,2024,Rio Largo,RIO LARGO,67172
AL,2024,Roteiro,ROTEIRO,6014
AL,2024,Santa Luzia Do Norte,SANTA LUZIA DO NORTE,6506
