codigo_ibge,municipio,uf,populacao_estimada_2024,fonte_municipios,fonte_populacao,ano_populacao,data_extracao,status_populacao
2700201,Anadia,AL,14193.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2700300,Arapiraca,AL,243661.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2700409,Atalaia,AL,38530.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2700508,Barra de Santo Antônio,AL,16735.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2700607,Barra de São Miguel,AL,8118.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2700706,Batalha,AL,17103.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2700904,Belo Monte,AL,5898.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2700805,Belém,AL,4820.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2701001,Boca da Mata,AL,21517.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2701100,Branquinha,AL,9786.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2701209,Cacimbinhas,AL,10701.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2701308,Cajueiro,AL,16605.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2701357,Campestre,AL,6807.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2701407,Campo Alegre,AL,32714.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2701506,Campo Grande,AL,8293.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2701605,Canapi,AL,15743.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2701704,Capela,AL,15068.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2701803,Carneiros,AL,9200.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2701902,Chã Preta,AL,6010.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2702009,Coité do Nóia,AL,11036.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2702108,Colônia Leopoldina,AL,15949.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2702207,Coqueiro Seco,AL,5700.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2702306,Coruripe,AL,51788.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2702355,Craíbas,AL,26115.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2702405,Delmiro Gouveia,AL,52809.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2702504,Dois Riachos,AL,9906.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2702553,Estrela de Alagoas,AL,15701.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2702603,Feira Grande,AL,23191.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2702702,Feliz Deserto,AL,4038.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2702801,Flexeiras,AL,9767.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2702900,Girau do Ponciano,AL,37335.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2703007,Ibateguara,AL,13992.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2703106,Igaci,AL,24452.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2703205,Igreja Nova,AL,22125.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
2703304,Inhapi,AL,15417.0,IBGE API Localidades,IBGE SIDRA Tabela 6579,2024,2026-06-17 11:26:26,Validado
