rank_estrategico,municipio,prefeito,cargo,partido,votos_prefeito,percentual_prefeito,eleitorado_2024,indice_estrategico_pct,prioridade_politica,visitado_pre_campanha,quantidade_visitas,ultima_visita,grupo_politico,relacao_davi,peso_politico,status_articulacao,observacoes,fonte_dados,status_classificacao
1,Maceió,JOAO HENRIQUE HOLANDA CALDAS,Prefeito,PL,379544,83.25,632812,27.397829079873947,Prioridade Máxima,True,4,2026-06-09,Independente,adversario_potencial,muito_alto,mapear,Capital do estado e maior colégio eleitoral.,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,classificacao_inicial
2,Arapiraca,JOSE LUCIANO BARBOSA DA SILVA,Prefeito,MDB,100890,85.04,155982,6.73965243482755,Prioridade Máxima,False,0,,Calheiros,aliado_forte,muito_alto,prioritario,Segundo maior colégio eleitoral de Alagoas.,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,classificacao_inicial
3,Rio Largo,PEDRO CARLOS DA SILVA NETO,Prefeito,PP,32496,62.99,67172,2.83253283979211,Prioridade Máxima,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
4,Palmeira dos Índios,LUISA JULIA DUARTE,Prefeito,MDB,23994,57.43,54858,2.25758554237497,Prioridade Máxima,True,1,2026-05-30,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
5,União dos Palmares,JOSÉ IRAN MENEZES DA SILVA JUNIOR,Prefeito,MDB,23163,63.83,48920,1.96891077098367,Prioridade Máxima,True,1,2026-05-24,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
6,Marechal Deodoro,ANDRÉ LUIZ BARROS DA SILVA,Prefeito,MDB,21621,58.47,46217,1.90512481404747,Prioridade Máxima,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
7,Penedo,RONALDO PEREIRA LOPES,Prefeito,MDB,24059,71.33,44517,1.83636305682454,Prioridade Máxima,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
8,São Miguel dos Campos,GEORGE CLEMENTE VIEIRA,Prefeito,MDB,25796,79.18,43990,1.7579287568954198,Prioridade Máxima,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
9,Coruripe,MARCELO BELTRÃO SIQUEIRA,Prefeito,PP,27647,90.22,42038,1.68706079762416,Prioridade Máxima,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
10,Delmiro Gouveia,ELIZIANE FERREIRA COSTA LIMA,Prefeito,MDB,24620,83.31,41113,1.67006746471436,Prioridade Máxima,False,0,,,,,,,TSE 2024 + IBGE 2024 + TSE Eleitorado 2024 + Instagram/Reels,pendente_revisao
