municipio,vereador,partido,instagram_url,observacao
RIO LARGO,MÁRCIO SOARES CAVALCANTE,PP,,Preencher manualmente com o link oficial do Instagram do vereador.
RIO LARGO,NADIELLE NAYARA DA COSTA LOPES,PP,,Preencher manualmente com o link oficial do Instagram do vereador.
RIO LARGO,RAFAEL RUDSON FEITOSA PINTO,PP,,Preencher manualmente com o link oficial do Instagram do vereador.
RIO LARGO,ALINE BIANA CAVALCANTE,UNIÃO,,Preencher manualmente com o link oficial do Instagram do vereador.
RIO LARGO,JOSE CARLOS REIS DOS SANTOS FILHO,PP,,Preencher manualmente com o link oficial do Instagram do vereador.
RIO LARGO,IZAQUE PEREIRA SILVA,AVANTE,,Preencher manualmente com o link oficial do Instagram do vereador.
RIO LARGO,JEFFERSON ALEXANDRE CAVALCANTE,AVANTE,,Preencher manualmente com o link oficial do Instagram do vereador.
RIO LARGO,JOSÉ ROGÉRIO DA SILVA,PP,,Preencher manualmente com o link oficial do Instagram do vereador.
RIO LARGO,MARCELO VITOR PRAXEDES TORRES,REPUBLICANOS,,Preencher manualmente com o link oficial do Instagram do vereador.
RIO LARGO,CAMILLY CABRAL CORREIA ALVES DE OLIVEIRA,PDT,,Preencher manualmente com o link oficial do Instagram do vereador.
RIO LARGO,CARLOS HENRIQUE ROLIM VASCONCELOS,PP,,Preencher manualmente com o link oficial do Instagram do vereador.
RIO LARGO,LUZARDO DE ARAÚJO LISBOA NETO,PDT,,Preencher manualmente com o link oficial do Instagram do vereador.
RIO LARGO,EFRAIN VERÇOLINO DA SILVA,AVANTE,,Preencher manualmente com o link oficial do Instagram do vereador.
RIO LARGO,JOSÉ LAMARTINE LIMA DOS SANTOS,MDB,,Preencher manualmente com o link oficial do Instagram do vereador.
RIO LARGO,DOUGLAS HENRIQUE DE FRANÇA COSTA,UNIÃO,,Preencher manualmente com o link oficial do Instagram do vereador.
MACEIÓ,JOSÉ MÁRCIO DE MEDEIROS MAIA JÚNIOR,MDB,,Preencher manualmente com o link oficial do Instagram do vereador.
