ordem_curadoria,semana_sugerida,municipio,ranking_gabi_preliminar,nome_lideranca,tipo_lideranca,partido,votos_2024,rank_local_lideranca,prioridade_lideranca_gabi,status_curadoria_lideranca,objetivo_da_abordagem,abordagem_recomendada,responsavel_articulacao,telefone_contato,observacao_curadoria,risco_politico,proximo_passo
1,Semana 1,MACEIÓ,1,LUCIANO MARINHO,Vereador(a),PL,8545,1,Muito alta,Contato prioritário,Confirmar possibilidade de apoio e agenda conjunta,Validar relação política com LUCIANO MARINHO em MACEIÓ; avaliar agenda direta com Gabi e possibilidade de composição com Davi Maia.,,,,,
2,Semana 1,MACEIÓ,1,DAVI DAVINO,Vereador(a),PP,5713,2,Muito alta,Contato prioritário,Confirmar possibilidade de apoio e agenda conjunta,Validar relação política com DAVI DAVINO em MACEIÓ; avaliar agenda direta com Gabi e possibilidade de composição com Davi Maia.,,,,,
3,Semana 1,ARAPIRACA,2,ROGERIO NEZINHO,Vereador(a),MDB,4543,1,Muito alta,Contato prioritário,Confirmar possibilidade de apoio e agenda conjunta,Validar relação política com ROGERIO NEZINHO em ARAPIRACA; avaliar agenda direta com Gabi e possibilidade de composição com Davi Maia.,,,,,
4,Semana 1,MACEIÓ,1,SIDERLANE MENDONÇA,Vereador(a),PL,4857,3,Muito alta,Contato prioritário,Confirmar possibilidade de apoio e agenda conjunta,Validar relação política com SIDERLANE MENDONÇA em MACEIÓ; avaliar agenda direta com Gabi e possibilidade de composição com Davi Maia.,,,,,
5,Semana 1,ARAPIRACA,2,SERGIO DO SINDICATO,Vereador(a),PP,4328,2,Muito alta,Contato prioritário,Confirmar possibilidade de apoio e agenda conjunta,Validar relação política com SERGIO DO SINDICATO em ARAPIRACA; avaliar agenda direta com Gabi e possibilidade de composição com Davi Maia.,,,,,
6,Semana 1,MACEIÓ,1,ZÉ MÁRCIO FILHO,Vereador(a),MDB,4727,4,Muito alta,Contato prioritário,Confirmar possibilidade de apoio e agenda conjunta,Validar relação política com ZÉ MÁRCIO FILHO em MACEIÓ; avaliar agenda direta com Gabi e possibilidade de composição com Davi Maia.,,,,,
7,Semana 1,MACEIÓ,1,KELMANN,Vereador(a),MDB,4544,5,Muito alta,Contato prioritário,Confirmar possibilidade de apoio e agenda conjunta,Validar relação política com KELMANN em MACEIÓ; avaliar agenda direta com Gabi e possibilidade de composição com Davi Maia.,,,,,
8,Semana 1,RIO LARGO,3,BALA SOARES,Vereador(a),PP,2625,1,Muito alta,Contato prioritário,Confirmar possibilidade de apoio e agenda conjunta,Validar relação política com BALA SOARES em RIO LARGO; avaliar agenda direta com Gabi e possibilidade de composição com Davi Maia.,,,,,
9,Semana 1,ARAPIRACA,2,LEO SATURNINO,Vereador(a),MDB,3256,3,Muito alta,Contato prioritário,Confirmar possibilidade de apoio e agenda conjunta,Validar relação política com LEO SATURNINO em ARAPIRACA; avaliar agenda direta com Gabi e possibilidade de composição com Davi Maia.,,,,,
10,Semana 1,MACEIÓ,1,BRIVALDO MARQUES,Vereador(a),PL,4099,6,Alta,Curar na primeira rodada,Confirmar possibilidade de apoio e agenda conjunta,"Mapear interlocutor local de BRIVALDO MARQUES; levantar histórico de alinhamento, vínculos partidários e abertura para agenda conjunta.",,,,,
11,Semana 1,PALMEIRA DOS ÍNDIOS,4,PEDRINHO GAIA,Vereador(a),MDB,2237,1,Muito alta,Contato prioritário,Confirmar possibilidade de apoio e agenda conjunta,Validar relação política com PEDRINHO GAIA em PALMEIRA DOS ÍNDIOS; avaliar agenda direta com Gabi e possibilidade de composição com Davi Maia.,,,,,
12,Semana 1,RIO LARGO,3,NADIELLE RUFINO,Vereador(a),PP,2002,2,Muito alta,Contato prioritário,Confirmar possibilidade de apoio e agenda conjunta,Validar relação política com NADIELLE RUFINO em RIO LARGO; avaliar agenda direta com Gabi e possibilidade de composição com Davi Maia.,,,,,
13,Semana 1,ARAPIRACA,2,ALISSON DA TIM,Vereador(a),PP,2677,4,Muito alta,Contato prioritário,Confirmar possibilidade de apoio e agenda conjunta,Validar relação política com ALISSON DA TIM em ARAPIRACA; avaliar agenda direta com Gabi e possibilidade de composição com Davi Maia.,,,,,
14,Semana 1,MACEIÓ,1,LEONARDO DIAS,Vereador(a),PL,3963,7,Alta,Curar na primeira rodada,Confirmar possibilidade de apoio e agenda conjunta,"Mapear interlocutor local de LEONARDO DIAS; levantar histórico de alinhamento, vínculos partidários e abertura para agenda conjunta.",,,,,
15,Semana 1,PALMEIRA DOS ÍNDIOS,4,MAXWELL FEITOSA,Vereador(a),MDB,2157,2,Muito alta,Contato prioritário,Confirmar possibilidade de apoio e agenda conjunta,Validar relação política com MAXWELL FEITOSA em PALMEIRA DOS ÍNDIOS; avaliar agenda direta com Gabi e possibilidade de composição com Davi Maia.,,,,,
16,Semana 1,UNIÃO DOS PALMARES,5,MILTON DO COMPLEMENTAR,Vereador(a),MDB,1892,1,Muito alta,Contato prioritário,Confirmar possibilidade de apoio e agenda conjunta,Validar relação política com MILTON DO COMPLEMENTAR em UNIÃO DOS PALMARES; avaliar agenda direta com Gabi e possibilidade de composição com Davi Maia.,,,,,
17,Semana 1,MARECHAL DEODORO,6,THIAGO GONDIN,Vereador(a),PDT,2023,1,Muito alta,Contato prioritário,Confirmar possibilidade de apoio e agenda conjunta,Validar relação política com THIAGO GONDIN em MARECHAL DEODORO; avaliar agenda direta com Gabi e possibilidade de composição com Davi Maia.,,,,,
18,Semana 1,RIO LARGO,3,ROGÉRIO SILVA,Vereador(a),PP,1922,3,Muito alta,Contato prioritário,Confirmar possibilidade de apoio e agenda conjunta,Validar relação política com ROGÉRIO SILVA em RIO LARGO; avaliar agenda direta com Gabi e possibilidade de composição com Davi Maia.,,,,,
19,Semana 1,ARAPIRACA,2,ALDO VEIGA,Vereador(a),MDB,2655,5,Muito alta,Contato prioritário,Confirmar possibilidade de apoio e agenda conjunta,Validar relação política com ALDO VEIGA em ARAPIRACA; avaliar agenda direta com Gabi e possibilidade de composição com Davi Maia.,,,,,
20,Semana 1,SÃO MIGUEL DOS CAMPOS,7,DINEY TORRES,Vereador(a),MDB,2081,1,Muito alta,Contato prioritário,Confirmar possibilidade de apoio e agenda conjunta,Validar relação política com DINEY TORRES em SÃO MIGUEL DOS CAMPOS; avaliar agenda direta com Gabi e possibilidade de composição com Davi Maia.,,,,,
21,Semana 2,MACEIÓ,1,GALBA NETTO,Vereador(a),PL,3894,8,Alta,Curar na primeira rodada,Confirmar possibilidade de apoio e agenda conjunta,"Mapear interlocutor local de GALBA NETTO; levantar histórico de alinhamento, vínculos partidários e abertura para agenda conjunta.",,,,,
22,Semana 2,UNIÃO DOS PALMARES,5,NENZINHA,Vereador(a),MDB,1597,2,Muito alta,Contato prioritário,Confirmar possibilidade de apoio e agenda conjunta,Validar relação política com NENZINHA em UNIÃO DOS PALMARES; avaliar agenda direta com Gabi e possibilidade de composição com Davi Maia.,,,,,
23,Semana 2,RIO LARGO,3,CARLINHOS REIS,Vereador(a),PP,1906,4,Muito alta,Contato prioritário,Confirmar possibilidade de apoio e agenda conjunta,Validar relação política com CARLINHOS REIS em RIO LARGO; avaliar agenda direta com Gabi e possibilidade de composição com Davi Maia.,,,,,
24,Semana 2,PALMEIRA DOS ÍNDIOS,4,TONINHO GARROTE,Vereador(a),PP,1684,3,Muito alta,Contato prioritário,Confirmar possibilidade de apoio e agenda conjunta,Validar relação política com TONINHO GARROTE em PALMEIRA DOS ÍNDIOS; avaliar agenda direta com Gabi e possibilidade de composição com Davi Maia.,,,,,
25,Semana 2,MARECHAL DEODORO,6,JÚNIOR LOPES,Vereador(a),PSB,1790,2,Muito alta,Contato prioritário,Confirmar possibilidade de apoio e agenda conjunta,Validar relação política com JÚNIOR LOPES em MARECHAL DEODORO; avaliar agenda direta com Gabi e possibilidade de composição com Davi Maia.,,,,,
26,Semana 2,ARAPIRACA,2,MARCIO DO CANAÃ,Vereador(a),MDB,2580,6,Alta,Curar na primeira rodada,Confirmar possibilidade de apoio e agenda conjunta,"Mapear interlocutor local de MARCIO DO CANAÃ; levantar histórico de alinhamento, vínculos partidários e abertura para agenda conjunta.",,,,,
27,Semana 2,CORURIPE,9,DALMO PORTO,Vereador(a),PSB,2179,1,Muito alta,Contato prioritário,Confirmar possibilidade de apoio e agenda conjunta,Validar relação política com DALMO PORTO em CORURIPE; avaliar agenda direta com Gabi e possibilidade de composição com Davi Maia.,,,,,
28,Semana 2,MACEIÓ,1,MILTON RONALSA,Vereador(a),PSB,3849,9,Média,Curar na segunda rodada,Validar aderência política e capacidade de mobilização,Manter na lista de curadoria territorial; avaliar após confirmação dos apoios dos municípios prioritários.,,,,,
29,Semana 2,SÃO MIGUEL DOS CAMPOS,7,JÓ DA DJANETE,Vereador(a),PDT,1991,2,Muito alta,Contato prioritário,Confirmar possibilidade de apoio e agenda conjunta,Validar relação política com JÓ DA DJANETE em SÃO MIGUEL DOS CAMPOS; avaliar agenda direta com Gabi e possibilidade de composição com Davi Maia.,,,,,
