ranking_gabi_preliminar,municipio,prioridade_visita_gabi,status_articulacao_gabi,prefeito_2024,partido_prefeito_2024,vereadores_mapeados,votos_vereadores_total,meta_votos_referencia_gabi,relacao_gabi,aderencia_gabi,grupo_politico_gabi,observacao_curadoria_gabi,lideranca_chave_gabi,telefone_contato,responsavel_articulacao,agenda_recomendada,risco_politico,proximo_passo
1,Maceió,Muito alta,Priorizar curadoria,JOAO HENRIQUE HOLANDA CALDAS,PL,0.0,241387.0,14996,A CURAR,A CURAR,A CURAR,,,,,,,
2,Arapiraca,Muito alta,Priorizar curadoria,JOSE LUCIANO BARBOSA DA SILVA,MDB,0.0,76514.0,3812,A CURAR,A CURAR,A CURAR,,,,,,,
3,Rio Largo,Muito alta,Priorizar curadoria,PEDRO CARLOS DA SILVA NETO,PP,0.0,29810.0,1561,A CURAR,A CURAR,A CURAR,,,,,,,
4,Palmeira dos Índios,Muito alta,Priorizar curadoria,LUISA JULIA DUARTE,MDB,0.0,22687.0,1234,A CURAR,A CURAR,A CURAR,,,,,,,
5,União dos Palmares,Muito alta,Priorizar curadoria,JOSÉ IRAN MENEZES DA SILVA JUNIOR,MDB,0.0,22246.0,1101,A CURAR,A CURAR,A CURAR,,,,,,,
6,Marechal Deodoro,Muito alta,Priorizar curadoria,ANDRÉ LUIZ BARROS DA SILVA,MDB,0.0,19671.0,1037,A CURAR,A CURAR,A CURAR,,,,,,,
7,São Miguel dos Campos,Muito alta,Priorizar curadoria,GEORGE CLEMENTE VIEIRA,MDB,0.0,19607.0,977,A CURAR,A CURAR,A CURAR,,,,,,,
8,Penedo,Muito alta,Priorizar curadoria,RONALDO PEREIRA LOPES,MDB,0.0,15743.0,967,A CURAR,A CURAR,A CURAR,,,,,,,
9,Coruripe,Muito alta,Priorizar curadoria,MARCELO BELTRÃO SIQUEIRA,PP,0.0,19916.0,945,A CURAR,A CURAR,A CURAR,,,,,,,
10,Delmiro Gouveia,Muito alta,Priorizar curadoria,ELIZIANE FERREIRA COSTA LIMA,MDB,0.0,17619.0,911,A CURAR,A CURAR,A CURAR,,,,,,,
11,Atalaia,Alta,Priorizar curadoria,CECILIA LIMA HERRMANN,MDB,0.0,18928.0,753,A CURAR,A CURAR,A CURAR,,,,,,,
12,Santana do Ipanema,Alta,Priorizar curadoria,JOAO EDUARDO BULHOES PORTELA DE MELO,MDB,0.0,15135.0,750,A CURAR,A CURAR,A CURAR,,,,,,,
13,Teotônio Vilela,Alta,Priorizar curadoria,PEDRO HENRIQUE DE JESUS PEREIRA,PP,0.0,11911.0,674,A CURAR,A CURAR,A CURAR,,,,,,,
14,Pilar,Alta,Priorizar curadoria,MARIA DE FATIMA RESENDE ROCHA OITICICA,MDB,0.0,15007.0,650,A CURAR,A CURAR,A CURAR,,,,,,,
15,Girau do Ponciano,Alta,Priorizar curadoria,GILBERTO BEZERRA BARROS,PP,0.0,13903.0,632,A CURAR,A CURAR,A CURAR,,,,,,,
16,São Sebastião,Alta,Priorizar curadoria,CHARLES NUNES REGUEIRA,PP,0.0,13164.0,597,A CURAR,A CURAR,A CURAR,,,,,,,
